131.namevalue,Shop 'n Save #x0212100,Shop 'n Save #0212100
44.statevalue,AP,PA
121.localizability,ixed,fixed
23.statevalue,gPA,PA
78.streetaddress,5z880 Centre Ave,5880 Centre Ave
51.namevalue,EastE nd Food Co-Op,East End Food Co-Op
114.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded ood Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
95.localizability,rfixed,fixed
90.statevalue,A,PA
28.namevalue,Giant aEgle #646,Giant Eagle #646
23.datasourcename,WPRDCDataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
102.streetaddress,1356 Hoffman Bouelvard,1356 Hoffman Boulevard
35.streetaddress,200 Alelgheny River Boulevard,200 Allegheny River Boulevard
74.streetaddress,2000a Village Center Drive,2000 Village Center Drive
89.city,Pittsburh,Pittsburgh
90.city,Glenhaw,Glenshaw
111.city,Pittsbugrh,Pittsburgh
115.statevalue,A,PA
37.streetaddress,2820 Universal  Roabd,2820 Universal  Road
83.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/12a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
25.namevalue,Giant Egle #0052,Giant Eagle #0052
1.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections nad Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
65.city,eWst Mifflin,West Mifflin
79.streetaddress,2251 Cntury  Drive,2251 Century  Drive
20.namevalue,Wal-Mart Super Center #2t588,Wal-Mart Super Center #2588
115.assettype,sueprmarkets,supermarkets
22.city,Pittsburh,Pittsburgh
132.localizability,ixed,fixed
67.city,Cgarnegie,Carnegie
73.localizability,ixed,fixed
127.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocode Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
39.namevalue,Giant Eage #1691,Giant Eagle #1691
105.namevalue,Market on Broadway IGA / Las Psalmas,Market on Broadway IGA / Las Palmas
17.localizability,fied,fixed
50.assettype,seupermarkets,supermarkets
6.city,Wexfnord,Wexford
104.namevalue,Target #2778,Target #2787
90.assettype,supermakets,supermarkets
9.streetaddress,4647 Butterilk Hollow  Road,4647 Buttermilk Hollow  Road
99.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restauran-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
130.city,M Keesport,Mc Keesport
129.localizability,fxied,fixed
28.localizability,fixd,fixed
90.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Fodod Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
10.datasourceurl,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/a112a3821-334d-4f3f-ab40-4de1220b1a0a,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a
129.city,Pittsbugrh,Pittsburgh
86.assettype,stupermarkets,supermarkets
33.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilitises,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
17.assettype,supermarksets,supermarkets
109.city,Brdigeville,Bridgeville
12.city,Pittsburh,Pittsburgh
80.city,North Versialles,North Versailles
8.assettype,superarkets,supermarkets
87.datasourcename,WPRDC Dataset: Allegheny County Restaurant/Food aFcility Inspections and Locations: Geocoded Food Facilities,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities
