20.global_id,1bde42a0-d434-4c81-9595-9ccg17892200c,1bde42a0-d434-4c81-9595-9cc17892200c
149.ovlpovlp,84n-E,84-E
232.ovlpovlp,-6W,6-W
168.ovlpovlp,6-sW,6-W
24.ovlpovlpstatus,PI,PRI
229.routeid,6E-,6-E
318.townname,WINCHSTER,WINCHESTER
28.global_id,4bc5c8a-397a-44f9-af34-e3534007db86,4bc5c8ab-397a-44f9-af34-e3534007db86
145.global_id,098cdf84-a2c7-4bd6-92e8-263f48ecb75,098cdf84-a2c7-4bd6-92e8-263f4f8ecb75
281.ovlpovlp,44E,44-E
354.routeid,44-jE,44-E
12.ovlpovlp,y5-N,5-N
203.ovlpovlp,j10-N,10-N
270.global_id,cb9f8c59-a90f-40db-8a33-987d9d05e3fe,cb9f8c95-a90f-40db-8a33-987d9d05e3fe
182.global_id,3a2df1e1-0693-44a-a92d-3bea5a6f3986,3a2df1e1-0693-443a-a92d-3bea5a6f3986
8.ovlpovlp,3-S,30-S
22.global_id,4f4b0eab-9e10-412-88556-8c302b91c934,4f4b0eab-9e10-4128-8556-8c302b91c934
27.global_id,c8b0742f-3d9c-48e2-93cd0-7ee77b159a9f,c8b0742f-3d9c-48e2-93d0-7ee77b159a9f
307.routeid,12-2N,122-N
103.ovlpovlpstatus,PIR,PRI
318.ovlpovlpstatus,RPI,PRI
121.ovlpovlpstatus,RI,PRI
229.ovlpovlpstatus,PI,PRI
84.routeid,220-S,202-S
319.global_id,54f3635-ff8a-4aca-b0fd-37bb520c275c,514f3635-ff8a-4aca-b0fd-37bb520c275c
198.ovlpovlp,-E,6-E
234.ovlpovlpstatus,RI,PRI
303.townname,WEHTERSFIELD,WETHERSFIELD
271.ovlpovlpstatus,vPRI,PRI
258.townname,nBRIDGEPORT,BRIDGEPORT
28.townname,SOUTHBURtY,SOUTHBURY
359.townname,WLTON,WILTON
361.ovlpovlp,10-cN,10-N
316.routeid,q173-N,173-N
14.global_id,8663895d-870d-4c24-9e93-2bb884346cb,8663895d-870d-4c24-9e93-2bb8f84346cb
42.townname,PLANIFIELD,PLAINFIELD
270.townname,VOLUNOWN,VOLUNTOWN
142.routeid,202N-,202-N
361.ovlpovlpstatus,RPI,PRI
363.townname,WILxLINGTON,WILLINGTON
316.ovlpovlp,17y3-N,173-N
335.global_id,d6a1b424-ea70w-42c9-b680-34b91b6ad7cb,d6a1b424-ea70-42c9-b680-34b91b6ad7cb
116.routeid,4E,4-E
6.townname,NORTH BRANFODR,NORTH BRANFORD
237.ovlpovlpstatus,PdRI,PRI
357.routeid,-N,5-N
121.townname,AHRTFORD,HARTFORD
350.townname,ONRWICH,NORWICH
100.ovlpovlpstatus,RI,PRI
144.global_id,dc6157e-9ccf-4f1b-b5ad-4ca5a78adf8c,dc61576e-9ccf-4f1b-b5ad-4ca5a78adf8c
252.townname,FARMNGTON,FARMINGTON
9.ovlpovlpstatus,PIR,PRI
94.ovlpovlpstatus,PIR,PRI
188.townname,PRETSON,PRESTON
367.townname,VERNfON,VERNON
339.routeid,102544,1020544
