characteristic,sex,raceethnicity,year,earnings,standard_erroron_earnings,noteon_earnings,countinthousands,standard_erroron_countinthousands,noteon_count
Total ,NULL,NULL,2000,20800.0,248.0,NULL,4095.0,98.0,NULL
Total ,NULL,NULL,2001,19450.0,234.0,NULL,4117.0,80.0,NULL
Total ,NULL,NULL,2002,19910.0,258.0,NULL,3955.0,78.0,NULL
Total ,NULL,NULL,2003,19970.0,220.0,NULL,3971.0,79.0,NULL
Total ,NULL,NULL,2004,19070.0,363.0,NULL,4042.0,95.0,NULL
Total ,NULL,NULL,2005,19010.0,813.0,NULL,3927.0,81.0,NULL
Total ,NULL,NULL,2006,20070.0,558.0,NULL,3939.0,91.0,NULL
Total ,NULL,NULL,2007,19830.0,332.0,NULL,3940.0,101.0,NULL
Total ,NULL,NULL,2008,17370.0,845.0,NULL,3831.0,93.0,NULL
Total ,NULL,NULL,2009,17040.0,618.0,NULL,3690.0,88.0,NULL
Total ,NULL,NULL,2010,15790.0,39.0,NULL,3597.0,99.0,NULL
Total ,NULL,NULL,2011,16310.0,375.0,NULL,3413.0,94.0,NULL
Total ,NULL,NULL,2012,15930.0,398.0,NULL,3488.0,86.0,NULL
Total - Male,Male,NULL,2000,24000.0,490.0,NULL,2379.0,75.0,NULL
Total - Male,Male,NULL,2001,22040.0,299.0,NULL,2399.0,61.0,NULL
Total - Male,Male,NULL,2002,21700.0,372.0,NULL,2377.0,61.0,NULL
Total - Male,Male,NULL,2003,21220.0,340.0,NULL,2387.0,61.0,NULL
Total - Male,Male,NULL,2004,21880.0,722.0,NULL,2465.0,69.0,NULL
Total - Male,Male,NULL,2005,21170.0,620.0,NULL,2372.0,63.0,NULL
Total - Male,Male,NULL,2006,21400.0,843.0,NULL,2406.0,60.0,NULL
Total - Male,Male,NULL,2007,20880.0,510.0,NULL,2460.0,65.0,NULL
Total - Male,Male,NULL,2008,20140.0,923.0,NULL,2373.0,76.0,NULL
Total - Male,Male,NULL,2009,19970.0,917.0,NULL,2254.0,63.0,NULL
Total - Male,Male,NULL,2010,17830.0,381.0,NULL,2222.0,75.0,NULL
Total - Male,Male,NULL,2011,18200.0,509.0,NULL,2064.0,67.0,NULL
Total - Male,Male,NULL,2012,17960.0,346.0,NULL,2177.0,69.0,NULL
Total - Female,Female,NULL,2000,18400.0,524.0,NULL,1716.0,64.0,NULL
Total - Female,Female,NULL,2001,16860.0,553.0,NULL,1718.0,52.0,NULL
Total - Female,Female,NULL,2002,18510.0,494.0,NULL,1578.0,50.0,NULL
Total - Female,Female,NULL,2003,17470.0,710.0,NULL,1585.0,50.0,NULL
Total - Female,Female,NULL,2004,15810.0,879.0,NULL,1577.0,60.0,NULL
Total - Female,Female,NULL,2005,15280.0,916.0,NULL,1555.0,49.0,NULL
Total - Female,Female,NULL,2006,17070.0,103.0,NULL,1533.0,59.0,NULL
Total - Female,Female,NULL,2007,17280.0,709.0,NULL,1480.0,65.0,NULL
Total - Female,Female,NULL,2008,15790.0,628.0,NULL,1458.0,53.0,NULL
Total - Female,Femael,NULL,2009,14840.0,1088.0,NULL,1436.0,56.0,NULL
Total - Female,Femael,NULL,2010,12000.0,662.0,NULL,1375.0,58.0,NULL
Total - Female,eFmale,NULL,2011,13930.0,777.0,NULL,1349.0,58.0,NULL
Total - Female,Female,NULL,2012,14000.0,717.0,NULL,1311.0,55.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2000,22190.0,316.0,NULL,2585.0,78.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2001,20750.0,315.0,NULL,2647.0,64.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2002,20420.0,338.0,NULL,2468.0,62.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2003,21190.0,290.0,NULL,2513.0,63.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2004,20590.0,521.0,NULL,2524.0,76.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2005,20450.0,851.0,NULL,2371.0,68.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2006,20340.0,242.0,NULL,2378.0,70.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2007,20160.0,855.0,NULL,2404.0,80.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2008,17950.0,1065.0,NULL,2382.0,74.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2009,19230.0,798.0,NULL,2190.0,69.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2010,15640.0,252.0,NULL,2166.0,84.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2011,17300.0,1005.0,NULL,1899.0,76.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2012,17910.0,422.0,NULL,1890.0,69.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2000,18670.0,874.0,NULL,588.0,43.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2001,18690.0,1087.0,NULL,566.0,43.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2002,17150.0,996.0,NULL,525.0,41.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2003,14980.0,922.0,NULL,552.0,42.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2004,16640.0,1423.0,NULL,544.0,33.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2005,15900.0,967.0,NULL,560.0,34.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2006,19040.0,1319.0,NULL,568.0,38.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2007,16280.0,797.0,NULL,579.0,36.0,NULL
