characteristic,sex,raceethnicity,year,earnings,standard_erroron_earnings,noteon_earnings,countinthousands,standard_erroron_countinthousands,noteon_count
Total ,,,2000,20800.0,248.0,,4095.0,98.0,
Total ,,,2001,19450.0,234.0,,4117.0,80.0,
Total ,,,2002,19910.0,258.0,,3955.0,78.0,
Total ,,,2003,19970.0,220.0,,3971.0,79.0,
Total ,,,2004,19070.0,363.0,,4042.0,95.0,
Total ,,,2005,19010.0,813.0,,3927.0,81.0,
Total ,,,2006,20070.0,558.0,,3939.0,91.0,
Total ,,,2007,19830.0,332.0,,3940.0,101.0,
Total ,,,2008,17370.0,845.0,,3831.0,93.0,
Total ,,,2009,17040.0,618.0,,3690.0,88.0,
Total ,,,2010,15790.0,39.0,,3597.0,99.0,
Total ,,,2011,16310.0,375.0,,3413.0,94.0,
Total ,,,2012,15930.0,398.0,,3488.0,86.0,
Total - Male,Male,,2000,24000.0,490.0,,2379.0,75.0,
Total - Male,Male,,2001,22040.0,299.0,,2399.0,61.0,
Total - Male,Male,,2002,21700.0,372.0,,2377.0,61.0,
Total - Male,Male,,2003,21220.0,340.0,,2387.0,61.0,
Total - Male,Male,,2004,21880.0,722.0,,2465.0,69.0,
Total - Male,Male,,2005,21170.0,620.0,,2372.0,63.0,
Total - Male,Male,,2006,21400.0,843.0,,2406.0,60.0,
Total - Male,Male,,2007,20880.0,510.0,,2460.0,65.0,
Total - Male,Male,,2008,20140.0,923.0,,2373.0,76.0,
Total - Male,Male,,2009,19970.0,917.0,,2254.0,63.0,
Total - Male,Male,,2010,17830.0,381.0,,2222.0,75.0,
Total - Male,Male,,2011,18200.0,509.0,,2064.0,67.0,
Total - Male,Male,,2012,17960.0,346.0,,2177.0,69.0,
Total - Female,Female,,2000,18400.0,524.0,,1716.0,64.0,
Total - Female,Female,,2001,16860.0,553.0,,1718.0,52.0,
Total - Female,Female,,2002,18510.0,494.0,,1578.0,50.0,
Total - Female,Female,,2003,17470.0,710.0,,1585.0,50.0,
Total - Female,Female,,2004,15810.0,879.0,,1577.0,60.0,
