Id,SIGHTINGDATE,GROUPSIZE,LAT,LON,CERTAINTY,CATEGORY,MOM_CALF,DUPLICATE
29961,27-Jan-18,1,41.9,-70.4,Definite,US Coast Guard,No,
29941,26-Jan-18,3,36.56,-74.89,Definite,Dedicated Eg Aerial,No,
29923,23-Jan-18,4,36.55,-74.35,Definite,Opportunistic,No,
29902,24-Jan-18,2,41.81,-69.89,Definite,Opportunistic,No,
29893,22-Jan-18,1,26.05,-81.81,Definite,Opportunistic,No,
29892,22-Jan-18,1,35.25,-75.49,Probable,Commercial vessel,No,
29891,22-Jan-18,1,26.11,-81.81,Definite,Opportunistic,No,
29890,21-Jan-18,1,40.8,-70.02,Definite,Opportunistic,No,
29889,21-Jan-18,1,40.76,-70.01,Definite,Opportunistic,No,
29888,21-Jan-18,3,40.7,-70.17,Definite,Opportunistic,No,
29887,21-Jan-18,4,40.72,-70.11,Definite,Opportunistic,No,
29886,21-Jan-18,1,40.83,-70.15,Definite,Opportunistic,No,
29885,21-Jan-18,1,40.82,-70.15,Definite,Opportunistic,No,
29884,21-Jan-18,6,40.83,-70.16,Definite,Opportunistic,No,
29883,21-Jan-18,4,40.91,-70.39,Definite,Opportunistic,No,
29882,21-Jan-18,1,40.93,-70.14,Definite,Opportunistic,No,
29881,21-Jan-18,3,41.05,-70.95,Definite,Opportunistic,No,
29866,19-Jan-18,1,41.81,-70.34,Definite,Dedicated Eg Aerial,No,
29865,19-Jan-18,2,41.85,-70.36,Definite,Dedicated Eg Aerial,No,
29864,19-Jan-18,1,41.9,-70.21,Definite,Dedicated Eg Aerial,No,
29863,19-Jan-18,2,41.89,-70.21,Definite,Dedicated Eg Aerial,No,
29862,19-Jan-18,1,41.9,-70.22,Definite,Dedicated Eg Aerial,No,
29861,19-Jan-18,3,41.88,-70.31,Definite,Dedicated Eg Aerial,No,
29841,15-Jan-18,1,30.15,-85.77,Definite,Opportunistic,No,
29832,16-Jan-18,1,42.01,-70.48,Definite,Opportunistic,No,
29831,16-Jan-18,2,41.84,-70.22,Definite,Dedicated Eg Aerial,No,
29830,16-Jan-18,1,41.88,-70.33,Definite,Dedicated Eg Aerial,No,
29829,16-Jan-18,1,41.89,-70.32,Definite,Dedicated Eg Aerial,No,
29828,16-Jan-18,1,41.89,-70.32,Definite,Dedicated Eg Aerial,No,
29827,16-Jan-18,1,41.9,-70.33,Definite,Dedicated Eg Aerial,No,
29826,16-Jan-18,2,41.87,-70.34,Definite,Dedicated Eg Aerial,No,
29825,16-Jan-18,1,41.86,-70.34,Definite,Dedicated Eg Aerial,No,
29824,16-Jan-18,1,41.86,-70.34,Definite,Dedicated Eg Aerial,No,
29823,16-Jan-18,1,41.87,-70.34,Definite,Dedicated Eg Aerial,No,
29822,16-Jan-18,1,41.87,-70.33,Definite,Dedicated Eg Aerial,No,
29821,16-Jan-18,2,41.88,-70.34,Definite,Dedicated Eg Aerial,No,
29802,10-Jan-18,1,41.84,-70.42,Definite,Fishing Vessel,No,
29801,10-Jan-18,1,41.8,-70.47,Definite,Fishing Vessel,No,
29781,10-Jan-18,2,40.45,-72.81,Definite,Opportunistic,No,
29761,8-Jan-18,1,41.86,-70.46,Definite,Commercial vessel,No,
29741,24-Dec-17,2,42.06,-70.26,Definite,Opportunistic,No,
29721,5-Dec-17,6,47.36,-61.06,Definite,Dedicated Eg Aerial,No,
29703,14-Nov-17,1,50.03,64.47,Definite,Dedicated Eg Aerial,No,
29702,14-Nov-17,1,50.01,64.43,Definite,Dedicated Eg Aerial,No,
29701,13-Nov-17,1,47.62,62.28,Definite,Dedicated Eg Aerial,No,
29700,13-Nov-17,1,47.65,62.29,Definite,Dedicated Eg Aerial,No,
29699,13-Nov-17,1,47.61,62.32,Definite,Dedicated Eg Aerial,No,
29698,13-Nov-17,1,47.63,62.45,Definite,Dedicated Eg Aerial,No,
29697,13-Nov-17,2,47.33,62.69,Definite,Dedicated Eg Aerial,No,
