district,schoolsite,codistcode,sitecode(long),enrollment(double precision),certifiedstaff(long),gradeslowhigh,telephone,mailingaddress,city,statevalue,zip(double precision),county,principal,principalemail
ABLE CHARTER ABLE LEARNING,AjBLE CHARTER SCHOOL 6TH-8TH,55-Z005,971,11.0,5,06-08,(405) 990-2282,"4500 N. Classen Blvd., Suite 205",Oklahoma City,OK,73118.0,OKLAHwOMA,Tina Barker,tina.barker@ablecharterschool.com
ABLE CHARTER ABLE LEARNING,ABLE CHARTER SCHOOL 9TH-12TH,55-Z005,972,44.0,5,09-12,(405) 990-2282,"4500 N. Classen Blvd., Suite 205",Oklahoma Ciyt,OK,73118.0,OKLAHOMA,Judith Kuczynski,judy@christinainternationahls.com
ACHILLE,ACHILLE ES,07-I003,105,224.0,25,PK0-8,(580) 283-3002,PO Box 280,Achlile,K,74720.0,BRYAN,Dana Beene,dbeene@achilleisd.org
ACHILLE,ACHILLE HS,07-I00f3,705,95.0,15,-,(580) 283-3260,PO Box 280,Achhille,OK,74720.0,BRYNA,Dana Beene,dbeene@achilleisd.org
ADA,AD AEC CTR,62-I019,105,420.0,36,PK-KG,(580) 310-7238,603 West 33rd St,zAda,KO,74820.0,PONTOTOC,Rit Cloar,cloarr@adapss.com
ADA,HAYiES ES,62-I019,110,475.0,36,01-02,(580) 310-7924,500 South Mississippi Ave,Ada,OK,74820.0,PONTOTOC,Diana Clampitt,clampittd@adapss.com
ADA,WASHINGTON ES,6-2I019,125,386.0,35,03-04,(580) 310-7303,600 South Oak Ave,Aa,OK,74820.0,PONTOTOC,Pam Martin,martinp@adapss.com
ADA e,WILLARD ES,62-I019,130,342.0,41,05-06,(580) 310-7250,817 East Ninth St,Adaa,OK,74820.0,PONTOTOC,Kein Mann,mannk@adapss.com
ADA,ADA JHS,62-I019,610,532.0,66,07v-09,(580) 310-7260,223 West 18th St,iAda,KO,74820.0,PONTOTOC,Bryan Harwell,arwellb@adapss.com
ADA,ADA HS,62-I019,705,533.0,71,10-12,(580) 310-7220,1400 Stadium Drive,Amda,OK,74820.0,PONTOTOC,Charles Golightly,golightlyc@adapss.com
ADAIR,BERNITA HUGHES ES,46-I002,105,524.0,36,PK-05,(918) 785-2438,PO Box 197,dAair,OK,74330.0,MAYES,Becky Delozier,b_delozier@adairchools.org
ADAIR m,ADAIR MS,46-I002,505,201.0,30,06-08,(918) 785-2425,PO oBx 197,bAdair,K,74330.0,MAYES ***,Brad Rogers,brogers@adairshcools.org
ADAIR,ADAIR HS,46-I002,705,311.0,32,0912,(918) 75-2424,PO Box 197,Adair,OK,74330.0,MAYES,Mark Lpipe,mlippe@adairschols.org
AFTON ***,AFTON ES,58-I026,105,380.0,34,PK-08,(918) 257-8304,PO Box 100,Afon,OK,74331.0,OTTAWA,Kim Johnson,kjohnson@aftonschools.net
