324.telephone,580) 296-2198,(580) 296-2198
628.district,fHAILEYVILLE                   ,HAILEYVILLE                   
1366.county,MAJOR      ,MAJOR       
1310.schoolsite,PRETTY WTAER PUBLIC SCHOOL    ,PRETTY WATER PUBLIC SCHOOL    
964.gradeslowhigh,q07-08,07-08
635.telephone,(580) 88-4258,(580) 888-4258
1083.district,OKC CHARTER: DOVE SCIENCE ACDA,OKC CHARTER: DOVE SCIENCE ACAD
57.city,Ardmre,Ardmore
794.district,LAWTON                       ,LAWTON                        
1605.principal,Robert Wilbson,Robert Wilson
657.gradeslowhigh,9-12,09-12
1358.principal,andy Brigance,Randy Brigance
456.city,Edond,Edmond
660.codistcode,37-I06,37-I016
1609.schoolsite,DISNEY ES                     ***,DISNEY ES                     
303.city,Clarmore,Claremore
535.mailingaddress,POf Box 489,PO Box 489
1792.telephone,(918) 642-c3295,(918) 642-3295
1285.statevalue,K,OK
324.schoolsite,WARD ES EST                  ,WARD ES EAST                  
729.principalemail,cbryn@justice.k12.ok.us,cbryan@justice.k12.ok.us
1143.mailingaddress,1601 Northwesht 36th St,1601 Northwest 36th St
102.principal,Donnie Bridgmean,Donnie Bridgeman
331.principalemail,james.mliler@coleman.k12.ok.us,james.miller@coleman.k12.ok.us
1192.principal,Kanzuni Yilmaz,Kanuni Yilmaz
425.principalemail,kbilyeu@drumright.k12.ko.us,kbilyeu@drumright.k12.ok.us
908.district,MIDWEoST CITY-DEL CITY         ,MIDWEST CITY-DEL CITY         
1817.county,CAADIAN    ,CANADIAN    
200.gradeslowhigh,PK-80,PK-08
1246.district,PAULS VALLEY                 ,PAULS VALLEY                  
1504.district,STRdOTHER                      ,STROTHER                      
88.district,ATTIEST                      ,BATTIEST                      
614.codistcode,42-I01,42-I001
1017.mailingaddress, 906 .S Heights Drive, 906 S. Heights Drive
289.codistcode,5-I004,55-I004
190.city,Brken Bow,Broken Bow
127.principal,Lissa Mcfmillin,Lissa Mcmillin
1406.statevalue,uOK,OK
43.gradeslowhigh,2-03,02-03
1538.codistcode,34-C00n3,34-C003
928.principal,Lorinda hCancellor,Lorinda Chancellor
199.telephone,(580) 4312222,(580) 431-2222
