OBJECTID,GlobalID,VRM_ID,LUP_ID,LUP_NM,VRM_CLASS,DSGNTN_SRCE,DSGNTN_RSN,ADMIN_ST,ADM_UNIT_CD,COORD_SRC_TYPE,COORD_SRC2,GIS_ACRES,AZ_DSTRBTE_EXTRNL_CODE,Shape__Area,Shape__Length
1,{92554906-DBAA-4949-8597-3C145378F198}, , , ,II , , ,AZ,AZA01000,UNK,,4855.70183352,,19650328.1502417,34677.3885853249
2,{FABAF671-1202-4BE7-A7FC-769A57EBBE1C}, , , ,III , , ,AZ,AZA01000,UNK,,90.78341698,,367387.454056935,3023.77380198737
3,{6CDCAA71-86E9-4390-8E1D-6FDC7953C8C4}, , , ,IV , , ,AZ,AZA01000,UNK,,6750.89247354,,27319892.5634654,37730.6075935174
4,{7A53A6F7-8850-4AF5-A733-57EA6E6F4B42}, , , ,II , , ,AZ,AZA01000,UNK,,17410.00778802,,70455801.8310037,49062.0265746771
5,{49A7403A-1004-43B1-B00A-9719F4DBEC97}, , , ,I , , ,AZ,AZA01000,UNK,,8601.52576196,,34809139.7722233,41672.5673648095
6,{2D94AB05-613B-48B7-A098-422618F16256}, , , ,II , , ,AZ,AZA01000,UNK,,1083.00977483,,4382785.06278981,14160.5228953222
7,{F6BFFF79-C1FF-4D39-8D23-A4C3B409EEB3}, , , ,II , , ,AZ,AZA01000,UNK,,288.3222745,,1166798.84829953,6765.93689917804
8,{190DBD7D-5550-4A7D-AB47-ADFB605D85A3}, , , ,IV , , ,AZ,AZA01000,UNK,,42398.64414417,,171581225.355895,218787.186949307
9,{CD53C85A-B801-4E43-9B6F-E6968EBFABC3}, , , ,III , , ,AZ,AZA01000,UNK,,23093.13960375,,93454620.3188032,73580.2675000675
10,{C4CDAE86-AD4D-4600-AB25-1D514C0DF336}, , , ,II , , ,AZ,AZA01000,UNK,,427.63677549,,1730584.63133231,5404.86796926398
11,{F5438350-5F1D-4D99-96E7-9C6419815C3C}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,282.96640716,,1145124.42215654,4944.78290978671
12,{1971508B-9479-4831-A273-688FE036740A}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,223.98986448,,906454.821640705,8891.56934697505
13,{61741841-B1EC-4BEB-A21A-8C22F4E7B857}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,II , , ,AZ,AZA01000,UNK,,613.88368563,,2484299.1357824,8643.65779904928
14,{9BF738C7-2D49-47AD-A304-25341E6105DE}, ,LUP-AZ-009,Arizona Strip Field Office Resource Management Plan,III , , ,AZ,AZA01000,UNK,,24.89485878,,100745.91915137,2342.04755889566
