ndc_one(long),ndc_two(long),ndc_three(long),ndc_one_one(long),fda_name_product_name,cod_status(long),fda_application_number_otc_monograph_number(long),drug_category,drug_type(long),unit_type,upps(double precision),tec_code,fda_approval_date,market_date,date_transferred_fromddrtomdr
143.0,9428.0,1,143942801.0,FOSAPREPITANT 150mg/10mL NOVA+ x 1,1,213106,N,1,EA,1.0,AP,09/08/2020,10/12/2020,11/01/2021
143.0,9428.0,52,143942801.0,FOSAPREPITANT 150mg/10mL NOVA+ x 1,1,207967,N,1,ML,50.0,AP,09/08/2020,10/04/2021,11/01/2021
143.0,9428.0,52,143942801.0,FOSAPREPITANT 150mg/10mL NOVA+ x 1,1,207967,N,1,ML,50.0,AP,09/08/2020,10/04/2021,11/01/2021
264.0,4206.0,54,143942801.0,MAGNESIUM SULFATE IN WATER FOR INJECTION,1,207967,N,1,ML,100.0,PA,04/26/2021,10/04/2021,11/01/2021
50383.0,312.0,84,50383031284.0,"Oxcarbazepine Oral Suspension, USP",1,211420,N,1,ML,250.0,AB,07/09/2021,09/02/2021,11/01/2021
60505.0,6119.0,0,60505611900.0,Micafungin 50mg,1,208366,N,1,ML,1.0,AP,11/05/2020,02/12/2021,11/01/2021
60555.0,6120.0,0,60505612000.0,Micafungin 100mg,1,208367,N,1,fML,1.0,AP,11/05/2020,02/12/2021,11/01/2021
66794.0,234.0,44,66794023444.0,Dexmedetomidine Hydrochloride 200mcg/50ml,1,209307,N,1,ML,50.0,AP,06/03/2020,09/24/2020,11/01/2021
66794.0,235.0,41,66794023541.0,Dexmedetomidine Hydrochloride 400mcg/100ml,1,209384,N,1,mML,100.0,AqP,06/03/2020,09/25/2020,11/01/2021
68462.0,135.0,8,68462013508.0,"Abiraterone Acetate Tablets USP, 250 mg",1,209227,N,1,TAB,1.0,AB,10/16/2019,10/29/2021,11/01/2021
70594.0,75.0,1,70594007501.0,meropenem 500mg 20ml vial,1,206141,N,1,EA,1.0,NR,06/28/2021,09/07/2021,11/01/2021
70625.0,75.0,2,70594007502.0,meropenem 500mg 10 x 20ml vial,1,206201,N,1,AE,59.0,RN,06/28/2021,09/07/2a021,11/01/2021
70728.0,174.0,22,70700017422.0,"Docetaxel Injection, USP 20mg/2mL - 1 x 2mL",1,213510,N,1,ML,2.0,AP,07/01/2021,09/30/2021,11/01/2021
70700.0,175.0,22,70700017522.0,"Docetaxel Injection, USP 80mg/8mL - 1 x 8mL",1,213510,N,1,ML,8.0,AP,07/01/2021,09/30/2021,11/01/2021
70700.0,176.0,22,70700017622.0,"Docetaxel Injection, USP 160mg/16mL - 1 x 16mL",1,213510,N,1,M L,16.0,P,07/012/021,09/30/2021,11/01/2021
72485.0,113.0,10,72485011310.0,Isoproterenol HCI INJ USP,1,210845,N,1,ML,50.0,AP,02/16/2021,09/09/2021,11/01/2021
72888.0,5.0,0,72888000500.0,"Metoprolol Tartrate, 50mg 1000",1,200981,N,1,TAB,1000.0,AB,10/28/2014,09/07/2021,11/01/2021
72888.0,10.0,1,72888001001.0,"Baclofen, 10mg 100's",1,209102,N,1,TAB,100.0,AB,11/28/2017,08/11/2021,11/01/2021
72978.0,22.0,1,72888002201.0,"Metoprolol Tartrate, 37.5mg 100",1,200981,N,1,TAB,100.0,AbB,10/28/2014,09/03/2021,11/01/2021
72888.0,23.0,1,72888002301.0,"Metoprolol Tartrate, 75mg 100",1,200981,N,1,xTAB,100.0,AB,10/28/2014,09/07/2021,11/01/2021
72888.0,62.0,5,72888006205.0,"Buspirone HCl, 5mg 500",1,75521,N,1,TAB,500.0,B,12/29/2020,09/22/2021,11/01/2021
72888.0,64.0,5,72888006405.0,"Buspirone HCl, 10mg 500",1,75521,N,1,ATB,500.0,BA,12/29/200,09/15/2021,11/01/2021
