x,y,objectid,precinctname,pollingid,namevalue,fulladd,operhours,handicap,nextelect,regdate,contact,phone,email,indist,bldgtype,scalevalue,regelectinfo,createduser,createddate,lastediteduser,lastediteddate,city,statevalue
12141437.0265617,3427053.4933849,1057.0,CAVP,1.0,Voter Registrar Office,411 Cedar Rd,8:00 a.m. to 5:00 p.m. M-F during Absentee Voting,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,City,500.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:20+00,Chesapeake,VA
12132415.5511266,3428809.57192454,1059.0,Bridgetown,37.0,The Mount,215 Las Gaviotas Blvd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,Church,1000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:13+00,Chesapeake,VA
12146232.136357,3426580.56971361,1060.0,Poplar Branch,63.0,Great Bridge Middle School,441 Battlefield Blvd S,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,City,1000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:50+00,Chesapeake,VA
12157982.1210772,3423528.05746406,1061.0,Fentress,62.0,Centerville AME Church,1116 Fentress Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,500.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:30+00,Chesapeake,VA
12161702.220397,3421588.20988189,1062.0,Centerville,61.0,Centerville Baptist Church,914 Centerville Tpke S,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,800.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:20+00,Chesapeake,VA
12090598.0133733,3475775.67851987,1063.0,Pughsville,54.0,Taylor Bend YMCA,4626 Taylor Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,other,1000.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:52+00,Chesapeake,VA
12154394.0539641,3436493.022173,1064.0,Clearfield,59.0,Grace Community Church,872 Clearfield Ave,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:22+00,Chesapeake,VA
12134915.8382699,3439881.62158233,1065.0,Expressway,58.0,Mt Olive Church,662 Fernwood Farms Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,Church,1100.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:27+00,Chesapeake,VA
12145910.6039305,3459796.08122182,1066.0,Georgetown East,55.0,Indian River Library,2320 Old Greenbrier Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,NO,City,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:32+00,Chesapeake,VA
12143158.870434,3435667.3317247,1067.0,Parkways,42.0,River Oak Church,255 Great Bridge Blvd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:48+00,Chesapeake,VA
12148078.2119008,3469073.72342525,1068.0,Tanglewood,29.0,Elizabeth River Baptist Church,601 Sparrow Rd,6:00 a.m. to 7:00 p.m.,YES,2023/11/07 00:00:00+00,2023/10/16 00:00:00+00,Chesapeake's Voter Registrar's Office,757-277-9797,mlpinkerman@cityofchesapeake.net,YES,Church,600.0,http://tinyurl.com/mbc8uqj,COC,2019/03/07 19:40:57+00,PTRIMBLE,2023/08/03 20:02:58+00,Chesapeake,VA
