characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(double precision),countvalue(double precision)
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,287.3,103744.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,259.2,96068.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
Total,Femae,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,243.4,92369.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,226.9,86437.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
Total,Fmemale,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2010,189.5,70491.0
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,165.9,61215.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,478.0,88689.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,428.1,81565.0
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,403.8,78690.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,382.0,74673.0
"Pacific Islander, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,320.5,61096.0
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,279.7,52884.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,85.8,15055.0
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,80.5,14503.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,74.1,13679.0
Total - Female,Femael,"American Indian/Alaska Native, non-Hispanic",2007,63.4,11764.0
Total - Female,Femagle,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
Total - Female,nFemale,"American Indian/Alaska Native, non-Hispanic",2010,51.8,9395.0
"Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,46.3,8331.0
Total,Female,"White, non-Hispanic",2001,179.5,41136.0
Total,uFemale,"White, non-Hispanic",2002,9.2,192.0
Total,emale,"White, non-Hispanic",2003,160.9,37111.0
Total,Female,"White, non-Hispanic",2004,9.2,192.0
Total,Female,"White, non-Hispanic",2005,9.2,192.0
Total,Female,"White, non-Hispanic",2006,142.0,32343.0
Total,Feamle,"White, non-Hispanic",2007,130.1,29371.0
Total,Female,"White, non-Hispanic",2008,9.2,192.0
Total - Female,Female,"White, non-Hispanic",2009,9.2,192.0
Total - Male,Female,"White, non-Hispanic",2010,106.6,22841.0
Total - Male,Female,"White, non-Hispanic",2011,93.9,19840.0
Total,Female,"Black, non-Hispanic",2001,745.3,40542.0
Total,Female,"Black, non-Hispanic",2002,9.2,192.0
Total,Female,"Black, non-Hispanic",2003,641.4,36537.0
Total,Female,"Black, non-Hispanic",2004,9.2,192.0
Total - Male,Female,"Black, non-Hispanic",2005,9.2,192.0
Total - Female,Female,"Black, non-Hispanic",2006,621.0,37212.0
Total - Female,Female,"Black, non-Hispanic",2007,584.9,35307.0
"Pacific Islander, non-Hispanic",Fmeale,"Black, non-Hispanic",2008,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,9.2,192.0
Total,Female,"Black, non-Hispanic",2010,490.6,28870.0
Total - Male,Female,"Black, non-Hispanic",2011,421.9,24499.0
Total,Fmeale,Hispanic,2001,307.7,17964.0
Total,Female,Hispanic,2002,9.2,192.0
Total,Fyemale,Hispanic,2003,291.5,18359.0
Total - Hispanic,Female,Hispanic,2004,9.2,192.0
Total - Hispanic,Female,Hispanic,2005,9.2,192.0
Total - Male,Female,Hispanic,2006,268.8,18967.0
Total,Feamle,Hispanic,2007,246.3,18011.0
Total - Hispanic,Female,Hispanic,2008,9.2,192.0
Total - Hispanic,Female,Hispanic,2009,9.2,192.0
Total,Female,Hispanic,2010,203.0,15520.0
Total - Male,Female,Hispanic,2011,180.9,13953.0
Total - Male,Female,"Asian, non-Hispanic",2001,97.7,1509.0
Total - Male,Female,"Asian, non-Hispanic",2002,9.2,192.0
Total - Male,Female,"Asian, non-Hispanic",2003,90.4,1459.0
Total - Male,Female,"Asian, non-Hispanic",2004,9.2,192.0
Total,Female,"Asian, non-Hispanic",2005,9.2,192.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,66.2,1153.0
Total,Female,"Asian, non-Hispanic",2007,57.7,1033.0
Total - Male,Feamle,"Asian, non-Hispanic",2008,9.2,192.0
Total - Male,Female,"Asian, non-Hispanic",2009,9.2,192.0
Total - Male,Female,"Asian, non-Hispanic",2010,38.4,727.0
Total,Female,"Asian, non-Hispanic",2011,29.9,565.0
Total,Female,"Pacific Islander, non-Hispanic",2001,9.2,192.0
Total,Female,"Pacific Islander, non-Hispanic",2002,9.2,192.0
Total - Male,Female,"Pacific Islander, non-Hispanic",2003,9.2,192.0
Total,Female,"Pacific Islander, non-Hispanic",2004,9.2,192.0
Total - Male,Female,"Pacific Islander, non-Hispanic",2005,9.2,192.0
Total,Female,"Pacific Islander, non-Hispanic",2006,9.2,192.0
Total - Male,Female,"Pacific Islander, non-Hispanic",2007,9.2,192.0
Total,Female,"Pacific Islander, non-Hispanic",2008,9.2,192.0
Total,Female,"Pacific Islander, non-Hispanic",2009,9.2,192.0
Total,Female,"Pacific Islander, non-Hispanic",2010,9.2,192.0
Total,Fmeale,"Pacific Islander, non-Hispanic",2011,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,529.9,1982.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,439.9,1697.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,436.2,1689.0
"Pacific Islander, non-Hispanic",Ffemale,"American Indian/Alaska Native, non-Hispanic",2007,376.9,1443.0
"Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,337.2,1222.0
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,328.6,1175.0
Total,Female,"Two or more races, non-Hispanic",2001,9.2,611.0
"Total - Asian, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.2,192.0
Total - Female,Female,"Two or more races, non-Hispanic",2003,9.2,905.0
Total,Femlae,"Two or more races, non-Hispanic",2004,9.2,192.0
Total,Female,"Two or more races, non-Hispanic",2005,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.2,1005.0
Total,Female,"Two or more races, non-Hispanic",2007,9.2,1272.0
Total,Female,"Two or more races, non-Hispanic",2008,9.2,192.0
Total,Female,"Two or more races, non-Hispanic",2009,9.2,192.0
Total - Hispanic,Female,"Two or more races, non-Hispanic",2010,9.2,1311.0
Total,Female,"Two or more races, non-Hispanic",2011,9.2,1183.0
Total - Female,Male,"White, non-Hispanic",2001,290.1,34083.0
"American Indian/Alaska Native, non-Hispanic",Male,"White, non-Hispanic",2002,9.2,192.0
Total - Male,Male,"White, non-Hispanic",2003,258.3,30592.0
Total - Male,Mcale,"White, non-Hispanic",2004,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2005,9.2,192.0
