OBJECTID,Class,GIS_acres,CREATE_DATE,MODIFY_DATE,GlobalID,SHAPE_Length,SHAPE_Area
1,K,17.51899261,,,{83C265DC-C5F8-43EA-993D-79592B90D4AD},1201.36381314582,70897.1293797689
2,K,9.65673993,,,{2826D907-0620-494A-B99D-92233E8A4AF8},1394.12620283016,39079.5952253996
3,K,3195.98359639,,,{33ADB6CE-3844-4082-AD71-EDDD542607DA},16429.0563062543,12933738.113926
4,K,1.65916913,,,{AE463D49-D2E2-431B-A24D-3A48526AEC3C},997.984890181442,6714.44595424435
5,K,517.81430856,,,{6D322DC7-B7FC-4748-8990-B3CBFD294FB0},13922.7245438713,2095528.48336916
6,K,4.79846614,,,{412089A2-CCE4-4FCD-9FC6-42C9F2D01377},747.102814696299,19418.7806842143
7,K,28694.58646347,,,{94D8E846-1DC7-49BF-8A2D-390BDF030039},70364.4894108391,116123332.743049
8,K,185.95739058,,,{0865C31A-D0F1-46E2-8A4A-A6D8EADF35CD},4062.95482377172,752545.84938788
9,K,1.50734797,,,{64A9AB0A-63E8-4D65-AED1-255B390E7D30},800.829976040908,6100.04507905984
10,K,10.20996803,,,{10F9D75C-13F4-4E1C-BF74-874222E031A9},1372.1732500006,41318.4388415868
11,K,50237.09007505,,,{6C14A41D-FDFE-4772-A0ED-295B51B881F5},102898.020185815,203303098.103699
12,K,43640.82061712,,,{C6CEF8A0-F31A-4DBE-83D2-D09B21421F1D},79039.7422046926,176608836.658197
13,K,5.31117795,,,{021E78AF-A033-4E72-A310-1DBDB3FB9DE8},887.396929280229,21493.6599880546
14,K,5.78571898,,,{44DE5EC5-D967-4CE1-BD08-6009D9912820},907.884791364896,23414.0670135476
15,K,9.1745629,,,{B1C97DF5-86C2-46AD-A733-13EDF89E0B15},1086.78580368687,37128.286265148
16,K,53.30786572,,,{C4E8F5ED-EEDA-44B8-9890-DDC26AFE2B3D},2335.61173459074,215730.135620679
17,K,2.71243003,,,{D6621CC5-E631-4E6C-985D-FEB05E8FBE43},1597.39274905892,10976.8585131198
18,K,2.46861526,,,{F7E47235-5BE6-4A6B-8DD0-610021000D4B},501.476783437435,9990.17121822174
19,K,3.76740515,,,{A21572F7-A73C-420B-89B6-FDDFA1B3EE9A},758.118995961808,15246.2082966162
20,K,1.06683162,,,{A849154A-7AB6-44A5-B67C-0CD3730F3552},714.907007424882,4317.33156799928
21,K,4.51174737,,,{AE9644C6-A578-4789-864D-B508456E9BE3},1171.69659952343,18258.4663664588
22,K,6343.47477133,,,{008F8EA9-6623-4947-B939-CBCC9621C6DE},22307.0601301983,25671233.5811804
23,K,931.14789079,,,{716352AF-0995-4478-9A92-0FF8CB3DD1E0},13920.7332996279,3768236.78896598
24,K,576.38539381,,,{813E4405-EB65-41DD-AA28-75E7E0C90566},6989.94051635131,2332558.19733122
25,K,11.74306908,,,{ADF9DF7D-780C-4880-A69C-AE39E42774BA},1016.12224296069,47522.7033028786
26,K,172.43677545,,,{B684D4D4-8614-45A1-88CF-4841E8E6A8C2},4693.95530757474,697829.643868613
27,K,10146.90457554,,,{28802B17-F58F-48B7-A137-563928747AC8},44491.1854187422,41063229.0462854
28,K,1.5467281,,,{1023D0AE-F699-4600-97E8-A408B6C0E713},2156.81299611719,6259.41143096836
29,K,5857.91719335,,,{A4CDD723-C9FA-4922-B213-24AB9C6294EE},28088.7791586477,23706243.9736181
30,K,78217.36573141,,,{211BBA1C-5302-4C0A-9724-468F3F388B72},97867.2515587402,316535706.087872
31,K,54426.82543576,,,{B89152EF-2C87-48D4-B55B-75AFE0A8E044},114333.343360961,220258422.900442
32,K,14.96679669,,,{34AB0092-0ABF-478A-BD61-56254712E894},2618.17462558511,60568.7179070136
33,K,3273.27930336,,,{54B2F8EC-9CF2-4A60-99C3-1C51EA88FC2D},21280.8781504776,13246543.9844889
34,K,8.35759865,,,{929A5FBA-C931-485D-9F3B-CBD80292781D},1328.86871268998,33822.1361489749
35,K,1.57745459,,,{85F21B5E-E2E1-49BC-8B72-0C7F88D0D734},434.498760736986,6383.75762470283
36,K,152.3863253,,,{7BE14603-975C-4B0D-9581-D297D5EBE39F},4779.62565923284,616688.028638378
37,K,15715.69288746,,,{86E9294A-8617-46FB-A04A-C8F3EC8DF3F5},38016.7513089818,63599405.3018396
38,K,6359.19335937,,,{0497987F-CB56-407B-B8A3-435F403471C6},38932.691711442,25734844.7027727
39,K,30046.83883794,,,{F666DBDC-8C05-4880-AAB7-10E6E95EC0BE},50467.4119290757,121595725.684955
40,K,8268.09652154,,,{E64B718A-DA9D-4CB7-8C58-CB25C8E3B04B},38378.4745386294,33459932.4072755
41,K,446.39163129,,,{D0F8B9FA-F31D-406A-87F2-50FB497B8A38},6896.72558673412,1806490.01512901
42,K,6153.39344325,,,{2A303EB1-A302-4474-B0C5-6AF9A2EE60D2},21944.622859892,24901998.6825674
43,K,9.1138952,,,{7CBAE2F3-50D0-4D0D-AA6A-FFDA566C5D35},1200.54418746084,36882.7718458141
44,K,95.20338175,,,{FDF8C887-10ED-4915-AB63-10E93E6FC95C},3038.5943111031,385275.947170446
45,K,23454.76069193,,,{487BC691-13D1-4065-A818-5120637E1EE5},45322.9544322431,94918425.9443838
46,K,579.85783769,,,{03E1EF53-3E74-4343-AAD4-B186CE39F0E7},8696.82685350498,2346610.73496942
47,K,495.06960617,,,{62F118D2-844C-4C4D-B5C4-8AA08677FC9D},9140.92812202474,2003483.57282408
