2.bndryinac,2001/05/09 00:00:00+00***,2001/05/09 00:00:00+00
25.adminst,NdV,NV
16.lupanm,Shoshone-Eureka Resource Managemnet Plan,Shoshone-Eureka Resource Management Plan
25.lupanm,Las Vgas,Las Vegas
22.lastedi_one,2021/n11/16 00:00:00+00,2021/11/16 00:00:00+00
5.lupstatus,HISrT,HIST
13.lupaid,LUPA00609,LUPA001609
16.lupaid,LUPA00110,LUPA001610
3.lupid,LUPN-V-004,LUP-NV-004
3.adminst,V,NV
5.palocali,, 
2.lupaid,LUPA0016j02,LUPA001602
1.palocali,***, 
19.palocali,o , 
7.bndryinac,215/05/22 00:00:00+00,2015/05/22 00:00:00+00
21.lupanm,Black Rock Desert-High Roc kCanyon National Conservation Area Resource Management Plan,Black Rock Desert-High Rock Canyon National Conservation Area Resource Management Plan
17.lupstatus,EIXST,EXIST
8.adminst,V,NV
10.lupaid,LUPA01622,LUPA001622
10.lupanm,attle Mountain,Battle Mountain
14.bndryinac,200/08/20 00:00:00+00,2008/08/20 00:00:00+00
11.lastedi_one,2017h/10/05 00:00:00+00,2017/10/05 00:00:00+00
10.palocali,, 
10.adminst,V,NV
10.lupid,LU-NV-022,LUP-NV-022
2.lupstatus,HST,HIST
20.bndryinac,2008/08/20 00:0000+00,2008/08/20 00:00:00+00
9.lupstatus,IHST,HIST
25.lupid,LUP-N-026,LUP-NV-026
4.adminst,VN,NV
9.lupanm,Sonoma-Geurlach,Sonoma-Gerlach
14.lastedi_one,2021/10/19 0:00:00+00,2021/10/19 00:00:00+00
17.lastedi_one,2021/10/1 900:00:00+00,2021/10/19 00:00:00+00
16.bndryinac,2008/08/20 00:00:0+00,2008/08/20 00:00:00+00
11.lupid,LPU-NV-023,LUP-NV-023
8.lupanm,Lahonatn,Lahontan
7.lupanm,Paradise-pDenio,Paradise-Denio
14.palocali,***, 
22.lupaid,ULPA001621,LUPA001621
11.palocali,, 
