yearvalue,statevalue,county,hai,operativeprocedure,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,procedurecount(long),infectionsreported(long),infectionspredicted(double precision)
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA,70001349.0,Lucile Packardc Children''s Hospital Stanford,Acute Care Hospital,Major Teaching,9757,31,56.02
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Appendix surgery,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,4221,7,16.16
2020H1,California,Los Angeles,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,97,0,1.81
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALFORNIA POOLED DATA - Cardiac surgery,70001349.0,Lucile Packard Children''sHospital Stanford,Acute Care Hosfpital,Major Teachinjg,792,5,8.14
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cesarean section,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,188,1,0.6
202r0H1,Califrnia,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major eaching,343,4,6.76
020H1,California,Los Angeles,Surgical Sijte Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),70001349.0,Lucile aPckard Children''s Hospital Stanford,Acute Care Hospital,Mjaor Teaching,860,1,4.31
2020H1,California,Los Angeles,SurgicalSite Infections (SSI),STATE O CALIFORNIA POOLED DATA - Gallbladder surgery,70001349.0,Lucile Packard Children's Hospital Stanford,AcuteCare Hospital,Major Teaching,376,0,0.26
2020H1,Caliofrnia,Los gAngeles,uSrgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,20,0,0.08
2020H1,Califfornia,Los Angeles,Surgiceal Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, abdominal",70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,4,0,0.08
20o20H1,California,os Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplant,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,41,0,0.33
2020Hl1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLEDDATA - Knee prosthesis,70001349.0,Lcuile Packard Children''s Hospital Stanford,Acute Care Hospital,Major Teaching,4,0,0.04
2020H1,Califronia,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teacehing,228,1,1.46
020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Liver transplant,70001349.0,Lucile Packard Children''s Hspital Stanford,cAute Care Hospital,Major Teaching,22,1,1.52
2020H1,Californai,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,1069,2,3.94
2020H1,Califronia,Los Angeeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Rectal surgery,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teacing,94,0,0.27
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Small bowel surgery,70001349.0,Lucile Packard Children''s Hospital Satnford,AcuteC are Hospital,Major Teaching,482,2,4.56
2020H1,Californica,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spinal fusion,70001349.0,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Major Teaching,477,3,4.92
2020H1,California,Los Angeles,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Thoracic surgrey,70001349.0,Lucle Packard Children''s Hospital Stanford,Acute Care Hospital,Major Teaching,439,4,0.8
2020H1,Calgifornia,Sacramento,Surgical Site Infections (SSI),All prcoedures,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000037.0,Methodist Hospital of Sacramenot,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.0
2020H1,California,Scramento,Surgical Site Infections (SuSI),Cesarean section,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",4,0,0.01
2020H1,Californcia,Amador,Surgical Site Infections (SSI),All procedures,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.0
2020H1,California,Amador,Surgical Site Infections (SSI),Appendix surgey,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Copmmunity, <125 Beds",3,0,0.0
20201H,California,Placer,SurgicalS ite Infections (SSI),All procedures,30000109.0,Sutter Auburn Faith Hospital,Aucte Care Hospital,"Community, <125 Bedks",2,0,0.0
202H01,Califronia,Placer,Surgical Site Infections S(SI),Appendix surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Cmmunity, <125 Beds",1,0,0.0
2002H1,California,Placer,Surgical Siet Infections (SSI),Open reduction of fracture,30000109.0,Sutter Auburn Faithr Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020Hn1,Calfiornia,Sacramento,Surgical Site Infections (SSI),All procedures,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teacing,272,2,2.87
2020H1,iCalifornia,Sacramenot,Sugical Site Infections (SSI),Appendix surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,48,0,0.28
2020nH1,California,Sacramcento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,4,0,0.18
202v0H1,California,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,30000113.0,Universityof California Davis Medical Center,Acute Care Hospital,Major Teachking,26,0,0.28
2020H1,California,Scramento,Surgical Site Infectionsm (SSI),Cesarea nsection,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,2,0,0.0
2020H1,Calfornia,Saramento,Surgical Site Infections (SSI),Colon surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,19,1,0.75
2020aH1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,54,0,0.47
20201,Califonria,Sacarmento,Surgical Site Infections (SSI),Gallbladder surgery,30000113.0,University of California Davis Mediacl Center,Acute Care Hosptal,Major Taching,11,0,0.01
2020H1,Calfiornia,Sacramento,Surgical Site Infections (SSI),Kidney transplant,30000113.0,Universit of California Davis Medical Center,Acute Care Hospital,Major Teaching,2,0,0.02
2020H1,California,Sacramento,Surgical Site Infections (SSI),Lamiectomy,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,7,0,0.05
2020H1,California,Sacramento,Surgicaly Site Infections (SSI),Open reductiono f fracture,30000113.0,University of Caliofrnia Davis Medical Center,Acute Care Hospital,Major Teaching,44,0,0.41
2020H1,Californai,Sacramenot,Surgical Site Infections (SSI),Rectal surgerey,30000113.0,University of California Davis Medical Cetner,Acute Care Hospital,Major Teaching,6,0,0.02
20201H,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000113.0,Univerity of California Davis Medical Center,Acute Care Hospital,Major Teaching,22,0,0.22
2020H1,Califonria,Sacramento,Surgical Site Infections (SSI),Spinal fusin,30000113.0,University of California Davis Medical Center,Acute Care Hospitla,Major Teaching,4,0,0.06
2020H1,California,Sacramegnto,Surgicla Site Infections (SSI),Thoracic surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Maojr Teaching,23,1,0.13
2m020H1,California,El Dorado,Surgical Site Infections (SSI),All prcoedures,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Commuqnity, <125 Beds",12,0,0.07
20201,Cailfornia,El Dorado,Surgcal Site Infections (SSI),Appendix surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.01
2020H1,California,El Dorado,Surgical Site Inferctions (SSI),Exploratory nabdominal surgery (laparotomy),30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.01
2020H1,California,El Dorado,Surgical Site Infections( SSI),Open reduction of fracture,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"ommunity, <125 Beds",6,0,0.02
2020H1,California,El Dorado,Surgical Site Infections (SSI),Small bowel surgery,30000114.0,Bartn Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.04
2020H1,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",8,0,0.01
020H1,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",8,0,0.01
220H1,California,El Dorado,Surgical Site Infections (SSI),All procedures,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <152 Beds",9,0,0.01
2020H1,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,30000121.0,Marshal lMedical Center,AcuteC are Hospital,"Community, <125 Beds",6,0,0.0
020H1,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",2,0,0.0
2020H1,California,El Dorado,Surgical Site Infectios (SSI),Open reduction of fwracture,30000121.0,Marshall Medical Center,Acute Care Hospital,"Cmomunity, <125 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),All procedures,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",26,0,0.12
2020H1,California,Styanislaus,Surgical Site Infections (SSI),Apendix surgery,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",13,0,0.07
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Cesarean section,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",2,0,0.0
