907.operativeprocedure,Hinp prosthesis,Hip prosthesis
534.hai,SurgicalS ite Infections (SSI),Surgical Site Infections (SSI)
843.county,Riveside,Riverside
974.county,Los Aneles,Los Angeles
524.facilitytype,Crtical Access,Critical Access
925.county,San Frncisco,San Francisco
676.yearvalue,202l0H1,2020H1
382.county,Monteery,Monterey
140.yearvalue,2200H1,2020H1
1087.county,Los Angees,Los Angeles
579.county,Krern,Kern
293.county,Los Angeljes,Los Angeles
1176.county,Lvos Angeles,Los Angeles
832.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
988.operativeprocedure,Open reductiono f fracture,Open reduction of fracture
335.yearvalue,2020Hq1,2020H1
368.county,Montery,Monterey
207.operativeprocedure,Appendxi surgery,Appendix surgery
684.facilityname,"Kaiser Foudation Hospital, Redwood City","Kaiser Foundation Hospital, Redwood City"
539.statevalue,Caliornia,California
734.facilitytype,"Community, 125-20 Beds","Community, 125-250 Beds"
676.county,Sa Francisco,San Francisco
458.operativeprocedure,Appendix suregry,Appendix surgery
337.statevalue,nCalifornia,California
130.hai,Surgical Site Infectinos (SSI),Surgical Site Infections (SSI)
347.hai,Surigcal Site Infections (SSI),Surgical Site Infections (SSI)
775.statevalue,wCalifornia,California
948.yearvalue,20201H,2020H1
1022.facilitytype,"Community, <125 eds","Community, <125 Beds"
390.statevalue,Calimfornia,California
756.facilitytype,Criticalv Access,Critical Access
563.county,Soalno,Solano
744.county,Yua,Yuba
761.county,San Bernardio,San Bernardino
238.hospitalcategoryriskadjustment,Acute Care Hokspital,Acute Care Hospital
1079.facilitytype,"Community, >250 Besd","Community, >250 Beds"
789.facilityname,Community Hospital of San Bernardion,Community Hospital of San Bernardino
1135.county,Los Amngeles,Los Angeles
828.county,Rierside,Riverside
64.operativeprocedure,Cooln surgery,Colon surgery
1024.hai,Surgica Site Infections (SSI),Surgical Site Infections (SSI)
297.hospitalcategoryriskadjustment,Apcute Care Hospital,Acute Care Hospital
1050.facilityname,"Kaiser Foundation Hospigtal, Los Angeles","Kaiser Foundation Hospital, Los Angeles"
1169.statevalue,Ckalifornia,California
627.facilityname,"Joh nMuir Medical Center, Walnut Creek Campus","John Muir Medical Center, Walnut Creek Campus"
626.facilityname,"John Mur Medical Center, Walnut Creek Campus","John Muir Medical Center, Walnut Creek Campus"
1056.hai,Surgiacl Site Infections (SSI),Surgical Site Infections (SSI)
515.hospitalcategoryriskadjustment,Acte Care Hospital,Acute Care Hospital
340.hai,Surgical Site Infections (SIS),Surgical Site Infections (SSI)
274.facilitytype,"Community, >250 Besd","Community, >250 Beds"
531.yearvalue,202o0H1,2020H1
566.statevalue,Califrnia,California
610.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
714.hai,Surgical Stie Infections (SSI),Surgical Site Infections (SSI)
872.facilitytype,"Ciommunity, 125-250 Beds","Community, 125-250 Beds"
249.facilitytype,"Community, 125-250 Besds","Community, 125-250 Beds"
900.hai,Surical Site Infections (SSI),Surgical Site Infections (SSI)
1185.hospitalcategoryriskadjustment,Acute Care Hspital,Acute Care Hospital
761.facilityname,Monclair Hospital Medical Center,Montclair Hospital Medical Center
647.county,Aslameda,Alameda
692.hai,Surgical Site Infections w(SSI),Surgical Site Infections (SSI)
291.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
1131.hospitalcategoryriskadjustment,Acute Care Hosital,Acute Care Hospital
1091.statevalue,Calfiornia,California
28.facilitytype,Major Teacing,Major Teaching
203.statevalue,Cailfornia,California
292.yearvalue,202H01,2020H1
925.operativeprocedure,Laminecomy,Laminectomy
875.county,San Bernadino,San Bernardino
943.hospitalcategoryriskadjustment,Acute fCare Hospital,Acute Care Hospital
472.county,Sn Diego,San Diego
1090.county,LosAngeles,Los Angeles
256.yearvalue,2002H1,2020H1
919.operativeprocedure,Cesaeran section,Cesarean section
430.facilitytype,Pediatirc,Pediatric
366.facilitytype,"Community, z<125 Beds","Community, <125 Beds"
402.statevalue,Califorina,California
414.facilityname,St. Louise Regional Hosiptal,St. Louise Regional Hospital
203.yearvalue,0220H1,2020H1
828.hai,Sourgical Site Infections (SSI),Surgical Site Infections (SSI)
1129.county,Los ngeles,Los Angeles
731.facilitytype,"Commzunity, 125-250 Beds","Community, 125-250 Beds"
803.facilitytype,Major Tgeaching,Major Teaching
211.operativeprocedure,Agll procedures,All procedures
135.county,Sacrametno,Sacramento
551.hai,Surgical Site nInfections (SSI),Surgical Site Infections (SSI)
1045.statevalue,Caliofrnia,California
440.hai,urgical Site Infections (SSI),Surgical Site Infections (SSI)
988.hospitalcategoryriskadjustment,Acute CareH ospital,Acute Care Hospital
401.facilitytype,"Community, >250 Besd","Community, >250 Beds"
522.yearvalue,2020Hf1,2020H1
280.facilityname,South Coast Globl Medical Center,South Coast Global Medical Center
873.hospitalcategoryriskadjustment,Acute Cae Hospital,Acute Care Hospital
754.facilityname,Chaino Valley Medical Center,Chino Valley Medical Center
546.county,Napwa,Napa
1147.yearvalue,h2020H1,2020H1
599.county,iAlameda,Alameda
520.hospitalcategoryriskadjustment,Acut Care Hospital,Acute Care Hospital
89.operativeprocedure,Colon surgry,Colon surgery
1004.statevalue,Califoria,California
698.county,San Francisoc,San Francisco
850.hai,Surgicial Site Infections (SSI),Surgical Site Infections (SSI)
577.facilitytype,"Comrmunity, >250 Beds","Community, >250 Beds"
14.hospitalcategoryriskadjustment,cAute Care Hospital,Acute Care Hospital
373.facilityname,Natividdad Medical Center,Natividad Medical Center
430.hospitalcategoryriskadjustment,AcuteC are Hospital,Acute Care Hospital
401.facilityname,"Good Samaritan Hospital, San Jse","Good Samaritan Hospital, San Jose"
112.facilitytype,"Community, >250 eds","Community, >250 Beds"
497.operativeprocedure,Gallbladders urgery,Gallbladder surgery
816.hai,Surgical Stie Infections (SSI),Surgical Site Infections (SSI)
650.county,Contr Costa,Contra Costa
1124.hospitalcategoryriskadjustment,Acte Care Hospital,Acute Care Hospital
1001.county,tLos Angeles,Los Angeles
538.hai,Surgical Siten Infections (SSI),Surgical Site Infections (SSI)
11.county,os Angeles,Los Angeles
334.county,Oramnge,Orange
776.county,San Berardino,San Bernardino
521.facilitytype,"Communty, <125 Beds","Community, <125 Beds"
1177.county,Losm Angeles,Los Angeles
293.hai,Surgaical Site Infections (SSI),Surgical Site Infections (SSI)
85.hai,Surical Site Infections (SSI),Surgical Site Infections (SSI)
160.facilitytype,Major eTaching,Major Teaching
503.hospitalcategoryriskadjustment,Acute CareH ospital,Acute Care Hospital
992.county,Lo Angeles,Los Angeles
419.operativeprocedure,"Ble duct, liver or pancreatic surgery","Bile duct, liver or pancreatic surgery"
952.facilityname,Antedlope Valley Hospital,Antelope Valley Hospital
1146.hai,Surgicla Site Infections (SSI),Surgical Site Infections (SSI)
512.facilityname,UC San iego Health Hillcrest,UC San Diego Health Hillcrest
573.county,Krn,Kern
71.hospitalcategoryriskadjustment,Acute Care Hosiptal,Acute Care Hospital
1012.yearvalue,2020nH1,2020H1
857.hospitalcategoryriskadjustment,Acute Cre Hospital,Acute Care Hospital
105.hospitalcategoryriskadjustment,Aucte Care Hospital,Acute Care Hospital
548.hospitalcategoryriskadjustment,Critical Access Hospitla,Critical Access Hospital
419.hospitalcategoryriskadjustment,Acute Crae Hospital,Acute Care Hospital
867.statevalue,Caliifornia,California
254.county,Orancge,Orange
478.hai,Surgcal Site Infections (SSI),Surgical Site Infections (SSI)
521.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
202.hospitalcategoryriskadjustment,Acute Caer Hospital,Acute Care Hospital
976.facilitytype,Pedaitric,Pediatric
748.yearvalue,020H1,2020H1
868.statevalue,Californai,California
1069.statevalue,alifornia,California
325.county,Oranjge,Orange
624.yearvalue,202H01,2020H1
729.hai,Surgical Site Infctions (SSI),Surgical Site Infections (SSI)
526.yearvalue,20201H,2020H1
873.operativeprocedure,Ceosarean section,Cesarean section
356.statevalue,Californai,California
499.hospitalcategoryriskadjustment,Acute Care Hopsital,Acute Care Hospital
527.hospitalcategoryriskadjustment,Acute Carve Hospital,Acute Care Hospital
717.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
176.statevalue,Calfiornia,California
273.statevalue,Califonia,California
808.hai,Surgical Site Infctions (SSI),Surgical Site Infections (SSI)
875.statevalue,Califrnia,California
218.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
161.facilityname,Communit yRegional Medical Center,Community Regional Medical Center
1080.yearvalue,20201H,2020H1
95.hospitalcategoryriskadjustment,Acute Cadre Hospital,Acute Care Hospital
745.facilityname,Sierra Nevada Memorial Hospial,Sierra Nevada Memorial Hospital
930.operativeprocedure,Spinal fsuion,Spinal fusion
207.hai,Surgical Sit Infections (SSI),Surgical Site Infections (SSI)
593.county,ern,Kern
83.facilityname,"Kaiser Foundation Hrospital, Sacramento","Kaiser Foundation Hospital, Sacramento"
1101.operativeprocedure,Appedix surgery,Appendix surgery
1088.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
173.yearvalue,2200H1,2020H1
507.yearvalue,202H1,2020H1
165.facilitytype,"Commuinty, 125-250 Beds","Community, 125-250 Beds"
552.statevalue,Califoarnia,California
22.hai,Surgical Site Infections (SuSI),Surgical Site Infections (SSI)
427.county,Santa qClara,Santa Clara
375.facilityname,Natividad Medical Cetner,Natividad Medical Center
594.hai,Surgical SiteInfections (SSI),Surgical Site Infections (SSI)
503.facilitytype,Majvor Teaching,Major Teaching
1116.yearvalue,20201H,2020H1
803.operativeprocedure,Appenix surgery,Appendix surgery
395.county,Santa Claar,Santa Clara
486.statevalue,Clifornia,California
256.hai,Surgictal Site Infections (SSI),Surgical Site Infections (SSI)
512.hai,Surgical Site Infections( SSI),Surgical Site Infections (SSI)
542.hospitalcategoryriskadjustment,Acute Care Hspital,Acute Care Hospital
760.operativeprocedure,Appendix surgrey,Appendix surgery
1002.hai,Surgicl Site Infections (SSI),Surgical Site Infections (SSI)
