File name,File version,File size,Date,Time,Platform
Codeduitestbuilder.exe,10.0.40219.422,"76,928",23-Sep-2012,6:57,x86
Qtcontroller.exe.config,Not applicable,"5,505",23-Jul-2012,23:13,Not applicable
Leviewer.exe,10.0.40219.422,"118,368",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.build.client.dll,10.0.40219.422,"436,376",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.build.controls.dll,10.0.40219.422,"1,365,144",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.client.dll,10.0.40219.422,"1,595,528",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.common.dll,10.0.40219.422,"525,448",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.common.library.dll,10.0.40219.422,"335,024",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.controls.dll,10.0.40219.422,"938,656",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.dll,10.0.40219.422,"675,456",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.lab.activities.dll,10.0.40219.422,"772,760",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.lab.client.dll,10.0.40219.422,"153,256",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.lab.uiutils.dll,10.0.40219.422,"266,920",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.lab.workflow.activities.dll,10.0.40219.422,"440,496",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.officeintegration.common.dll,10.0.40219.422,"376,512",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.officeintegration.excel.dll,10.0.40219.422,"673,472",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.officeintegration.project.dll,10.0.40219.422,"517,296",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.sync.mapping.dll,10.0.40219.422,"72,344",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.sync.provisioning.dll,10.0.40219.422,"194,208",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.testmanagement.activities.common.dll,10.0.40219.422,"315,072",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.testmanagement.activities.dll,10.0.40219.422,"1,512,136",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.testmanagement.activityruntime.dll,10.0.40219.422,"219,840",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.testmanagement.client.dll,10.0.40219.422,"685,224",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.testmanagement.client.themes.dll,10.0.40219.422,"3,059,384",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.testmanagement.client.wpfcontrols.dll,10.0.40219.422,"257,736",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.testmanagement.clientpackage.dll,10.0.40219.422,"73,912",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.testmanagement.common.dll,10.0.40219.422,"34,496",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.testmanagement.controller.dll,10.0.40219.422,"121,008",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.testmanagement.controls.dll,10.0.40219.422,"496,304",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.testmanagement.controls.wpfworkitemcontrols.dll,10.0.40219.422,"100,056",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.versioncontrol.client.dll,10.0.40219.422,"706,216",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.versioncontrol.common.dll,10.0.40219.422,"233,152",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.versioncontrol.controls.dll,10.0.40219.422,"4,439,216",23-Sep-2012,6:57,x86
Microsoft.teamfoundation.workitemtracking.client.dll,10.0.40219.422,"699,072",21-Sep-2012,21:53,x86
Microsoft.teamfoundation.workitemtracking.controls.dll,10.0.40219.422,"1,215,152",23-Sep-2012,6:57,x86
