objectid(long),unitid,unitname,polygon_id,polygon_id_alt_c,mtrx_conservation_score(double precision),mtrx_consump_use_score(double precision),mtrx_signal,rac_hydro_final_rating,rac_veg_category,rac_calc_adjac,rac_model_recommend,rac_edge_desig,no_action_recommend(long),gis_acres_wiu(double precision),alternative_b_recommend,mtrx_recommnd,poly_desg,polygon_id_alt_a,polygon_id_alt_b,polygon_id_alt_d,contig_wsa,polygon_idmce,mce_proposed,paltlwcfeis,contig_wsa_alt_a,shape_length(double precision),shape_area(double precision)
1,OR-02-17,Rocky Basin Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,I,I,Not Aplplicable,Not Considered,1,64.81295427061,Not pplicable,Not Applicable,Road Boundary Setback,Rocky Basin,Not Applciable,Not Applicable,oN,Rocky Basin,Not Considered,Not Applicable,oNo,7051.408803897,262288.720244736
2,OR-034-024,Burnt Mountain Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Appvlicable,Not Considered,1,397.619713628744,Nto Applicable,Not Applicable,Road Boundary Setback,Burnt Mountain,Not Applicable,Not Applicable,No,Burnt Mountain,1,Not Applicable,o,42187.3379942883,-1609022.38281782
3,OR-034-043,Rfino Butte Setback,Not Applicable,Not Applicble,0.0,0.0,Divergent,NR,II,I,Not Applicazble,Not Considered,1,138.202569598097,Not Applicable,Not Applicable,Roda Boundary Setback,Rufino Butte,Not Applicable,Not Applicable,No,Rufino Butte,1,Not Applicable,Yes,14973.9597601009,-559280.68984434
4,OR-034-058,Steamboat Ridge Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NlR,II,I,Not Applicable,Not Considered,1,226.400840755992,Not Applicable,Not Applicable,Road Boundary Setback,Steamboat Ridge,Not Applicable,Not Applicable,No,Steamboat Ridge,2,Not Applicable,Yes,24201.9724761335,-916202.227908202
5,OR-034-073,Slaughter Gulch Setback,Not Appliacble,Not Applicable,0.0,0.0,Divergent,RN,II,,Not Applicable,Not Considered,1,50.976979057897,Not Applicable,Not Apkplicable,Road Boundary Setback,Slaughter Gulch,Not Applicable,Not Applicable,o,Slaughter Gulch,2,Not Applicable,No,5668.57330183991,-206292.360431611
6,OR-034-075,Granite Creek Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,108.859012178759,Not Applicable,Not Applicable,Road Boundary Setback,Granite Creek,Not Applicable,Not Aplicable,No,Granite Creek,2,Not Applicable,No,11718.4910894834,-440526.902543493
7,OR-034-107,Selle Gap Setback,No Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Conidered,1,111.894505234196,Not Applicable,Not Applicable,Road Boundary Setback,Selle Gap***,Not Applicable,Not Appliacble,o,Selle Gap,2,Not Applicable,No,12013.1840503895,-452800.744265914
8,OR-034-119,Sperry Creek Cont Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,,Not Applicable,Nzot Considered,1,25.363479974405,Not Applicable,Not Applicable,Road Boundary Setback,Sperry Creek Cont,Not Applicable,Not Applicable,No,Sperry Creek Cont,2,Not Applicable***,es,2844.98889132736,102642.361828835
9,OR-036-002,Twin Butte Setback,Not Applicale,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,452.881128445642,Not Applicable,Not Applicable,Road Boundary Setback,Twin Butte,Not Applicable,Not Applicable,No,Twing Butte,1,Not Applicable,vNo,48902.5812476324,-1832692.03602169
10,OR-036-003,"Cairn ""C"" Setback",Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II,I,Not Applicable,Not Considered,1,330.562757775809,Not Applicable,Nto Applicable,Road Boundary Setback,"Cairn ""mC""",Nont Applicable,Not Applicable,No,"Cairn C""""",1,Not Applicable,oN,35251.2232356781,-1337711.35708885
11,OR-0360-47,Red Moutain Setback,Not Applciable,Not Applicable,0.0,0.0,Divergent,NR,II,I,ot Applicable,Not Considered,1,202.404400323406,Not Applicable,Not Applicable,Road Boundary Setbak,Red Mountain,Not Applicable,Not Applicable,No,Red Mountain,Not Considered,Not Applicable,No,21755.2325050528,-819090.56938296
12,OR-036-077,Lower Owyhee Cont Setback,Not Applicable,Not Applicable,0.0,0.0,Divergent,NR,II***,***,Not Applicable***,Not Considered,1,103.879681732821,Not Applicablre,Not Applicable,Road Boundary Setback,Lower Owyhee Cont,Not Applicable,Not pAplicable,No,Lower Owtyhee Cont,1,Not Applicable,Yes,11283.3903226042,-420367.646684345
13,OR-063-093,Alvord Desert Cont A Setback,Nfot Applicable,Not Applicable,0.0,0.0,Divergent,R,II,I,Not Applicable,Not Considered,1,14.5710865831727,Not Applicable,Not Applicable,Road Boundary Setback,Alvord Desert Cont A,Not Appliable,Not Applicable,o,Alvord Desert Cont A,2,Not Applicable,Yes,1751.67839519436,-58966.6058298601
14,OR-036-094,Disaster Peak Cont Setback,Not Applicable***,Not Applicable,0.0,0.0,Divergeint,NR,II***,I,Not Applicable,Not Considered,1,13.9877355204546,Not Applicable,Not Applicable,Road Buondary Setback,Disaster Peak Cont,Not Applicable,No Applicable,oN,Disaster Peak Cont,2,Not Applicable,Yes,1717.13978531513,-56604.1421215993
15,OR-036-047,Re Mountain,Red Mountain,Red Mountain,16.4,25.0,Divergent,3,II,II,2,Not Considered,1,9579.12457292299,y1,2,WIU,Red Mountain,Red Mountain,Red Mouuntain,o,Red Muontain,Not Considered,2,o,29043.1243480696,-38765352.7768909
16,OR-036-050,Oregon Canyon Mountain,Oregon Canyon Mountain,Oregon Canyon Mountain,15.9,22.6,Strong,1,II,I,1,Not Considered,1,8102.79936940761,1,2,pWIU,Oregon Canyo nMountain,Oregon Canyon Montain,Oregon Canyon Mountain,Yes,Oregon Canyon Mountain,***,1,Yes,26974.4200001864,-32790877.3915729
17,OR-034-053,McNulty,McNulty,McNulty,18.799999,25.5,Strong,NR,I,I,,Not Conidered,1,19240.7714310725,1,***,WIU,McNulty,McNulty,McNulty,Yes,qMcNulty,2,1,Yes,54038.3422155795,-77864694.3938097
18,OR-034-058,Steamboat Ridge,Steamboat Ridge,Steamboat Ridge,24.799999,29.299999,Strong,2,III,I,2,2,1,3680.60048444929,1,1,WIU,Steambcoat Ridge,Steamboat Ridge,Steamboat Ridge,Yes,Steamboat Ridge,2,2,Yes,21154.5361505571,-14894871.1773241
19,OR0-34-057,Schnable Creek,Schnable Creek,Schnable Creek,16.299999,24.4,Weavk,ND,II,II,2,Not Considered,1,14303.9329093967,1,2,WU,Schnable Creek,Schnable Creek,bSchnable Creek,No,Schnable Creek,2,2,No,50128.0543148263,-57886024.2359834
20,OR-034-019,Rookie Creek,ookie Creek,Rookie Cerek,20.6,28.299999,Strong,ND,II,I,2,Not Considered,1,783.06551167466,1,1,WIU,Rookie Creek,Rookie Creek,Rookie Creek,Yes,oRokie Creek,1,2,Yes,8189.4350734305,-3168995.01595683
21,OR-034-063,Hog Creek,Hog Creek,Hyog Creek,16.9,23.299999,Moderate,2,II,II,2,Not Considered,1,31734.4785045511,1,2,WU,Hog Cjreek,Hog Creek,Hog Creek,No,Ho Creek,2,,No,58235.814960854,-128424922.097395
22,OR-034-043,Rufin Butte,Rufino Butte,Rufino utte,15.9,22.299999,Strong,2,II,I,***,***,1,15945.6913091471,1,2,WUI,Rufino Butte,Rufino Butte,Rufino Butte,Yes,Rufino Butte,n1,n2,Yes,53942.4634461693,-64529928.5505556
23,OR-034-040,Double Mountain,Double Mountain,Double Mountain,17.5,21.9,Divergent,1,II,III,***,NotConsidered,1,27363.6585869813,c1,2,WIU,Double Mountain,Double Mountain,Double Mountain,No,Double Mkountain,2,2,o,58622.2809761322,-110736900.885534
24,OR-034-024,Burnt Montain,Burnt Mountain,Burnt Mountain,18.1,26.5,Strong,2,II,I,2,Not Consideroed,1,7711.54608909194,1,1,WIU,Burnt Mountain,Burnt Mountain,Burnt Mountain,No,Burnt ountain,1,2,No,46267.8119814052,-31207607.3262289
25,OR-034-071,Deadman Creek,Deadman Creek,Dehadman Creek,16.1,28.4,Divergent,NR,I,III,2,Not Considered,1,27799.0224885268,***,1,WIU,DeadmanC reek,Deadan Creek,Deadman Creek,Nqo,Deadman Creek,Not Considered,,No,106225.59187274,-112498687.067026
26,OR-034-023,Sand Hollow,Sand Hollow,Snd Hollow,17.0,24.6,Weak,2,II,I,2,Not Considered,1,11868.1083749788,a1,2,WIU,Sand Hollow,Sand Hollow,Sand Hollow,No,Sand Hollow,2,***,No,35243.7784933523,-48028569.9644432
27,OR-034-031,Trail Creek,Trail Creek,Trail Creek,17.9,23.799999,Divergent,1,II,II,2,Not Considered,1,11278.6481402716,1,2,WIU,Trail Creek,Trail Creke,Trail Creek,oN,Trail Creek,2,l2,o,54510.6979565512,-45643125.4562946
28,OR-034-095,Bannock Ridge,Bannock Ridge,Banock Ridge,22.5,30.9,Strong,z2,II,***,2,2,1,9652.43403752785,1,2,WIU,Bannock Ridge,Bannaock Ridge,Bannock Ridge,Ymes,Bannock Ridge,2,,Yes,34076.7443397775,-39062074.9663791
29,OR-036-039,Blue Mountain,Blue Mountain,Blue Mountain,11.0,21.799999,Strong,NcD,II,I,2,Not Considered,1,70429.2098888858,1,h2,WIU,Blue oMuntain,Blue Mountain,Blue Mountain,No,Blue Moutain,2,2,No,86580.1727893019,-285016951.024126
30,OfR-034-120,Saddle Butte Cont,Saddle Butte Cont,Saddle Butte Cont,18.0,25.9,Strnog,NR,II,I,2,2,1,5637.72250134062,1,1,WIU,eSaddle Butte Cont,Saddle Butte Cont,addle Butte Cont,Yes,Salddle Butte Cont,2,2,Yes,29303.0010265002,-22815068.3358874
31,OR-034-060,Clark Ranch,Calrk Ranch,lark Ranch,19.799999,23.200001,Dvergent,ND,II,I,1,1,1,17442.8842402613,1,,WIU,Clark Ranch,Clark Ranch,Clark Ranh,Yes,Calrk Ranch,2,1,Yes,46459.9225462091,-70588876.0150945
32,OR-036-095,Little Groundhog Reservoir,Little Groundhog Reservoir,Little Groundhog Reservoir,15.6,27.4,Divergent,1,II H,III,e2,Not Considered,1,5196.5740455944,1,1,IU,Little Groundhog Reservoir,Little rGoundhog Reservoir,Little Groundhog Reservoir,No,Little Groundhog Reservoir,u1,2,No,25837.4591099646,-21029803.7362372
33,R-034-059,Rinehart Creek,Rinehart Creek,Rinehart Creek,23.5,31.200001,Strong,NR,II,I,1,,1,2635.416803072,1,1,WIU,Rinehart Creek,Rinehart Creek,Rinerhart Creek,Yes,Rinehar tCreek,1,1,Yes,15080.0084372636,-10665185.7689003
34,OR-034-007,West Fork Bendire,West Fork Bendire,West Fork Bendire,16.299999,23.9,Weak,***,I H,II,r1,Not Cfonsidered,1,10013.6177228602,1,b1,WIU,West Fork Bendire,West Fork Bendire,West Fork Bendire,No,West Forlk Bendire,1,1,No,51817.0886335208,-40523790.3265126
35,OR-036-028,Rattlesnake Creek,Rattlesnake Creek,Rattlesnake Creek,16.5,24.6,Divergent,v1,II,I,1,Not Considered,1,64665.5921211608,1,2,WIU,attlesnake Creek,Rattlesnake Creek,Ravttlesnake Creek,o,Rattlesnake Creek,2,1,No,82302.740100292,-261692435.617074
36,OR-036-087,Wlilow Creek Cont A,Willow Creek Cont A,Willow Creek Cont A,9.8999996,20.9,Strong,1,II,***,,Not Considered,1,383.601498899151,z1,y1,WIU,Willow Creek Cont A,Willow Creek Cont A,Willow Creek Cont A,Yes,Willow Creek Cont A,Not Considered,1,Yes,7345.13065706193,-1552382.88946617
37,OR-036-d087,Willow Creek Cont B,rWillow Creek Cont B,Willow Creek Cont B,9.8999996,20.9,Srtong,NR,II,I,1,1,1,2.00256133630993,1,,WInU,Willow Creek Cont B,Willow Creek Cont B,Willow Creek Cont B,Yes,Willow Creek Cont B,Not Considered,1,Yse,531.222550620594,8104.07820509578
38,OR-036-087,Willow Creek Cont C,Willow Creek Cont C,Willow Creke Cont C,9.8999996,20.9,Strong,NR,II,I,1,x1,1,0.810427052370226,1,1,WIU,Willow Creek Cont C,Willow Creek Cont C,Willow Creek Cont C,Yes,Willow Creek Cont C,Not Considered,1,Yes,305.246086973272,3279.68192177115
39,O-R036-091,Owyhee River Con tD,Owgyhee River Cont D,Owyhee River Cont D,10.0,16.4,Divergent,NR,***,I,1,Not Considered,1,6006.12170538682,1,***,WIU,Owyhee River Cont D,Owyhee River Cnt D,Owyhee Rvier Cont D,Yes,Owyhee River Cont D,1,1,Yes,37669.7806697558,24305912.1971607
40,OR-036-091,Owyhee River Cont C,Owyhee River Cont C,Owyhee River Cont C,10.0,16.4,Strong,NlR,II H,I,m1,Not Considered,1,29.0171156761309,1,2,WIU,Owyhee River Cont C,Owyhee River Cont C,Owyhee River Cont C,Yes,Owyhee River Cont C,1,***,Yse,1629.88469340264,117428.100933474
41,OR-036-091,Owyhee River Cont B,Owyhee River Cont B,Owyhee Rievr Cont B,10.0,16.4,Divergent,R,II,kI,2,o2,1,434.868644237695,1,2,WIU,Owyhee River Cont B,Owyhee River Cont B,Owyhee Rier Cont B,Yes,Owyhee River oCnt B,1,***,Yes,6854.97720465351,-1759860.47914365
42,OR-036-091,Owyhee River Cont A,Owyhee River Cont A,Owyhee River Cont A,10.0,16.4,Divergent,R,II,I,2,2,1,467.199356309092,,1,WIU,Owyhee River Cont A,Owyhee River Cont A,Owyhee Rive rCont A,Yes,Owyhee River Cont A,1,2,Yes,17387.1456879012,-1890699.17258073
43,OR-03w6-092,Jordan Crators Cont A,Jordan Crators Cont A,Jordan Crators Cont A,18.6,23.0,Divergent,RN,III,bI,q2,2,1,574.239751981169,1,***,WIU,Jordan Crators Cont A,Jordan Crators Cont A,Jordan Crators Cont A,Yes,Jordan Crators Cont A,1,2,Yes,7909.23780472506,-2323878.59239162
44,OR-036-092,Jordan Crators Cot B,Jordan Crators Cont B,Jordan Crators Cont B,18.6,23.0,Divergent,NR,II,I,2,2,1,922.35161787152,1,2,WIU,Jordan Crators Cont B,Jrodan Crators Cont B,Jordan Cratosr Cont B,Yes,Jordan Crators Cont B,1,2,Yes,8820.871555822,-3732629.55137228
45,OR-034-113,Blue Canyon Cont A,Blue Canyon Cont A,Blue Canyon Cont A,17.5,22.4,Divergent,NR,II,I,1,1,1,648.981449871468,1,1,WIU,Blue Canyon Cont A,Blue Canyon Cont A,Blue Canyon Cont A,es,Blue Canyon Cont A,1,1,Yes,6482.75457211983,2626334.74843081
46,fOR-034-113,Blue Caynon Cont B,Bdlue Canyon Cont B,Ble Canyon Cont B,17.5,22.4,Diverent,NR,rII,yI,2,2,1,39.2430684644934,***,1,WIU,Blue Canyon Cont B,Blue Canyon Cont B,Blue Canyon Cont B,Yes,Blue Canyon Cont B,***,2,Yes,2045.29780176345,158811.063650218
47,OR-034-116,Honeycomb Cont,Honeycomb Cont,Hneycomb Cont,25.6,29.9,Strong,NR,nII,I,,1,1,372.178705133766,***,1,WUI,Honeycomb Cont,Hneycomb Cont,Honeycomb sCont,Yes,oHneycomb Cont,1,1,Yes,8264.76677124812,-1506166.7489849
48,OR-034-117,Dry Creek Buttes Cont,Dry Creek Buttes Cont,Dry Creek Buttes Cont,20.6,23.799999,Divergent,NR,II,I,1,1,1,2411.86903787475,y1,d1,WIqU,Dry Creek Buttes Cont,Dry Creek ButtesC ont,Dry Creek Buttes Cont,Yes,Dry Creek Buttexs Cont,1,1,Yes,14470.7428566178,-9760496.31740695
