nhddataset,ftypevalue(long),ftypedescription
NHDPoint,125,DamWeir
NHDPoint,367,Gaging Station
NHDPoint,369,Gate
NHDPoint,398,Lock Chamber
NHDPoint,431,Rapids
NHDPoint,436,Reservoir
NHDPoint,441,Rock
NHDPoint,450,SinkRise
NHDPoint,458,SpringSeep
NHDPoint,485,Water IntakeOutflow
NHDPoint,695,Waterfall
NHDPoint,488,Well
NHDFlowline,334,Connector
NHDFlowline,336,CanalDitch
NHDFlowline,420,Underground Conduit
NHDFlowline,428,Pipeline
NHDFlowline,460,StreamRiver
NHDFlowline,914,Drainageway
NHDFlowline,170,ArtificialPath
NHDFlowline,566,Coastline
NHDLine,318,Bridge
NHDLine,343,DamWeir
NHDLine,362,Flume
NHDLine,369,Gate
NHDLine,398,Lock Chamber
NHDLine,411,Nonearthen Shore
NHDLine,431,Rapids
NHDLine,716,Reef
NHDLine,685,SinkRise
NHDLine,167,Tunnel
NHDLine,718,Wall
NHDLine,487,Waterfall
NHDLine,503,Sounding Datum Line
NHDLine,568,Levee
NHDArea,307,Area to be Submerged
NHDArea,312,BayInlet
NHDArea,318,Bridge
NHDArea,934,CanalDitch
NHDArea,113,DamWeir
NHDArea,362,Flume
NHDArea,364,Foreshore
NHDArea,398,Lock Chamber
NHDArea,706,Inundation Area
NHDArea,431,Rapids
NHDArea,445,SeaOcean
NHDArea,455,Spillway
NHDArea,460,StreamRiver
NHDArea,461,Submerged Stream
NHDArea,484,Wash
NHDArea,485,Water IntakeOutflow
NHDArea,537,Area of Complex Channels
NHDArea,568,Levee
NHDWaterbody,361,Playa
NHDWaterbody,378,Ice Mass
NHDWaterbody,390,LakePond
NHDWaterbody,436,Reservoir
NHDWaterbody,141,SwampMarsh
