ObjectId,APNO,MixedUse,SqFootage,ProjType,Rooms,Units,BldLots,NonBldLots,AppType,WorkType,SubWrkType,ProjName,Category,BOZA,BOZADate,PC,PCDate,LDT,LDTDate,DRC,DRCDate,STNO,PreDir,Address,Suffix,PostDir,SubD,CreYear,LastYear,XCoord,YCoord,Latitude,Longitude
1,18ZONE1090,0,0,multi-family,0,10,0,0,ZONE,ZONE,LZONE,Silver Bell Townhomes,multi family,,,,,,,,,8310, ,SILVER BELL,AVE, , ,2018,2018,1250051.071,231752.4883,38.128504,-85.607115
2,18ZONE1089,0,9600,office,0,0,0,0,ZONE,ZONE,LZONE,Stony Brook Offices,commercial,,,,,,,,,5206, ,STONY BROOK,DR, , ,2018,2018,1251198.806,247500.9735,38.171791,-85.60393
3,18ZONE1088,0,0,multi-family,0,4,0,0,ZONE,ZONE,LZONE,Fairview Townhomes,multi family,,,,,,,,,10503, ,FAIRVIEW,AVE, , ,2018,2018,1263085.554,254955.7941,38.192733,-85.562956
4,18ZONE1086,0,0,senior living,0,128,0,0,ZONE,ZONE,LZONE,Clover Senior Housing,multi family,,,,,,,,,8700, ,OLD BARDSTOWN,RD, , ,2018,2018,1259502.479,227862.2868,38.1182,-85.574067
5,18ZONE1085,0,0,senior living,0,128,0,0,ZONE,ZONE,LZONE,Clover Senior Housing,multi family,,,,,,,,,108, ,URTON,LN, , ,2018,2018,1278401.37,272078.1159,38.240334,-85.510485
6,18ZONE1082,0,96000,mini-warehouse,0,0,0,0,ZONE,ZONE,LZONE,Dorsey Self Storage,commercial,,,,,,,,,1025, ,DORSEY,LN, , ,2018,2018,1263394.617,281350.4504,38.265218,-85.56319
7,18ZONE1081,0,6000,veternary,0,0,0,0,ZONE,ZONE,LZONE,2940 Breckenridge Ln,commercial,,,,,,,,,<Null>, , , , , ,2018,2018,1243127.739,265927.8343,38.222057,-85.632964
8,18ZONE1080,0,4080,storage,0,0,0,0,ZONE,ZONE,LZONE,Midwest Sprinkler Corp.,industrial,,,,,,,,,1375,S,PRESTON,ST, , ,2018,2018,1209524.651,268762.4641,38.228396,-85.750077
9,18ZONE1079,0,0,single-family,0,0,3,0,ZONE,ZONE,LZONE,1609 Bluegrass Ave,single family,,,,,,,,,1609, ,BLUEGRASS,AVE, , ,2018,2018,1197196.359,251300.5623,38.179893,-85.791971
10,18ZONE1077,0,34000,industrial,0,0,0,0,ZONE,ZONE,LZONE,Collins Lane,industrial,,,,,,,,,3315, ,COLLINS,LN, , ,2018,2018,1276573.321,291431.4184,38.293404,-85.517777
11,18ZONE1076,0,0,single-family,0,0,55,1,ZONE,ZONE,LZONE,Mayrow Drive,single family,,,,,,,,,6303, ,BEULAH CHURCH,RD, , ,2018,2018,1247927.036,226308.0359,38.113469,-85.614218
12,18ZONE1075,0,0,multi-family,0,3,0,0,ZONE,ZONE,LZONE,Zoning Change,multi family,,,,,,,,,107,N,JANE,ST, , ,2018,2018,1223189.456,277923.7038,38.254151,-85.703017
13,18ZONE1074,0,0,multi-family,0,2,0,0,ZONE,ZONE,LZONE,117 N. Jane St,multi family,,,,,,,,,117,N,JANE,ST, , ,2018,2018,1223187.776,278060.8307,38.254528,-85.70303
14,18ZONE1071,1,0,multi-family,0,340,0,0,ZONE,ZONE,LZONE,Stone Bluff Rd,multi family,,,,,,,,,6875,S,HURSTBOURNE,PKY, , ,2018,2018,1245867.128,242503.1079,38.157852,-85.622215
