X,Y,OBJECTID,ADM_UNIT_CD,ADMU_NAME,BLM_ORG_TYPE,APPRV_DT,EFF_DT,MNGD_UNIT_CD,ADMU_ST_URL,ADMIN_ST,GlobalID,AZ_ADDRESS,AZ_PHONE_NUM
507173.9599,3555172.2426,2,AZG02000,Tucson Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,AZG00000,https://www.blm.gov/arizona,AZ,{A8BB2E4C-AFA0-43B2-97E1-0AF4C4CB062A},"3201 E Universal Way, Tucson, AZ 85756",520-258-7200
171095.1186,3620490.6752,3,AZC02000,Yuma Field Office,Field,2010/01/29 00:00:00+00,2010/01/29 00:00:00+00,AZC00000,https://www.blm.gov/arizona,AZ,{5E961B7C-2545-4C2F-808B-D92D071AA2D3},"7341 E 30th St, Yuma, AZ 85365",928-317-3200
403710.5676,3722926.4801,4,AZP00000,Phoenix District Office,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,AZ000000,https://www.blm.gov/arizona,AZ,{9319265A-177D-4351-93F4-5C352F9031CF},"2020 E Bell Rd, Phoenix, AZ 85022",602-867-5400
192127.1616,3823091.0499,5,AZC03000,Lake Havasu Field Office,Field,2007/05/10 00:00:00+00,2007/05/10 00:00:00+00,AZC00000,https://www.blm.gov/arizona,AZ,{FA37BEDF-EDF3-463B-942F-CF56F9AFDB08},"1785 Kiowa Ave, Lake Havasu City, AZ 86403",928-505-1200
225510.9829,3898272.2602,6,AZC01000,Kingman Field Office,Field,2017/12/19 00:00:00+00,2017/12/19 00:00:00+00,AZC00000,https://www.blm.gov/arizona,AZ,{6F333137-5E8F-443A-BD18-7B9A6D6F41EC},"2755 Mission Blvd, Kingman, AZ 86401",928-718-3700
507173.9599,3555172.2426,7,AZG00000,Gila District Office,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,AZ000000,https://www.blm.gov/arizona,AZ,{4770CE77-F9A7-41F3-8EC6-19E9C3137005},"3201 E Universal Way, Tucson, AZ 85756",520-258-7200
270955.0503,4107154.7009,8,AZA00000,Arizona Strip District Office,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,AZ000000,https://www.blm.gov/arizona,AZ,{A6604537-0FD7-476B-A834-7940FCF15D56},"345 E Riverside Dr, St. George, UT 84790",435-688-3200
619410.3726,3633375.4776,9,AZG01000,Safford Field Office,Field,1994/07/01 00:00:00+00,1994/07/01 00:00:00+00,AZG00000,https://www.blm.gov/arizona,AZ,{8702AFC0-1EDA-4BDB-AFF5-7E80F006AE17},"711 S 14th Ave, Safford, AZ 85546",928-348-4400
192127.1525,3823090.9841,11,AZC00000,Colorado River District Office,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,AZ000000,https://www.blm.gov/arizona,AZ,{5CBB2D10-A833-4105-A9FF-F89155A2EFB6},"1785 Kiowa Ave, Lake Havasu City, AZ 86403",928-505-1200
403710.5676,3722926.4801,12,AZP02000,Lower Sonoran Field Office,Field,2012/09/14 00:00:00+00,2012/09/14 00:00:00+00,AZP00000,https://www.blm.gov/arizona,AZ,{BAC48C3A-BC0F-45B7-9081-D7509F94AE04},"2020 E Bell Rd, Phoenix, AZ 85022",602-867-5400
270955.0503,4107154.7009,13,AZA01000,Arizona Strip Field Office,Field,2008/01/29 00:00:00+00,2008/01/29 00:00:00+00,AZA00000,https://www.blm.gov/arizona,AZ,{950ACF46-E4F7-44DC-9C2A-9DAAA5064BCF},"345 E Riverside Dr, St. George, UT 84790",435-688-3200
270949.6531,4107166.1686,14,AZA03000,Grand Canyon-Parashant N.M.,Other,2008/01/29 00:00:00+00,2008/01/29 00:00:00+00,AZA00000,https://www.blm.gov/arizona,AZ,{E737E4B2-A6A3-4D92-8C96-2E2960B7588E},"345 E Riverside Dr, St. George, UT 84790",435-688-3200
400254.297,3701521.1352,17,AZ000000,Arizona State Office,State,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,AZ000000,https://www.blm.gov/arizona,AZ,{043341C9-F525-4C78-A49E-4F7451AA4654},"1 N Central Ave #800, Phoenix, AZ 85004",602-417-9200
570610.9002,3480652.6364,816,AZG02200,San Pedro Project Office,Other,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,AZG02000,https://www.blm.gov/arizona,AZ,{D3F17C5B-ACFD-44DE-A888-5F4E5B05EF04},"4070 S Avenida Saracino, Hereford, AZ 85615",520-258-7200
403709.6733,3722940.0423,835,AZP01000,Hassayampa Field Office,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,AZP00000,https://www.blm.gov/arizona,AZ,{006ADA9D-FCF3-424B-9DF9-582875358989},"2020 E Bell Rd, Phoenix, AZ 85022",602-867-5400
