OBJECTID,LAND_CLASS,CT_LEGEND,MA_LEGEND,ME_LEGEND,NH_LEGEND,NJ_LEGEND,NY_LEGEND,RI_LEGEND,VT_LEGEND,STATE_COD,STATE_NAME,CNTY_FIELD,CNTY_COD,CNTY_NAME,TOWN_FIELD,TOWN_NAME,LABEL_FLAG,MAP_LABEL,CT_LABEL_Y,CT_LABEL_N,SHAPE_Length,SHAPE_Area
1,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Big Twenty Twp,True,Big Twenty Twp, ,Big Twenty Twp,230968.054939636,1633212650.80623
2,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Madawaska,True,Madawaska, ,Madawaska,183799.249066853,1581765971.65875
3,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Frenchville,True,Frenchville, ,Frenchville,197065.873725109,822428640.466313
4,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T19 R11 WELS,True,T19 R11 WELS, ,T19 R11 WELS,145262.439137458,1274641607.68055
5,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T19 R12 WELS,True,T19 R12 WELS, ,T19 R12 WELS,148852.697402901,1239665100.68429
6,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Grand Isle,True,Grand Isle, ,Grand Isle,140734.408270395,996364208.990269
7,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Fort Kent,True,Fort Kent, ,Fort Kent,199644.124559645,1551875737.83779
8,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Saint Agatha,True,Saint Agatha, ,Saint Agatha,158268.672350512,994925428.095658
9,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Van Buren,True,Van Buren, ,Van Buren,137340.179188712,981769357.692583
10,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T18 R10 WELS,True,T18 R10 WELS, ,T18 R10 WELS,182157.735389545,1274958707.55021
11,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T18 R11 WELS,True,T18 R11 WELS, ,T18 R11 WELS,129480.365096983,1048936070.2548
12,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T18 R12 WELS,True,T18 R12 WELS, ,T18 R12 WELS,128909.876210301,1039228296.92435
13,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T18 R13 WELS,True,T18 R13 WELS, ,T18 R13 WELS,130586.71527136,946829656.9963
14,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Saint John Plt,True,Saint John Plt, ,Saint John Plt,157703.475234619,1451066830.43093
15,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T17 R3 WELS,True,T17 R3 WELS, ,T17 R3 WELS,125564.154021384,984497722.197666
16,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T17 R4 WELS,True,T17 R4 WELS, ,T17 R4 WELS,127944.569082022,1021193760.15162
17,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Cross Lake Twp,True,Cross Lake Twp, ,Cross Lake Twp,138955.189170646,1205322664.7994
18,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,New Canada,True,New Canada, ,New Canada,128242.331471482,1023992239.59842
19,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Saint Francis,True,Saint Francis, ,Saint Francis,131049.359787642,854738188.577956
20,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Wallagrass,True,Wallagrass, ,Wallagrass,135683.648333009,1148924571.6852
21,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Hamlin,True,Hamlin, ,Hamlin,129844.132398773,676663828.491059
22,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Allagash,True,Allagash, ,Allagash,264253.506984453,3699268821.9755
23,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T17 R12 WELS,True,T17 R12 WELS, ,T17 R12 WELS,128772.850783531,1035662299.23147
24,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T17 R13 WELS,True,T17 R13 WELS, ,T17 R13 WELS,129072.65176835,1039591603.89937
25,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T17 R14 WELS,True,T17 R14 WELS, ,T17 R14 WELS,110044.878255744,624305770.019267
26,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Cyr Plt,True,Cyr Plt, ,Cyr Plt,131810.341729249,1079009715.74262
27,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Stockholm,True,Stockholm, ,Stockholm,124559.203134651,964434595.866466
28,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T16 R4 WELS,True,T16 R4 WELS, ,T16 R4 WELS,128229.206380837,1023189168.25602
29,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T16 R5 WELS,True,T16 R5 WELS, ,T16 R5 WELS,138005.763257462,1189962131.8932
30,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,T16 R6 WELS,True,T16 R6 WELS, ,T16 R6 WELS,126626.427645637,997130420.135403
31,Land,Other States,Other States,Maine,Other States,Other States,Other States,Other States,Other States,ME,Maine,CNTYCODE,3,Aroostook,GEOCODENUM,Eagle Lake,True,Eagle Lake, ,Eagle Lake,133470.734538493,1111241416.1129
