yearvalue,statevalue,county,hai,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted(double precision),patientdays(long)
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STAET OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,297,367.65,6436139
20201,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bolodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Long-trem Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,38,35.1,212392
2020H1,aClifornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA OPOLED DATA - Critical Access Hospitals,0,0.84,40467
2020H1,California,Los Ageles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,1,4.95,260491
2020H1,Calixfornia,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011.0,Alameda Hospital,Acute Care Hospital,"Community, <125 Beds",,0.32,5674
20201H,Califorznia,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,Alta Bates Summit Medical Center,Acute Care Hospital,"Community, >250 Beds",0,1.15,23329
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012.0,"Alta Batves Summit Medical Center, Alta Bates Campus",Acute Care Hospital,"Community, >250 Bebds",***,1.54,31706
2020Hm1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilzitation Unit,0,0.14,7170
200H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183.0,den Medical Center,Acute Care Hospital,"Communivty, 125-250 Beds",,0.88,18546
2020H1,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034.0,Highland Hospital,Acute Care Hospital,Major Teachng,3,2.83,51035
