characteristic,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total ,,,2002,246.0,2.1,
Total ,,,2003,,,Data not available.
Total ,,,2004,,,Data not available.
Total ,,,2005,243.0,1.9,
Total ,,,2006,,,Data not available.
Total ,,,2007,,,Data not available.
Total ,,,2008,,,Data not available.
Total ,,,2009,250.0,1.5,
Total ,,,2010,,,Data not available.
Total ,,,2011,,,Data not available.
Total ,,,2012,,,Data not available.
Total ,,,2013,251.0,1.3,
Total - Male,Male,,2002,242.0,2.2,
Total - Male,Male,,2003,,,Data not available.
Total - Male,Male,,2004,,,Data not available.
Total - Male,Male,,2005,240.0,2.5,
Total - Male,Male,,2006,,,Data not available.
Total - Male,Male,,2007,,,Data not available.
Total - Male,Male,,2008,,,Data not available.
Total - Male,Male,,2009,248.0,1.6,
Total - Male,Male,,2010,,,Data not available.
Total - Male,Male,,2011,,,Data not available.
Total - Male,Male,,2012,,,Data not available.
Total - Male,Male,,2013,250.0,1.6,
Total - Female,Female,,2002,254.0,3.5,
Total - Female,Female,,2003,,,Data not available.
Total - Female,Female,,2004,,,Data not available.
Total - Female,Female,,2005,248.0,3.2,
Total - Female,Female,,2006,,,Data not available.
Total - Female,Female,,2007,,,Data not available.
Total - Female,Female,,2008,,,Data not available.
Total - Female,Female,,2009,254.0,2.0,
Total - Female,Female,,2010,,,Data not available.
Total - Female,Female,,2011,,,Data not available.
Total - Female,Female,,2012,,,Data not available.
Total - Female,Female,,2013,253.0,1.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,249.0,2.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,249.0,2.8,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,259.0,1.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2013,259.0,1.8,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2002,230.0,5.5,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2003,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2004,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2005,229.0,3.8,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2007,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2009,233.0,2.4,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2011,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2012,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2013,237.0,2.2,
Total - Hispanic,,Hispanic,2002,243.0,5.2,
Total - Hispanic,,Hispanic,2003,,,Data not available.
Total - Hispanic,,Hispanic,2004,,,Data not available.
Total - Hispanic,,Hispanic,2005,235.0,4.0,
Total - Hispanic,,Hispanic,2006,,,Data not available.
