137.global_id,40fc22d3-700a-4085-b3d8-ac9052b97b9,40fc22d3-700a-4085-b3d8-ac9052b978b9
123.brdrnotes,NAMED BY HARTFORD COMMON CONCIL 1/22/1922,NAMED BY HARTFORD COMMON COUNCIL 1/22/1922
171.routeid,8-rN,8-N
112.hprmprisec,RI,PRI
116.brdrnotes,NAMED BY HARTFORD COMdMON COUNCIL 1/22/1922,NAMED BY HARTFORD COMMON COUNCIL 1/22/1922
229.brdract,P.A. 56,P.A. 256
56.routeid,95-uS,95-S
66.brdract,S.A .36,S.A. 36
240.brdrlegname,OFUNDERS BRIDGE,FOUNDERS BRIDGE
166.routeid,7-E,67-E
36.hprmprisec,PI,PRI
215.brdrbrdnum,00176,01076
34.brdract,S.J.R .9,S.J.R. 9
218.brdrlegname,HAMMOCK RIVER BqRIDGE,HAMMOCK RIVER BRIDGE
34.brdrnotes,NAMED BY HARTFORD COMMON COUNCIL 1/2/1922,NAMED BY HARTFORD COMMON COUNCIL 1/22/1922
239.brdrnotes,NAMED BY HARTFORD COMMOfN COUNCIL 1/22/1922,NAMED BY HARTFORD COMMON COUNCIL 1/22/1922
249.townname,AVNO,AVON
214.hprmprisec,RI,PRI
181.global_id,cf3c4a2f-58b-424f-8c14-4c14f8a0f3d3,cf3c4a2f-58eb-424f-8c14-4c14f8a0f3d3
110.brdract,H.J.Rf. 12,H.J.R. 12
55.brdract,P.A. 223,P.A. 232
94.brdrbrdnum,06585,06558
78.brdract,157,175
73.brdrnotes,NAMED BYH ARTFORD COMMON COUNCIL 1/22/1922,NAMED BY HARTFORD COMMON COUNCIL 1/22/1922
41.brdrlegname,HTE GENERAL ROCHAMBEAU BRIDGE,THE GENERAL ROCHAMBEAU BRIDGE
14.brdract,PA. 186,P.A. 186
92.routeid,6E,6-E
160.brdract,P.A. 168,P.A. 186
66.brdrlegname,FOUkNDERS BRIDGE,FOUNDERS BRIDGE
157.brdrlegname,"SPC.WILFREDO PEREZ, RJ. MEMORIAL BRIDGE","SPC.WILFREDO PEREZ, JR. MEMORIAL BRIDGE"
214.routeid,46-E,146-E
191.routeid,9-1N,91-N
18.brdrbrdnum,0068,00638
21.hprmprisec,RI,PRI
143.brdract,P.A.230,P.A. 230
244.hprmprisec,PRmI,PRI
55.global_id,ab4e72ca-83f9-4c62-a7b8d6573709e8ae,ab4e72ca-83f9-4c62-a7b8-d6573709e8ae
32.brdrnotes,NAMED BY HARTFORD COMMON COUNCIL1 /22/1922,NAMED BY HARTFORD COMMON COUNCIL 1/22/1922
46.brdract,S.A. z52,S.A. 52
252.global_id,b133c60e-8a3a-4d6d-8081-gafb3dd965034,b133c60e-8a3a-4d6d-8081-afb3dd965034
50.townname,pTOLLAND,TOLLAND
192.townname,HARTFROD,HARTFORD
26.brdract,S.A 282,S.A. 282
166.brdrlegname,VETERANS MEMORIAL BRvIDGE     ,VETERANS MEMORIAL BRIDGE     
9.brdract,P.A. 2o10,P.A. 210
102.global_id,fad8e077-7cdc-42f9-083-e1124a1d19e4,fad8e077-7cdc-42f9-8083-e1124a1d19e4
239.townname,ONRWICH,NORWICH
192.global_id,bf44ac96-8b14-48f3-ba80-f83f3bd8bdc4,bf4a4c96-8b14-48f3-ba80-f83f3bd8bdc4
96.brdrbrdnum,06056,06065
137.routeid,84E-,84-E
131.global_id,d419af25-66a1-4e18-b599-d3d7f638af56,d419af25-66a1-4e18-b599-d3d7f638af65
31.routeid,175E-,175-E
229.global_id,ea20acd3-554d-4a1e-a435-7847544037ff,ea2a0cd3-554d-4a1e-a435-7847544037ff
223.brdract,P.Au. 186,P.A. 186
106.townname,DERY,DERBY
140.global_id,9712fb19-c34b-47f1-acf-3a877daef66f,9712fb19-c34b-47f1-a6cf-3a877daef66f
217.brdrlegname,COMMODORE ISAAC HULL BRIDGE***,COMMODORE ISAAC HULL BRIDGE
136.global_id,5d9f7eb0g-4e20-474c-9016-47166ce17e9a,5d9f7eb0-4e20-474c-9016-47166ce17e9a
211.townname,SOUHTBURY,SOUTHBURY
35.townname,STRATaFORD,STRATFORD
219.hprmprisec,RPI,PRI
3.global_id,420e8364-d662-445f-b397-1a78ad26ba1,420e8364-d662-445f-b397-1a78ada26ba1
77.global_id,3ae0141e-8837-4ca3-a384-4ac33aa27aea***,3ae0141e-8837-4ca3-a384-4ac33aa27aea
225.routeid,1N,1-N
212.brdrlegname,COMsMODORE ISAAC HULL BRIDGE,COMMODORE ISAAC HULL BRIDGE
145.hprmprisec,RPI,PRI
49.brdrbrdnum,04108,04180
159.brdrlegname,CAPTAIN JOH BISSELL BRIDGE,CAPTAIN JOHN BISSELL BRIDGE
100.hprmprisec,PI,PRI
117.routeid,159q-N,159-N
232.brdrbrdnum,0297,02197
187.global_id,ca62c24e-9aae-4c0e-8457-691c83c982ay2,ca62c24e-9aae-4c0e-8457-691c83c982a2
132.global_id,c486aea6-81c-8462c-8be5-2ad605a763a5,c486aea6-81c8-462c-8be5-2ad605a763a5
23.global_id,08eb7597-ebe0c-4890-aebf-4f48814468b7,08eb7597-be0c-4890-aebf-4f48814468b7
224.brdract,S.A.l 265,S.A. 265
127.routeid,24i3-E,243-E
233.brdrlegname,EFNIELD-SUFFIELD VETERAN'S BRIDGE,ENFIELD-SUFFIELD VETERAN'S BRIDGE
68.routeid,20-N,202-N
149.brdract,P.A 186,P.A. 186
76.brdrnotes,"OCRRECTED 2015 - P.A. 5, SEC. 194","CORRECTED 2015 - P.A. 5, SEC. 194"
97.brdract,.A. 186,P.A. 186
122.brdrlegname,EDARD CLANCY BRIDGE,EDWARD CLANCY BRIDGE
205.global_id,50e95fcd-e417-419e-9692-23d0ffcbeefc,50e95fcd-e417-419e-9962-23d0ffcbeefc
68.townname,LITCHFIELkD,LITCHFIELD
110.townname,TORINGTON,TORRINGTON
56.brdrlegname,LAKE ASLTONSTALL BRIDGE,LAKE SALTONSTALL BRIDGE
185.routeid,p2-E,2-E
12.routeid,95-N,395-N
141.brdrlegname,MOSES WHEELER BRIDqGE,MOSES WHEELER BRIDGE
88.brdrbrdnum,0041,00431
37.hprmprisec,PIR,PRI
137.brdrnotes,NAMED BY HARTFORDi COMMON COUNCIL 1/22/1922,NAMED BY HARTFORD COMMON COUNCIL 1/22/1922
24.routeid,1N,1-N
154.townname,EAST WINDSOkR,EAST WINDSOR
237.brdrlegname,WORLD WAR I IVETERANS BRIDGE,WORLD WAR II VETERANS BRIDGE
108.hprmprisec,RI,PRI
183.global_id,263905d8-e7a9-4c8e-8ec0-l804703355148,263905d8-e7a9-4c8e-8ec0-804703355148
99.global_id,8b2c3149-e978-w49b7-91dd-762b4081da34,8b2c3149-e978-49b7-91dd-762b4081da34
28.global_id,78306bc5-f8da-4d5c-81af-f81c2770b95,78306bc5-f8da-4d5c-81af-f81c2b770b95
69.global_id,34b21ef8-85e2-465b-faa7-ef2aba6ac7c0,34b21ef8-85e2-465b-afa7-ef2aba6ac7c0
228.global_id,7920b55e05c2-4637-9ad1-ca1bd6e7d6b1,7920b55e-05c2-4637-9ad1-ca1bd6e7d6b1
4.brdract,Pa.A. 186,P.A. 186
87.brdrlegname,ALBERT M. GLENN MEMORIAL BRIGE,ALBERT M. GLENN MEMORIAL BRIDGE
146.townname,NEWNIGTON,NEWINGTON
