characteristic,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Ttoal,Female,"American Indian/Alaska Native, non-Hispanic",2002,246.0,2.1,Data not available.
Total,Feamle,"American Indian/Alaka Native, non-Hispanic",2003,230.0,2.2,Data not avzailable.
Totatl,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2005,243.0,1.9,Data not available.
Total,Female,"Americapn Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not availzable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,250.0,1.5,Data not available.
Total,Female,"American Inian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
Totla,Fegmale,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total,Female,"American Indian/AlaskaNative, non-Hispanic",2012,230.0,2.2,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2013,251.0,1.3,Data not available.
Total - Male,Mae,"American Indian/Alaskta Native, non-Hispanic",2002,242.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Daat not available.
Total- Male,Male,"American Indiapn/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total - Male,Male,"Americavn Indian/Alaska Native, non-Hispanic",2005,240.0,2.5,Data not available.
Total -Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not vaailable.
Total - Male,aMle,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not availabe.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not availabel.
Total - ale,Male,"American Indian/Alaska Native, non-Hispanic",2009,248.0,1.6,Data not available.
Toal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
Total - Male,Male,"Americn Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total - zMale,Male,"American Indian/Alaska Naitve, non-Hispanic",2012,230.0,2.2,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispawnic",2013,250.0,1.6,Data not available.
Total - Female,Femae,"American Indian/Alaska Native, gnon-Hispanic",2002,254.0,3.5,Datra not available.
Total - Female,Female,"American Indian/cAlaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
Total s- Female,Femrale,"American Indian/Alaska Native, non-Histpanic",2005,248.0,3.2,dData not available.
Total - Femlae,Fsemale,"American Indian/Alaksa Native, non-Hispanic",2006,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alsaka Native, non-Hispanic",2007,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
Ttoal - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,254.0,2.0,Data not available.
Total - Fmale,Female,"American Idndian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
Totkal - Female,Female,"American Indianw/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,253.0,1.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,249.0,2.2,Data not avalable.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - White, non-ispanic",Female,"White, non-Hispanic",2005,249.0,2.8,Data not available.
"Total - White, non-Hispanic",Female,"White,n on-Hispanic",2006,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanci",2007,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"nWhite, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,259.0,1.7,Data not available.
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,230.0,2.2,Data not avalable.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - White,n on-Hispanic",Female,"White, non-Hispanic",2013,259.0,1.8,Dtaa not available.
"Total - Black, non-Hispanic",emale,"Black, non-Hispanic",2002,230.0,5.5,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Black, non-Hispanic",Femuale,"Black, non-Hispanic",2005,229.0,3.8,Data notavailable.
"Total - Black, non-Hispanic",Femael,"Black, non-Hispanic",2006,230.0,2.2,Datac not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,230.0,2.2,Dta not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispaknic",2008,230.0,2.2,Data not availfable.
"Totl - Black, non-Hispanic",Female,Black non-Hispanic,2009,233.0,2.4,Data not available.
"Total - Blakc, non-Hispanic",Female,"Black, non-Hispanic",2010,230.0,2.2,Data not available.
"Totaol - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,230.0,2.2,Data not availabl.e
"Total -Black, non-Hispanic",Female,"Black, non-Hispanic",2012,230.0,2.2,Data rnot available.
"Total - Black, non-Hispanic",Femlae,"Back, non-Hispanic",2013,237.0,2.2,Data not available.
Tvotal - Hispanic,Female,Hispanic,2002,243.0,5.2,Data not availayble.
Total - Hispanic,Female,Hispanic,2003,230.0,2.2,Data not available.
Total - Hispanic,Fremale,Hispanic,2004,230.0,2.2,Data not available.
Total -Hispanic,Female,Hispanic,2005,235.0,4.0,Data not available.
Total - Hispanic,Female,Hispanic,2006,230.0,2.2,Data not available.
Total - Hisnpanic,Female,Hispanic,2007,230.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2008,230.0,2.2,Data not available.
Total - Hisanic,Femael,Hispanic,2009,233.0,2.5,Data not available.
Total - Hispanic,Female,iHspanic,2010,230.0,2.2,Data nota vailable.
Tota - Hispanic,Female,Hispanic,2011,230.0,2.2,Data not avilable.
Total - Hispanic,emale,Hispanic,2012,230.0,2.2,Data not available.
Total Hispanic,pFemale,Hispanic,2013,239.0,2.0,Data not aavilable.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"sian, non-Hispanic",2004,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, no-nHispanic",Female,"Asian,m non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,230.0,2.2,Data not available. Data forl 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2007,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",fFemale,"Asian, non-Hispanic",2008,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,241.0,6.0,Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, nonHispanic",2010,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.***
