characteristic,sex,raceethnicity,year,rateper_one_zero_zero_zero,standard_erroron_rate,noteon_rate,count,standard_erroron_count,noteon_count
Total,,,2000,56.8,5.45,,1512961.0,157692.8,
Total,,,2001,47.2,4.41,,1281270.0,128024.3,
Total,,,2002,52.2,5.5,,1429116.0,163034.8,
Total,,,2003,45.6,4.67,,1270011.0,139587.0,
Total,,,2004,46.3,4.19,,1311629.0,126617.1,
Total,,,2005,47.2,4.76,,1347732.0,145528.5,
Total,,,2006,47.5,4.61,,1351422.0,140348.7,
Total,,,2007,37.9,4.23,,1102128.0,132008.0,
Total,,,2008,35.2,4.2,,1029341.0,129394.5,
Total,,,2009,28.4,3.95,,833579.0,122398.1,
Total,,,2010,29.9,3.93,,894393.0,124489.2,
Total,,,2011,33.9,3.82,,1008453.0,120751.8,
Total,,,2012,35.7,3.58,,1096232.0,115788.2,
Total - Male,Male,,2000,64.9,7.26,,867541.0,107086.4,
Total - Male,Male,,2001,52.4,5.86,,711430.0,86046.8,
Total - Male,Male,,2002,58.0,7.16,,792960.0,107648.1,
Total - Male,Male,,2003,48.0,5.95,,671440.0,90058.0,
Total - Male,Male,,2004,51.5,5.6,,733774.0,85981.0,
Total - Male,Male,,2005,59.3,6.79,,855465.0,106868.3,
Total - Male,Male,,2006,50.7,5.96,,729407.0,92599.0,
Total - Male,Male,,2007,38.2,5.05,,565751.0,81164.2,
Total - Male,Male,,2008,32.7,5.07,,484094.0,79035.4,
Total - Male,Male,,2009,28.8,4.93,,428762.0,77664.9,
Total - Male,Male,,2010,31.7,4.96,,479855.0,80208.1,
Total - Male,Male,,2011,38.9,5.12,,589360.0,83198.6,
Total - Male,Male,,2012,36.6,4.59,,570144.0,75601.7,
Total - Female,Female,,2000,48.6,6.05,,645420.0,87228.6,
Total - Female,Female,,2001,42.0,5.11,,569840.0,74161.9,
Total - Female,Female,,2002,46.4,6.19,,636157.0,92189.6,
Total - Female,Female,,2003,43.1,5.57,,598571.0,83255.4,
Total - Female,Female,,2004,41.0,4.89,,577855.0,73444.7,
Total - Female,Female,,2005,34.8,4.91,,492267.0,73688.2,
Total - Female,Female,,2006,44.1,5.51,,622014.0,83241.6,
Total - Female,Female,,2007,37.6,5.05,,536377.0,78060.2,
Total - Female,Female,,2008,37.8,5.59,,545246.0,85356.8,
Total - Female,Female,,2009,27.9,4.87,,404817.0,74694.3,
Total - Female,Female,,2010,28.2,4.62,,414538.0,72367.6,
Total - Female,Female,,2011,28.6,4.24,,419092.0,65794.9,
Total - Female,Female,,2012,34.8,4.5,,526088.0,71784.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2000,59.8,6.44,,1008500.0,118900.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,51.9,5.4,,892484.0,100235.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,58.8,6.77,,1005939.0,127290.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,46.9,5.51,,803562.0,101858.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,46.5,4.91,,815344.0,92202.9,
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,49.7,5.71,,877309.0,108708.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,49.4,5.53,,855195.0,103037.6,
