308.newgeoreferencedcolumn,POINT (-72.648056 41.61647),POINT (-72.648056 41.561647)
142.newgeoreferencedcolumn,POINqT (-72.749512 41.597163),POINT (-72.749512 41.597163)
279.streetaddress,Lawn Ave&  High St,Lawn Ave & High St
144.accessdaystime,4 hours daily,24 hours daily
323.stationname,"DouebleTree by Hilton - Norwalk, CT - Tesla Destination","DoubleTree by Hilton - Norwalk, CT - Tesla Destination"
333.evotherinfo,NNE,NONE
22.evleveloneevsenum,NNE,NONE
153.evotherinfo,NNOE,NONE
105.city,Catnton,Canton
128.evotherinfo,NNOE,NONE
22.evleveltwoevsenum,***,4
148.city,Stamfeord,Stamford
115.stationname,Town of New Fairfield - TownH all,Town of New Fairfield - Town Hall
42.evdcfastcount,ONE,NONE
269.streetaddress,20 Jsup Road,20 Jesup Road
205.newgeoreferencedcolumn,POINT (-72.366742 41.65872),POINT (-72.366742 41.658572)
42.stationname,City of New Havn - Sherman Tyler Lot,City of New Haven - Sherman Tyler Lot
378.accessdaystime,24 hours sdaily; for Tesla use only,24 hours daily; for Tesla use only
354.streetaddress,155 Alain White dR,155 Alain White Rd
146.stationname,TOW OF MADISON,TOWN OF MADISON
68.stationname,University of Connecticut - Storrs Center Gaarge,University of Connecticut - Storrs Center Garage
278.newgeoreferencedcolumn,OPINT (-72.676141 41.59054),POINT (-72.676141 41.59054)
132.newgeoreferencedcolumn,PIONT (-72.766414 41.690789),POINT (-72.766414 41.690789)
248.evleveltwoevsenum,NOEN,NONE
191.newgeoreferencedcolumn,OINT (-73.011407 41.353582),POINT (-73.011407 41.353582)
355.stationname,tBrass Mill Center - Entrance 3,Brass Mill Center - Entrance 3
277.evleveloneevsenum,NOzNE,NONE
351.evleveloneevsenum,NOEN,NONE
235.accessdaystime,24 hurs daily,24 hours daily
183.streetaddress,70 W River fSt,70 W River St
1.stationname,BMW OFD ARIEN,BMW OF DARIEN
333.evleveloneevsenum,NOdNE,NONE
362.evleveloneevsenum,NOE,NONE
344.stationname,iDnosaur State Park and Arboretum,Dinosaur State Park and Arboretum
206.newgeoreferencedcolumn,POINT (-72.87939 41.60631),POINT (-72.87939 41.606301)
103.newgeoreferencedcolumn,POINsT (-73.475576 41.3777667),POINT (-73.475576 41.3777667)
366.evleveltwoevsenum,,2
42.city,Nwe Haven,New Haven
83.city,edyard,Ledyard
246.accessdaystime,24 hours daily; pay lt,24 hours daily; pay lot
375.evotherinfo,NOEN,NONE
259.evdcfastcount,2,12
161.evotherinfo,ONE,NONE
58.newgeoreferencedcolumn,PONT (-72.211435 41.354043),POINT (-72.211435 41.354043)
233.accessdaystime,24 hocurs daily,24 hours daily
217.streetaddress,1 Railroaad Pl,1 Railroad Pl
134.stationname,Figar Restaurant,Figaro Restaurant
189.streetaddress,38 Wolcott Hill Rd***,38 Wolcott Hill Rd
68.evotherinfo,NOEN,NONE
187.accessdaystime,24 hojurs daily,24 hours daily
110.city,Hartfokrd,Hartford
152.evleveloneevsenum,ONE,NONE
355.evleveltwoevsenum,,4
346.accessdaystime,24 hhours daily,24 hours daily
37.evotherinfo,ONNE,NONE
371.evdcfastcount,NONzE,NONE
318.city,Uncasvilel,Uncasville
302.evleveloneevsenum,NlONE,NONE
119.streetaddress,6w88 E Main St,688 E Main St
138.stationname,Ellington Town aHll,Ellington Town Hall
240.newgeoreferencedcolumn,POINT (-72.55635 41.812203),POINT (-72.556345 41.812203)
311.stationname,Twn of Groton - Public Library,Town of Groton - Public Library
381.streetaddress,020 Skiff St,200 Skiff St
264.evdcfastcount,NOEN,NONE
316.evleveltwoevsenum,***,2
94.city,Ne wLondon,New London
260.stationname,Connecticut Department of Energy and Environmental Protection - Marine Headquarers,Connecticut Department of Energy and Environmental Protection - Marine Headquarters
196.evleveltwoevsenum,ONE,NONE
185.evotherinfo,NOEN,NONE
118.newgeoreferencedcolumn,POINT (-73.4948097 41.070243f),POINT (-73.4948097 41.070243)
145.evleveloneevsenum,pNONE,NONE
71.evdcfastcount,oNONE,NONE
219.evdcfastcount,ONE,NONE
180.evdcfastcount,NOE,NONE
142.evdcfastcount,NOEN,NONE
266.city,Staford,Stamford
137.accessdaystime,6am-12gpm daily,6am-12pm daily
348.evotherinfo,NNE,NONE
141.evleveloneevsenum,eNONE,NONE
27.accessdaystime,2 hours daily,24 hours daily
320.evleveltwoevsenum,m2,2
83.evotherinfo,NNOE,NONE
299.streetaddress,72 Main St,172 Main St
43.stationname,City of Meriden - Meriden Pblic Library,City of Meriden - Meriden Public Library
125.evotherinfo,NONaE,NONE
232.newgeoreferencedcolumn,POINT (-72.88305 41.64358),POINT (-72.88305 41.564358)
227.evotherinfo,ONE,NONE
269.city,Westprort,Westport
135.evleveloneevsenum,NONaE,NONE
290.evdcfastcount,NOE,NONE
235.streetaddress,574 Newi London Turnpike,574 New London Turnpike
91.city,Glastonbuyr,Glastonbury
340.evleveloneevsenum,NOmNE,NONE
248.evdcfastcount,0,10
302.city,Wiltno,Wilton
284.accessdaystime,24 hours daily; for Tsla use only,24 hours daily; for Tesla use only
210.city,Tumbull,Trumbull
283.evdcfastcount,NOEN,NONE
227.evleveloneevsenum,ONNE,NONE
209.stationname,TOWNHALL,TOWN HALL
199.evleveloneevsenum,NOEN,NONE
266.accessdaystime,24g hours daily,24 hours daily
196.accessdaystime,24 hours daily; for Tesla ue only,24 hours daily; for Tesla use only
126.accessdaystime,24 hours davily,24 hours daily
106.evdcfastcount,NOhNE,NONE
147.evotherinfo,NNOE,NONE
198.city,Daznbury,Danbury
207.newgeoreferencedcolumn,POINT (-72.681921 41576716),POINT (-72.681921 41.576716)
163.stationname,Mysytic Marriott Hotel and Spa - Tesla Destination,Mystic Marriott Hotel and Spa - Tesla Destination
275.stationname,City of Hartford - Departmentl of Public Works,City of Hartford - Department of Public Works
330.city,Danbruy,Danbury
349.streetaddress, Temple St,1 Temple St
90.city,Branfod,Branford
177.streetaddress,l155 Morgan St,155 Morgan St
348.streetaddress,1 E Tdrail,1 E Trail
31.evdcfastcount,NNE,NONE
2.stationname,Dunkin’ - Tesla Shupercharger,Dunkin’ - Tesla Supercharger
78.evleveltwoevsenum,y2,2
373.evdcfastcount,***,1
20.newgeoreferencedcolumn,POINT (-73.138786 41.98528),POINT (-73.138786 41.988528)
252.accessdaystime,24 hours daly,24 hours daily
232.stationname,Connecticut Insurance xEchange of Southington,Connecticut Insurance Exchange of Southington
240.streetaddress,401 Evergeren Wy,401 Evergreen Wy
76.evleveloneevsenum,ONNE,NONE
30.accessdaystime,24 huors daily,24 hours daily
82.evleveloneevsenum,bNONE,NONE
138.city,Elington,Ellington
180.city,Somersvilhle,Somersville
59.streetaddress,65 Wdells St,65 Wells St
168.evleveloneevsenum,NNOE,NONE
247.evdcfastcount,NOzNE,NONE
206.city,Southinton,Southington
276.city,Madimson,Madison
78.streetaddress,80 E Ridge d,80 E Ridge Rd
326.evdcfastcount,ONE,NONE
195.accessdaystime,Dealership busincess hours,Dealership business hours
381.city,Hamedn,Hamden
152.evdcfastcount,ONNE,NONE
148.stationname,ELEMENT STATOIN,ELEMENT STATION
151.accessdaystime,Dealership busxiness hours,Dealership business hours
181.evotherinfo,ONE,NONE
97.evleveltwoevsenum,NrONE,NONE
141.evleveltwoevsenum,,7
380.stationname,Yankee Dodle,Yankee Doodle
189.stationname,onnecticut Department of Corrections,Connecticut Department of Corrections
19.evotherinfo,NOEN,NONE
367.newgeoreferencedcolumn,POINT (-73.5405387 41.040f838),POINT (-73.5405387 41.040838)
358.stationname,Shamgbark Lumber and Farm Supply,Shagbark Lumber and Farm Supply
174.evotherinfo,NeONE,NONE
301.evleveloneevsenum,k1,1
321.evdcfastcount,,6
151.evleveltwoevsenum,***,1
83.evdcfastcount,NOEN,NONE
340.evotherinfo,NOqNE,NONE
337.evdcfastcount,NOEN,NONE
278.city,yMiddletown,Middletown
346.streetaddress,979 Mainw St,979 Main St
125.stationname,Constitution Plaza - Souht,Constitution Plaza - South
171.city,Pomfrekt,Pomfret
239.stationname,CMOM LOT STA 1,COMM LOT STA 1
256.evdcfastcount,NuONE,NONE
132.accessdaystime,After 5dpm daily,After 5pm daily
34.accessdaystime,24 hours dailmy,24 hours daily
316.evleveloneevsenum,NgONE,NONE
13.city,hSelton,Shelton
196.newgeoreferencedcolumn,POINT (-73.p322808 42.024351),POINT (-73.322808 42.024351)
369.stationname,WhiteHart Inn - Tesla Destination,White Hart Inn - Tesla Destination
22.evdcfastcount,NOEN,NONE
379.evleveloneevsenum,NOEN,NONE
127.newgeoreferencedcolumn,POINT (-73.131808 41.98467),POINT (-73.131808 41.198467)
263.stationname,BMW BRIpDGEPORT,BMW BRIDGEPORT
172.accessdaystime,24 hours daibly; for customer use only; see valet for access,24 hours daily; for customer use only; see valet for access
105.evdcfastcount,rNONE,NONE
340.streetaddress,295 Middhlesex Turnpike,295 Middlesex Turnpike
229.city,Cheshirte,Cheshire
326.evleveltwoevsenum,***,3
219.evleveloneevsenum,NvONE,NONE
94.accessdaystime,Restircted to garage hours; pay lot,Restricted to garage hours; pay lot
129.city,New aven,New Haven
313.evdcfastcount,***,1
37.evleveloneevsenum,gNONE,NONE
94.evotherinfo,1 Conductivhe 120V,1 Conductive 120V
239.evleveltwoevsenum,e2,2
177.evleveloneevsenum,NOEN,NONE
208.streetaddress,134 Grodton Long Point Rd,134 Groton Long Point Rd
276.newgeoreferencedcolumn,POINT (-72.56188 41.26449),POINT (-72.561988 41.26449)
138.evleveltwoevsenum,***,2
8.evotherinfo,NOE,NONE
144.city,Manhester,Manchester
141.evdcfastcount,NNE,NONE
324.evleveltwoevsenum,i2,2
241.evotherinfo,NNOE,NONE
79.evdcfastcount,sNONE,NONE
104.evleveltwoevsenum,NOE,NONE
304.streetaddress,403 Main t,403 Main St
215.streetaddress,538 Amity cRd,538 Amity Rd
301.evotherinfo,NOEN,NONE
250.evdcfastcount,NOEN,NONE
1.newgeoreferencedcolumn,POINT (-73.4764678 41.072882),POINT (-73.4764687 41.072882)
41.city,Merfiden,Meriden
117.newgeoreferencedcolumn,POINT (-72.9j68506 41.307602),POINT (-72.968506 41.307602)
33.stationname,Water's Edge Resort and Spa - Tesla Destinaiton,Water's Edge Resort and Spa - Tesla Destination
117.evleveloneevsenum,NNOE,NONE
80.newgeoreferencedcolumn,POINT (-73.317072 41.138623y),POINT (-73.317072 41.138623)
340.stationname,rossman Nissan,Grossman Nissan
356.accessdaystime,24 hours daiyl,24 hours daily
64.newgeoreferencedcolumn,POITN (-73.53779 41.050574),POINT (-73.53779 41.050574)
24.accessdaystime,2w4 hours daily,24 hours daily
330.streetaddress,14 Mill Pnlain Rd,14 Mill Plain Rd
205.evleveltwoevsenum,,2
382.newgeoreferencedcolumn,POINT (-72.67468 41.766676),POINT (-72.674468 41.766676)
298.evleveltwoevsenum,***,2
50.stationname,Barberino Niqssan,Barberino Nissan
195.evleveloneevsenum,ONE,NONE
132.evdcfastcount,NOiNE,NONE
366.evdcfastcount,NONdE,NONE
289.evotherinfo,NNOE,NONE
