stationname,streetaddress,city,accessdaystime,evleveloneevsenum,evleveltwoevsenum,evdcfastcount,evotherinfo,newgeoreferencedcolumn
BMW OFD ARIEN,138-x142 Ledge Rd,aDrien,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4764678 41.072882)
Dunkin’ - Tesla Shupercharger,893 E Main St,Meriden,24 hfours daily; for Tesla use only,NOhNE,NONE,8,NONE,POINT (-72.773473 41.527367)
Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falsl,24 hours daily,NONE,1,NOEN,NONE,POINT (-73.065583 4n1.44548100000001)
OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybroohk,24 hours daily,NONE,2,NONE,NONE,POINT (-72.3825 41.3102778)
Fairfield Rail Station,80 Mill Plain Rd,Farfield,24 hours daily,NOlNE,2,NONE,NONE,POINT (-73.264511 41.143125)
FOUNDRY66,50 FranklinSt,Norwich,24 hours daily,NONE,2,NONE,NONE,POINT (-72.0741188 41.525611)
Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britin Ave.,West Hartford,24 hours daily; for Tesla use only,NONE,NONE,8,ONNE,POINT (-72.759717 41.722672)
GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 hours daily,NONE,,NONE,NOE,POINT (-72.6086744 41.711717)
Whole Foods Market,150 Ledge Rd,Darien,8am-10pm daily; for customer use only,4,NONE,NONE,NONE,POINT (-73.476189 41.072919)
Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 hours daily; guest use only; see front desk for access,NONE,1,NONE,NONE,POINT (-72.026147 41.365973)
Brass Mill Center - Shoppers World,495 Uinon St,Waterbury,6am-12am daily,NONE,2,NONE,NNOE,POINT (-73.025659 41.550922)
University of Connecticut Health- Center Garage,263 Farmington Ave,Farmington,24 hours daily,NONE,4,NONE,NONE,POINT (-72.79061800000001 41.730405)
D'Addario Nissan,329 Bridgeport Ave,hSelton,Dealership business hopurs,NONE,1,***,NONE,POINT (-73.106051 41.299792)
