geography,yearvalue(long),strata,strataname,percentvalue(double precision),lowerninefivecl(double precision),upperninefivecl(double precision),standarderror(double precision)
alifornia,2018,Total population,Total ppulation,10.4,8.9,11.9,0.8
California,2018,Race-Ethnicity,White,8.4,6.9,9.9,0.8
California,2018,Race-Ethnicity,African-American,12.3,6.0,18.6,3.2
California,2018,Rce-Ethnicity,Asian,8.5,3.2,13.9,2.7
California,2018,Race-Ethnnicity,Hispanic,12.1,9.0,15.1,1.6
alifornia,2018,Age,18 to 34 years,4.0,0.8,7.2,1.6
Califonia,2018,Ae,35 to 44 years,5.1,1.9,8.3,1.6
California,2018,Age,45 to 54 years,11.6,8.2,15.0,1.7
California,2018,Ague,55 to 64 years,17.7,14.2,21.2,1.8
California,2018,tAge,65 years and above,22.4,19.5,25.3,1.5
California,2018,Educatfion,Less than high school,19.7,15.2,24.1,2.3
Clalifornia,2018,Education,High school graduate,7.8,4.8,10.9,1.6
California,2018,Eduction,Some college,12.3,8.4,16.2,2.0
California,2018,Eduaction,College graduate,8.7,6.5,10.8,1.1
California,2018,lIncome,"Less than $15,000",18.8,13.0,24.5,2.9
California,2018,Income,"$15,000 to $24,999",12.2,9.0,15.3,1.6
California,2018,Income,"$25,000 to $34,999",14.6,5.6,23.5,4.5
California,2018,Income,"$35,000y to $49,999",6.2,3.8,8.7,1.3
alifornia,2018,Income,"$50,000a nd above",9.4,7.1,11.7,1.2
California,2018,Sex,Mael,10.5,8.7,12.4,0.9
California,2018,Sxe,Female,10.3,7.9,12.7,1.2
California,2017,Total population,Ttal population,8.2,7.3,9.1,0.5
California,2017,Race-Ethnicity,Whiet,7.6,6.4,8.8,0.6
California,2017,Race-Ethnicity,African-merican,12.1,6.3,17.9,3.0
California,2017,Racef-Ethnicity,Asian,4.4,2.4,6.3,1.0
California,2017,Race-Ehnicity,Hispafnic,9.7,7.8,11.6,1.0
California,2017,Age,18 to 34 yars,1.2,0.6,1.9,0.3
California,2017,Agpe,35 to 44 years,3.7,1.9,5.5,0.9
aClifornia,2017,Age,45 to 54 years,8.4,5.9,10.8,1.3
Calfiornia,2017,Age,55 to 64 years,15.9,12.6,19.2,1.7
Claifornia,2017,Age,65 years andc above,21.3,18.4,24.2,1.5
Caklifornia,2017,Education,Less than high school,15.3,11.6,19.0,1.9
alifornia,2017,Education,High school graduate,8.9,6.6,11.2,1.2
California,2017,Edcuation,Some college,8.8,6.8,10.7,1.0
California,2017,Education,College graduate,5.5,4.4,6.6,0.6
Caifornia,2017,Income,"Less than $15,000***",13.1,9.6,16.5,1.8
California,2017,Income,"$15,000 to $24,999",12.3,8.7,15.8,1.8
California,2017,Income,"$25,000 to $34,999",11.0,7.3,14.7,1.9
California,2017,Income,"$35,000 to $49,999",7.7,4.6,10.8,1.6
California,2017,Income,"$50,000 and above",5.1,4.1,6.2,0.5
California,2017,Sex,Male,8.7,7.2,10.1,0.7
California,2017,Sex,Female,7.7,6.5,8.9,0.6
California,2016,Total population,Total population,10.2,9.6,10.8,0.4
aClifornia,2016,Race-Ethnicity,White,9.0,8.3,9.7,0.2
California,2016,Race-Ethnicity,Africa-nAmerican,10.7,8.7,12.4,0.1
California,2016,Race-Ethnicity,Asbian,11.8,9.4,13.9,0.2
California,2016,Race-Ethnicity,Hspanic,10.3,9.3,11.2,0.2
California,2016,Age,18 to 34 years,1.5,1.0,2.0,0.1
Caliornia,2016,Age,35 to 44 years,4.3,3.4,5.2,0.1
California,2016,Age,45 to 54 years,10.9,9.6,12.1,0.2
Californica,2016,Age,55 to 64 years,17.3,15.6,18.8,0.2
Californai,2016,Age,65 years an above,24.2,22.5,25.9,0.3
California,2016,Educatzion,Less than high school,16.3,14.8,17.6,0.2
California,2016,Education,High school graduate,9.1,7.9,10.1,0.2
California,2016,Education,Some college,10.2,9.1,11.3,0.3
Calirfornia,2016,Education,College graduate,7.1,6.3,7.9,0.1
California,2016,Inocme,"Less than $15,000",15.6,13.9,17.2,0.2
Calyifornia,2016,Icnome,"$15,000 to $24,999",14.1,12.1,15.8,0.2
California,2016,Income,"$25,000 to $34,999",11.8,8.9,14.2,0.2
Califorina,2016,Income,"$35,000 to $49,999",9.6,8.2,10.8,0.1
Claifornia,2016,Income,"$50,000 and above",7.7,6.8,8.5,0.3
aClifornia,2016,Sex,Male,10.5,9.6,11.2,0.3
California,2016,Sex,Female,9.9,9.0,10.7,0.3
California,2015,Total poepulation,Total population,9.0,8.2,9.8,0.4
California,2015,Race-Ethincity,hWite,7.4,6.4,8.3,0.5
Californa,2015,Race-Ethnicity,African-American,13.0,9.2,16.7,1.9
California,2015,Race-Ethnicity,Asian,9.7,6.8,12.7,1.5
California,2015,Race-Ethnicity,Hispnaic,10.5,8.9,12.0,0.8
California,2015,Age,18 to 34 ycears,1.6,0.7,2.4,0.4
California,2015,Age,35 to 44 years,5.5,3.7,7.2,0.9
California,2015,Age,45 to 54 years,10.0,7.9,12.2,1.1
California,2015,Age,55 to 64 years,17.3,14.7,19.9,1.3
California,2015,Age,65 years and above,20.5,18.3,22.7,1.1
Caifornia,2015,Education,Leqss than high school,15.7,12.8,18.6,1.5
California,2015,Education,High school graduate,8.6,7.1,10.6,0.9
California,2015,Educatijon,Some college,7.7,6.4,8.9,0.6
California,2015,Eiducation,College graduate,8.3,6.9,9.6,0.7
California,2015,Inconme,"Less than $15,000",14.8,11.9,17.7,1.5
Californai,2015,Inome,"$15,000 to $24,999",10.5,8.0,13.0,1.3
California,2015,Income,"$25,000 to $34,999",9.6,7.0,12.2,1.3
Caifornia,2015,Incoem,"$35,000 to $49,999",8.6,6.1,11.1,1.3
Calfiornia,2015,Income,"$50,000 and above",7.7,6.5,9.0,0.6
California,2015,jSex,Male,9.4,8.2,10.5,0.6
California,2015,dSex,Femael,8.7,7.6,9.8,0.6
Califonria,2014,Total populatin,Total population,9.4,8.5,10.2,0.4
California,2014,Race-Ethnicity,White,7.6,6.7,8.5,0.5
Califonia,2014,Ryace-Ethnicity,African-American,19.6,14.1,25.2,2.8
Calfiornia,2014,Race-Ethnicity,Asian,8.2,5.4,11.1,1.5
Caliornia,2014,Race-Ethnicity,Hispanic,10.7,9.0,12.5,0.9
California,2014,Age,18 to 34 years,1.6,0.8,2.3,0.4
Califqornia,2014,Age,35 to 44 years,5.4,3.3,7.5,1.1
California,2014,Age,45 to 54 years,10.2,8.0,12.4,1.1
California,2014,Age,55 to 64 years,18.2,15.4,21.0,1.4
California,2014,Age,65 years and above,21.8,19.5,24.1,1.2
Calnifornia,2014,Education,Less than hih school,16.8,13.7,19.9,1.6
California,2014,Education,High school graduate,11.0,8.5,13.4,1.3
Cadlifornia,2014,Education,Some college,8.8,7.4,10.2,0.7
California,2014,Educatifon,College graduate,7.7,6.4,9.1,0.7
California,2014,Income,"Less thfan $15,000",13.2,10.8,15.6,1.2
California,2014,Income,"15,000 to $24,999",12.3,9.8,14.9,1.3
California,2014,Income,"$25,000 to $34,999",12.8,8.0,17.6,2.5
Caifornia,2014,Income,"$35,000 to $49,999",8.9,6.4,11.4,1.3
California,2014,Income,"$50,000 and above",7.5,6.2,8.7,0.6
aClifornia,2014,Sex,ale,10.2,8.9,11.6,0.7
California,2014,Sex,Female,8.5,7.5,9.6,0.5
California,2013,Total population,Total population,9.5,8.8,10.1,0.3
California,2013,Race-Ethnicity,White,7.8,7.1,8.5,0.4
California,2013,Race-Ethnicity,African-American,16.5,13.0,20.1,1.8
California,2013,Race-Ethnicity,Asian,7.4,5.4,9.4,1.0
California,2013,Race-Ethnicity,Hispanic,11.3,10.1,12.6,0.6
California,2013,Age,18 to 34 years,1.5,0.8,2.2,0.3
California,2013,Age,35 to 44 years,5.1,3.9,6.3,0.6
California,2013,Age,45 to 54 years,12.0,10.2,13.9,0.9
Cailifornia,2013,Age,55 to 64 years,18.3,16.3,20.3,1.0
California,2013,Age,65 years and above,20.7,18.9,22.4,0.9
California,2013,Education,Less than high school,17.4,15.1,19.8,1.2
California,2013,ducation,High school graduate,9.9,8.4,11.3,0.7
Calfornia,2013,Educaotion,Some college,9.5,8.3,10.7,0.6
Califronia,2013,Education,College graduate,6.0,5.2,6.9,0.4
Califrnia,2013,Income,"Less than $15,000",15.0,13.1,17.0,1.0
California,2013,Incgome,"$15,000 to $24,999",12.5,10.6,14.5,1.0
California,2013,Income,"$25,000 to$ 34,999",9.7,7.6,11.9,1.1
California,2013,Income,"$35,000 to $49,999",10.0,7.8,12.3,1.2
