Maker,Scale,Description,Price,Notes
CM,1/72,SS1USS Holland (1st USN submarine),$90.00,
CM,1/192,BB USS Maine (1898),$450.00,
CM,1/192,DD445 USS Fletcher,$290.00,
CM,1/192,U.S. Landing Ship Medium (LSM),$125.00,
CM,1/192,BB USS Texas (1898),$420.00,Only 100 kits will be made
CM,1/192,BB HMS Victoria (Royal Navy 1890's),$450.00,
CM,1/192,Novgorod Russian Coastal Battleship,$155.00,
CM,1/192,Admiral Popov Russian Coastal Battleship,$155.00,
,,,,
CM,1/350,CA DKM Graf Spee,$290.00,
CM,1/350,BB HMS Nelson/Rodney,$425.00,oldmodelkits.com
CM,1/350,BB USS Tennessee/California/West Virginia 1944,$350.00,Discontinued-Limited Stock
CM,1/350,CB1 USS Alaska (WW2 Battlecruiser),$330.00,
CM,1/350,BB HMS Queen Elizabeth (WW2),$330.00,Limited Availability
CM,1/350,BB40 USS New Mexico 1944,$285.00,Discontinued-Limited Stock
CM,1/350,"BB39 USS Arizona Dec 7, 1941",$275.00,
CM,1/350,"BB38 USS Pennsylvania Dec 7, 1941",$275.00,
CM,1/350,"BB46 USS Maryland Dec 7, 1941",$285.00,
CM,1/350,"BB48 USS West Virginia Dec 7, 1941",$285.00,
CM,1/350,"BB36 USS Nevada Dec 7, 1941",$335.00,
CM,1/350,"BB37 USS Oklahoma Dec 7, 1941",$335.00,
CM,1/350,BB35 USS Texas (June 1944 Operation Neptune),$335.00,Discontinued-Limited Stock
CM,1/350,BB39 USS Arizona 1921,$275.00,
CM,1/350,CB DKM Scharnhorst 1943,$365.00,
CM,1/350,CA DKM Prinz Eugen,$335.00,
CM,1/350,CL8 USS Detroit 1945 (Omaha class 1945),$220.00,
CM,1/350,CA38 USS San Francisco (New Orleans class 1944),$235.00,
CM,1/350,CL43 USS Nashville (Brooklyn class 1944),$225.00,
CM,1/350,CA72 USS Pittsburgh (Baltimore class 1944),$285.00,
CM,1/350,CA25 USS Salt Lake City (Pensacola class 1944),$235.00,
CM,1/350,CA35 USS Indianapolis (Indianapolis class 1945),$255.00,
CM,1/350,C 62 USS Birmingham (Cleveland class 1944),$220.00,
,,,,
CM,1/350,USS Maine (First US Battleship 1898),$150.00,Discontinued-Limited Stock
CM,1/350,C6 USS Olympia (Protected Cruiser 1898),$150.00,Discontinued-Limited Stock
CM,1/350,CB HMS Invincible (First RN Battlecruiser 1913),$240.00,
CM,1/350,USS Katahdin (Armored Ram 1899),$98.00,
CM,1/350,DD1 USS Bainbridge (1st US Torpedo Boat DD 1916),$85.00,
CM,1/350,DD7 USS Hopkins (Torpedo Boat DD 1916),$85.00,
CM,1/350,ACR3 USS Brooklyn (Armored Cruiser 1898),$225.00,
CM,1/350,"DD23 USS Paulding (750 ton ""flivver"" type 1906)",$95.00,
CM,1/350,C21 USS Milwaukee (Protected Cruiser 1910),$245.00,
CM,1/350,BM6 USS Monterey (US Coastal Monitor 1893),$95.00,
CM,1/350,BB2 USS Texas (2nd US Battleship 1898),$150.00,
CM,1/350,Ting Yuen (Chinese Battleship),,
,,"(3 versions - as built, Battle of the Yalu, Japanese)",$160.00,
CM,1/350,BB USS South Dakota (1906),$245.00,
CM,1/350,BB 4 USS Iowa (1898),$210.00,
CM,1/350,BM1 USS Puritan (Costal Monitor 1898),$125.00,
CM,1/350,BB 27 USS Michigan (1918),$275.00,
CM,1/350,C14 USS Denver (Protected Cruiser 1904),$125.00,
CM,1/350,BM2 USS Amphitrite (Costal Monitor 1898),$115.00,
CM,1/350,CA2 USS New York (Armored Cruiser 1895),$215.00,
CM,1/350,BB5 USS Kearsarge (1900),$205.00,
CM,1/350,BB7 USS Illinois (1901),$205.00,
CM,1/350,USS Monitor (US first Monitor),$40.00,
CM,1/350,USS Boston (Protected Cruiser 1898),$115.00,
CM,1/350,USS Florida (Arkansas Class Monitor 1902),$115.00,
,,,,
CM,1/350,HMCS Halifax (Modern Canadian City Class FFG),$175.00,
CM,1/350,FF1090 USS Ainsworth (Modern US Knox class FF),$175.00,
CM,1/350,DD821 USS Johnston (Gearing FRAM I 1968),$150.00,
CM,1/350,DD724 USS Laffey (Sumner FRAM II 1968),$150.00,
CM,1/350,LPH9 USS Guam (Iwo Jima Class 1985),$440.00,
CM,1/350,CGN9 USS Long Beach (w/Optional fits),$360.00,
