usaf,wban,yrmodahrmn,dir,spd,gus,clg,skc,l,m,h,vsb,mw,mw_one,mw_two,mw_three,aw,aw_one,aw_two,aw_three,w,temp,dewp,slp,alt,stp,max,min,pcp_zero_one,pcp_zero_six,pcp_two_four,pcpxx,sd
94889,201210010053,***,0,***,55,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,49,43,1014.7,29.96,984.1,***,***,0.00,*****,*****,*****,**,
94889,201210010153,020,5,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,48,42,1014.6,29.96,984.1,***,***,0.00,*****,*****,*****,**,
94889,201210010253,***,0,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,41,39,1014.9,29.96,984.1,***,***,0.00,*****,*****,*****,**,
94889,201210010353,040,6,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,44,41,1014.0,29.94,983.5,***,***,0.00,*****,*****,*****,**,
94889,201210010453,***,0,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,42,40,1014.3,29.95,983.8,***,***,0.00,*****,*****,*****,**,
94889,201210010459,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,67,***,*****,*****,0.00,*****,**,
94889,201210010515,***,0,***,722,CLR,*,*,*,1.8,**,**,**,**,10,**,**,**,*,39,37,******,29.95,983.8,***,***,*****,*****,*****,*****,**,
94889,201210010520,***,0,***,722,CLR,*,*,*,0.8,**,**,**,**,10,**,**,**,*,37,36,******,29.95,983.8,***,***,*****,*****,*****,*****,**,
94889,201210010530,***,0,***,722,CLR,*,*,*,2.0,**,**,**,**,10,**,**,**,*,43,39,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210010539,***,0,***,722,CLR,*,*,*,1.3,**,**,**,**,10,**,**,**,*,37,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210010553,***,0,***,722,CLR,*,*,*,0.5,**,**,**,**,30,**,**,**,*,39,37,1014.1,29.94,983.5,50,37,0.00,*****,*****,*****,**,
94889,201210010621,***,0,***,722,CLR,*,*,*,1.5,**,**,**,**,10,**,**,**,*,41,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210010624,***,0,***,722,CLR,*,*,*,3.0,**,**,**,**,10,**,**,**,*,39,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210010634,***,0,***,722,CLR,*,*,*,1.0,**,**,**,**,10,**,**,**,*,36,36,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210010641,230,3,***,722,CLR,*,*,*,0.3,**,**,**,**,30,**,**,**,*,36,36,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210010653,***,0,***,722,CLR,*,*,*,1.0,**,**,**,**,10,**,**,**,*,38,35,1014.1,29.94,983.5,***,***,0.00,*****,*****,*****,**,
94889,201210010655,***,0,***,722,CLR,*,*,*,2.5,**,**,**,**,10,**,**,**,*,37,36,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210010702,***,0,***,722,CLR,*,*,*,4.0,**,**,**,**,10,**,**,**,*,39,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210010704,***,0,***,722,CLR,*,*,*,1.8,**,**,**,**,10,**,**,**,*,39,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210010708,***,0,***,722,CLR,*,*,*,0.8,**,**,**,**,10,**,**,**,*,39,37,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210010753,***,0,***,722,CLR,*,*,*,0.5,**,**,**,**,30,**,**,**,*,36,36,1013.9,29.93,983.1,***,***,0.00,*****,*****,*****,**,
94889,201210010832,***,0,***,2,OBS,*,*,*,0.3,**,**,**,**,30,**,**,**,*,36,36,******,29.93,983.1,***,***,*****,*****,*****,*****,**,
94889,201210010853,***,0,***,2,OBS,*,*,*,0.3,**,**,**,**,30,**,**,**,*,35,34,1013.9,29.93,983.1,***,***,0.00,*****,*****,*****,**,
94889,201210010905,***,0,***,722,CLR,*,*,*,0.5,**,**,**,**,30,**,**,**,*,34,34,******,29.93,983.1,***,***,*****,*****,*****,*****,**,
94889,201210010953,***,0,***,722,CLR,*,*,*,0.5,**,**,**,**,30,**,**,**,*,37,35,1013.8,29.93,983.1,***,***,0.00,*****,*****,*****,**,
94889,201210011008,***,0,***,722,CLR,*,*,*,1.8,**,**,**,**,10,**,**,**,*,36,34,******,29.93,983.1,***,***,*****,*****,*****,*****,**,
94889,201210011010,***,0,***,722,CLR,*,*,*,4.0,**,**,**,**,10,**,**,**,*,36,34,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210011029,***,0,***,722,CLR,*,*,*,1.5,**,**,**,**,10,**,**,**,*,36,34,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210011032,***,0,***,722,CLR,*,*,*,0.8,**,**,**,**,10,**,**,**,*,37,36,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210011044,***,0,***,722,CLR,*,*,*,1.5,**,**,**,**,10,**,**,**,*,36,36,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210011047,***,0,***,722,CLR,*,*,*,4.0,**,**,**,**,10,**,**,**,*,37,36,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
94889,201210011053,***,0,***,722,CLR,*,*,*,1.8,**,**,**,**,10,**,**,**,*,37,35,1014.2,29.94,983.5,***,***,0.00,*****,*****,*****,**,
94889,201210011058,***,0,***,722,CLR,*,*,*,0.8,**,**,**,**,10,**,**,**,*,37,36,******,29.94,983.5,***,***,*****,*****,*****,*****,**,
