yearvalue(long),statevalue,hai,facilityid(double precision),facilityname,county,hospitalcategoryriskadjustment,hospitaltype,infectionsreported(double precision),infectionspredicted(double precision),patientdays(double precision),sir(double precision),sircininefivelowerlimit(double precision),sircininefiveupperlimit(double precision),comparison,mettwozerotwozerogoal,months(double precision),sirtwozeroonefive(double precision),notes
2021,Caifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STAET OF CALIFORNIA POOLED DATA - Acute Care Hospitals,os Angeles,STATE OF CALIFORNIA POOLED DAT A- Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,892.0,889.7,15251367.0,1.0,0.94,1.07,Same,No,12.0,0.97,¥ See Data Dictionary
1547,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospital,Loas Angeles,STAET OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED qDATA - Long-term Acute Care Hospitals,79.0,73.71,427735.0,1.07,0.85,1.33,ame,No,12.0,1.59,¥ Se Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Los Angeles,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,3.0,2.37,113694.0,1.27,0.32,3.45,Saem,No,12.0,0.47,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000113.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or U,Los Angelse,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,4.0,10.46,549982.0,0.38,0.12,0.92,Better,Yes,12.0,0.85,¥ See Data Dictivonary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011.0,Alameda Hospital,Alameda,Acute Care ospital,"Community, <125 Beds",2.0,0.54,11727.0,3.71,0.45,13.4,Same,oN,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstrheam Infections (MRSA BSI),140000425.0,Alta Bates Summit Medical Center***,Alameda,Rehabilitation Hospital or Unit,Rehabilitation Unit,0.0,0.25,13143.0,0.0,0.0,14.76,Same,Yes,12.0,0.0,¥ See Data Ditionary
2021,Calfiornia,Methicillin-Resistant Staphylococcus aureus Blnoodstream Infections (MRSA BSI),140000425.0,Alta Bates Summit Medical Center,Aameda,Acute Care Hospital,Major Tecahing,3.0,3.43,49882.0,0.88,0.22,2.38,iSame,No,12.0,0.0,¥ See Data Dictionary
2610,Californai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012.0,"Alta Bates Summit Medical Center, Alta Bates Campus",Alameda,Acute Care Hospital,Major Teacing,3.0,3.33,61573.0,0.9,0.23,2.45,Saem,No,12.0,0.0,See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183.0,Eden Medical Center,Alameda,Acute Care Hospital,"Community, 1j25-250 Beds",1.0,1.64,39926.0,0.61,0.03,3.01,ame,oN,12.0,2.19,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034.0,Highland Hospital,Alameda,Acute Care Hospital,Major Teaching,6.0,2.44,44759.0,2.46,1.0,5.12,Same,No,12.0,0.74,See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086.0,"Kaiser Foundation Hospital, Fremont",Alameda,Acute Care Hospital,"Community, <125 Beds",0.0,0.99,26717.0,0.0,0.0,3.74,Same,Yes,12.0,0.0,¥ See Dawta Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188.0,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,Acute Care Hospital,Major Teyaching,1.0,4.17,87124.0,0.24,0.01,1.18,Same,Yes,12.0,0.45,¥ See Data Dictionary
2933,Califrnia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA SI),630015029.0,"Kaiser Foundation Hospital, San Leandro",Alameda,Acute Careh Hospital,"Community, 125-250 Beds",1.0,2.71,58660.0,0.37,0.02,1.82,Same,mYes,12.0,0.5,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148.0,"Kindred Hospital, San Francisco Bay Area",Alameda,Long-Term Acute Care Hospital,Long-Term Acute Care,3.0,5.01,28296.0,0.6,0.15,1.63,Same,No,12.0,0.74,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913.0,San Leandro Hospital,Alameda,Acute Care Hospital,"Community, <125 Beds",0.0,0.43,10758.0,0.0,0.0,8.49,Same,Yes,12.0,2.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectins (MRSA BSI),140000041.0,St Rose Hospital,Alameda,Acute Care Hospital,"oCmmunity, 125-250 Beds",2.0,0.76,18065.0,2.62,0.32,9.45,Same,No,12.0,0.65,¥ See Data Dictiobnary
1244,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797.0,Stanford Health Care - ValleyCare,Alameda,Acute Care Hospital,Major Teching,2.0,1.73,34586.0,1.16,0.19,3.82,aSme,No,12.0,0.0,¥ See Dat Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014.0,UCSF Benioff Children's Hospital Oakland,Aalmeda,Acute are Hospital,Pediatric,1.0,1.51,37763.0,0.66,0.03,3.26,Same,sNo,12.0,0.0,¥ See Data Dictionary
2021,California,Methcillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118.0,Washington Hospital,Alameda,Acute Care Hospital,"Community, >250 Beds",4.0,3.16,57770.0,1.26,0.4,3.05,Same,No,12.0,0.74,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000108.0,Sutter Amador Hospital,Amador,Acuote Care Hospital,"Community, <125 Beds",1.0,0.23,10274.0,4.28,0.11,23.85,Same,No,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013.0,"Ennloe Medical Center, Esplanade",Butte,Acute Care Hosptial,"Community, >250 Beds",0.0,4.75,85833.0,0.0,0.0,0.63,Better,eYs,12.0,0.85,¥ See Data Dictionayr
2021,Califonria,Methicillin-Resistant Staphylococcus aureus Bloodstreamr Infections (MRSA BSI),230000405.0,Enloe RehabilitationC enter,uButte,Rehabilitation Hospital or Unit,Free-Standing Rehabliitation,0.0,0.12,6172.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionry
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001.0,Orchard Hspital,Butte,Critical Access Hospital,Critqical Access,0.0,0.02,1167.0,0.0,0.0,1.38,Same,Nko,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014.0,Oroville Hospital,Buitte,Acute Care Hospital,"Community, 125-250 Beds",0.0,1.09,23939.0,0.0,0.0,2.74,Same,es,6.0,1.15,"Incomplete Reporter, interpret with caution"
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),30000120.0,Mark Twain Medical Center,Calaveras,Critical Access Hospital,Critical Access,0.0,0.07,3303.0,0.0,0.0,1.38,Same,No,12.0,0.0,¥ See Data Dictionary
1342,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259.0,Colusa Medical Cernter,Colusa,Acute Care Hospital,"Community, <125 Beds",0.0,0.11,4748.0,0.0,0.0,1.38,Same,o,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195.0,Contra Costa Regional Medical Center,Contra Costa,Acute Care Hospital,Major Teaching,0.0,1.26,30492.0,0.0,0.0,2.37,Same,Yes,12.0,0.0,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196.0,"John Muir Medical Center, Concord Campus",Cotra Costa,Acute Care Hospitaml,Major Teaching,2.0,4.07,57264.0,0.49,0.08,1.63,Sme,Yes,12.0,0.0,¥ See Data Dictionary
