191.characteristic,Total,"Pacific Islander, non-Hispanic"
133.sex,Maloe,Male
267.noteoncount,Reporting standards not met. Eithe rthere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
32.noteoncount,Reporting standards not met. Eitherz there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
157.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estmiate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
263.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or bthe coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
148.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
170.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate o rthe coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
233.sex,Femle,Female
293.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or gerater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
31.noteoncount,Reporting standards not met. Either there are too few cases for a reliable lestimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
288.characteristic,"Total - Black, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
97.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
99.characteristic,Total,"Total - Pacific Islander, non-Hispanic"
212.noteoncount,Reporting standards not met. Either there are too cfew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
210.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Data not available.
81.characteristic,Total - Female,"Total - Asian, non-Hispanic"
