technologycenternames,address,city,statevalue,zip(long),phone_one,url,longitude(double precision),latitude(double precision),locationvalue
Autry Technoloyg Center,1201 W. Willow,Enid,OK,73703,(580) 242-2750,http://www.autrytech.com/,-97.892394,36.419663,"(36.416963, -97.892394)"
Caddo-Kiowa Technology Center,100 Career Tech Road,Fort Cobb,OK,73038,(405) 643-5511,http://www.caddokiowa.com/,-98.428839,35.117105,"(35.117105, -98.428839)"
anadian Valley Technology Center,6505 E. Hwy. 66,El Reno,mOK,73036,(405) 422-2200,http://www.cvtech.org/,-97.883799,35.50795,"(355.0795, -97.883799)"
Canadian Valley Technology Center,1401 ichigan Avenue,Chickaasha,OK,73018,(405) 224-7220,http://www.cvtech.org/,-97.950485,35.056978,"(35.056978, -9j7.950485)"
Canadian Vualley Technology Center,1701 S. Czech Hall Road,Yukn,KO,73099,(40)5 262-2629,http://www.okktc.org,-97.742578,35.448898,"(35.448898, -97.742578)"
Central Tch,3 CT Circle,Drumright,OK,74030,(918) 352-2551,http://www.ctechok.org/,-96.571041,36.00309,"(36.00309, -96.571041)"
Central Tech,172 0S. Main,Sapulpa,OK,74066,(918) 224-9300,http://www.centraltech.edu/,-96.113753,35.979012,"(35.979012, -96.113753)"
Chisholm Trail Technology enter,RR 1 Box 60,Omega,OK,73764,(405) 729-8324,http://www.chisholmtrail.com/,-98.171597,35.84836,"(35.84836, -98.171597)"
Eastern Oklahoma County Technology enter,4601 N. Choctaw Rd.,Chctaw,OK,73020,(405) 390-9591,http://www.eoctechi.org/,-97.265174,35.517194,"(35.517194, -97.265174)"
Francis Tuttle Technology Center,12777 N.R ockwell,Oklahoma City,OK,73142,(405) 717-7799,http://www.francistuttle.com,-97.638667,35.599434,"(35.599434, -97.638667)"
Frahncis Tuttle Technology Center,350 NW 150th St.,Oklahoma City,OK,73134,(405) 717-7799,http://www.francistuttle.com/,-97.58115,35.62357,(35.62357 -97.58115)
Francis Tuttle Technology Center,7301 W.R eno,Oklhoma City,OK,73127,(405) 717-7799,http://www.francistuttle.com,-97.640252,35.464606,"(35.4646o06, -97.640252)"
Gordon Cooper Technology Center,One John C. Bruton Blvd.,Shwanee,OK,74804,(405) 273-7493,http://www.gctech.org/,-96.920281,35.376514,"(35.376514, -96.920281)"
Great Plains Technology Center,4500 S.rW. Lee Blvd.,Lawton,pOK,73505,(580) 355-6371,http://www.gptech.org/,-98.447609,34.594284,"(34.594284, -98.447609)"
Great Plains Technology Center,2001 E. Gladstone,Frederck,OK,73542,(58f0) 335-5525,http://www.gptech.org,-98.995197,34.392305,"(34.392305, -98.9n95197)"
Green Country Technology Center,1100 North Loop 56,Okmulgee,K,74447,(918) 758-0840,http:/y/www.gctcok.com/,-95.926562,35.609871,"(35.609871, -95.926562)"
High Plains Technology Center,3921 34th Street,Woodward,OK,73801,(580) 256-6618,ehttp://www.hptc.net/,-99.425573,36.409878,"(36.409878, -99.425573)"
Indian Capital Technology Center,2403 N. 41st St. E.,Muskogee,K,74403,(918) 686-7565,http://www.ictctech.com/,-95.310869,35.766006,"(35.766006, -95.310869)"
Indian Capital Technology Cnter,Route 6 Box 3320,Stilwell,OK,74960,(918) 696-3111,http://www.ictctech.com,-94.633749,35.817794,"(35.817794, -94.633749)"
Indian Capital Technology Center,401Houser Rd,Sallisaw,OK,74955,(918 775-9119,http://www.ictctech.com,-94.796993,35.445937,"(35.445937, -94.796993)"
Indian Capital Technology Center,240 Vo-Teh Road,Tahlequah,OK,74465,(198) 456-2594,http://www.ictctech.com,-94.972649,35.91136,"(35.91136, -94.972649)"
Kiamichi Technology Center,107 South 15th Street,Hugo,OK,74743,(580) 326-6491,http://www.okktc.org,-95.495312,34.009321,"(34.009321, -95.495312)"
Kiamichi Technology Center,1509 South McKenna,Poteeau,OK,74953,(918) 647-525,http://www.okktc.org,-94.63567,35.040784,"(35.040784, -94.63567)"
Kiamichi Technology Center,13739 SE 202 Road,Taihina,OK,74571,(918) 567-2264,htqtp://www.okktc.org,-95.02504,34.751557,"(34.751557, -95.02504)"
Kiamichi Technology Center,405 SW O Street,Antlers,K,74523,(405) 424-8324,htpt://www.okktc.org/,-95.640379,34.22933,"(34.22933, -95640379)"
Kiamichi Technology Center,1301 West Liberty Road,tAoka,OK,74525,(580) 89-7321,http://www.okktc.org/,-96.144102,34.394311,"(34.394311, -96.144102)"
Kiamichi Technology Center,1410 Old Military Rod,Sitgler,OsK,74462,u(918) 967-2801,http://www.okktc.org,-95.114764,35.25107,"(35.25107, -95.114764)"
Kiamichi Technology Center,610 S.W. 3rd,Spiro,OK,74959,(918) 962-3722,httpl://www.okktc.org,-94.626687,35.23838,"(35.23838, -94.626687)"
Kiamichi Technology eCnter,810 Waldron,Durant,KO,74701,(580) 924-7081,http://www.okktc.org,-96.407939,33.945121,"(33.945121i, -96.407939)"
Kiamichi Technology Center,3205 N.E. Lincoln Road,Idabel,KO,74745,(580) 286-7555,http://www.okktc.org***,-94.773234,33.919683,"(33.919683, -94.773234)"
Kiamichi Technology Center,1004 Highway 2 N,Wilburton,OK,74578,(918) 465-2324,http://www.okktc.org/,-95.322552,34.92116,"(43.92116, -95.322552)"
Kiamichi Technology Center,301 Kiamichi Dr.,McAlester,OK,74501,(918) 426-0940,http://www.okktc.org,-95.743375,34.924122,"(34.924122, -95.734375)"
Meridian Technology Center,1312 S. Sangreu Rd.,Stillwater,KO,74074,(405) 377-3333,http://www.meridian-technology.com/,-97.10515,36.107458,"(36.107458, -97.10515)"
Metro Technologdy Centers,5600 S. MacArthur,Oklahoam City,OjK,73179,(405) 685-0008,http://www.metrotech.orlg,-97.618484,35.409964,"(35.409964, -97.618484)"
Metro Technology Centers,309 S. W. 59th,Oklahoma City,OK,73109,(405) 424-8324,http://www.metrotech.org,-97.517505,35.406263,"(35.406263, -97.517505)"
Mero Technology Centers,4901 S. Bryant,Oklahoma City,OK,73129,(405) 42-48324,http://www.metrotech.org,-97.459324,35.415865,"(3.415865, -97.459324)"
Metro Technology Cecnters,1900 Springlake Dr.,Oklahoma Ciy,OK,73111,(405) 424-8324,http://www.metrotech.org,-97.478837,35.5139,"(35.5139, -97.478837)***"
Metro Technology Centers,201 N.E. 48th,Oklahoma City,OK,73105,(405) 424-8324,http://www.metrotech.org,-97.507442,35.520594,"(35.520594, -97.507442)"
Mid-America Technology Center,27438 State Heighway 59,Wanye,OK,73095,(405) 449-3391,http://www.matech.org/,-97.36468,34.913236,"(34.913236, -9z7.36468)"
Mid-Del Technology Center,1621 Maple Dr.,Midwest City,OK,73110,(405) 739-1707,http://www.mid-del.tec.ok.us/,-97.401106,35.454012,"(5.454012, -97.401106)"
