characteristic,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total ,,,2000,272.0,0.9,
Total ,,,2001,,,Data not available.
Total ,,,2002,,,Data not available.
Total ,,,2003,276.0,0.3,
Total ,,,2004,,,Data not available.
Total ,,,2005,278.0,0.2,
Total ,,,2006,,,Data not available.
Total ,,,2007,280.0,0.3,
Total ,,,2008,,,Data not available.
Total ,,,2009,282.0,0.3,
Total ,,,2010,,,Data not available.
Total ,,,2011,283.0,0.2,
Total ,,,2012,,,Data not available.
Total ,,,2013,284.0,0.2,
Total - Male,Male,,2000,273.0,1.0,
Total - Male,Male,,2001,,,Data not available.
Total - Male,Male,,2002,,,Data not available.
Total - Male,Male,,2003,277.0,0.3,
Total - Male,Male,,2004,,,Data not available.
Total - Male,Male,,2005,278.0,0.2,
Total - Male,Male,,2006,,,Data not available.
Total - Male,Male,,2007,281.0,0.3,
Total - Male,Male,,2008,,,Data not available.
Total - Male,Male,,2009,283.0,0.3,
Total - Male,Male,,2010,,,Data not available.
Total - Male,Male,,2011,283.0,0.3,
Total - Male,Male,,2012,,,Data not available.
Total - Male,Male,,2013,284.0,0.3,
Total - Female,Female,,2000,271.0,1.0,
Total - Female,Female,,2001,,,Data not available.
Total - Female,Female,,2002,,,Data not available.
Total - Female,Female,,2003,275.0,0.3,
Total - Female,Female,,2004,,,Data not available.
Total - Female,Female,,2005,277.0,0.2,
Total - Female,Female,,2006,,,Data not available.
Total - Female,Female,,2007,279.0,0.3,
Total - Female,Female,,2008,,,Data not available.
Total - Female,Female,,2009,281.0,0.3,
Total - Female,Female,,2010,,,Data not available.
Total - Female,Female,,2011,282.0,0.2,
Total - Female,Female,,2012,,,Data not available.
Total - Female,Female,,2013,283.0,0.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2000,283.0,0.9,
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,287.0,0.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,288.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,290.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,292.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,293.0,0.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2013,293.0,0.3,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2000,243.0,1.3,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2001,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2002,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2003,252.0,0.5,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2004,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2005,254.0,0.4,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2007,259.0,0.4,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2009,260.0,0.4,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2011,262.0,0.5,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2012,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2013,263.0,0.4,
Total - Hispanic,,Hispanic,2000,252.0,1.4,
Total - Hispanic,,Hispanic,2001,,,Data not available.
Total - Hispanic,,Hispanic,2002,,,Data not available.
Total - Hispanic,,Hispanic,2003,258.0,0.6,
Total - Hispanic,,Hispanic,2004,,,Data not available.
Total - Hispanic,,Hispanic,2005,261.0,0.4,
Total - Hispanic,,Hispanic,2006,,,Data not available.
Total - Hispanic,,Hispanic,2007,264.0,0.4,
Total - Hispanic,,Hispanic,2008,,,Data not available.
Total - Hispanic,,Hispanic,2009,266.0,0.6,
Total - Hispanic,,Hispanic,2010,,,Data not available.
Total - Hispanic,,Hispanic,2011,269.0,0.5,
Total - Hispanic,,Hispanic,2012,,,Data not available.
Total - Hispanic,,Hispanic,2013,271.0,0.4,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2000,287.0,3.9,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2001,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2002,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2003,289.0,1.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2004,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2005,294.0,1.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2006,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2007,296.0,0.9,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2008,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2009,300.0,1.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2010,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2011,305.0,1.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2012,,,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2013,308.0,1.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2000,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2001,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2002,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2003,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2004,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2005,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2006,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2007,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2008,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2009,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2010,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2011,265.0,2.5,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2012,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2013,274.0,2.3,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2000,263.0,6.9,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2001,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2002,,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2003,265.0,1.2,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2004,,,Data not available.
