43.county,Tularle,Tulare
35.county,Oraneg,Orange
8.hai,"Healthcarwe Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
6.facilityid,3.0000129E7,930000013
29.county,Riverisde,Riverside
10.facilityid,9.30000014E8,60000008
42.facilityname,Palomar Health Downown Campus,Palomar Health Downtown Campus
24.facilityname,"Knidred Hospital, Baldwin Park","Kindred Hospital, Baldwin Park"
25.notes,oN surgeries in the 28 surgical procedure categories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
50.notes,No surgeries in the 28 surgical procdure categories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
10.county,Otrange,Orange
8.facilityid,9.30000031E8,60001207
51.county,Hpumboldt,Humboldt
12.facilityid,1.20000413E8,230000405
26.county,Los Angles,Los Angeles
8.statevalue,Caifornia,California
11.facilityid,9.30000031E8,230000004
23.notes,No surgeries in the 28 surgical procedure categories were performed in 2016u.,No surgeries in the 28 surgical procedure categories were performed in 2016.
5.facilityid,1.20000413E8,930000020
56.county,Scaramento,Sacramento
2.facilityid,9.30000031E8,240001218
22.facilityname,Kentield Hospital,Kentfield Hospital
14.facilityid,1.20000413E8,170001767
43.statevalue,Californa,California
15.statevalue,Califonria,California
23.county,San Francsco,San Francisco
53.county,Trionity,Trinity
7.statevalue,Californa,California
28.county,San Buernardino,San Bernardino
42.yearvalue,1881,2017
9.facilityid,3.0000129E7,40000096
25.facilityname,"Kindred Hosupital, Brea","Kindred Hospital, Brea"
52.county,San Berlnardino,San Bernardino
35.statevalue,Cailfornia,California
19.statevalue,Clifornia,California
4.notes,No surageries in the 28 surgical procedure categories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
13.facilityid,1.20000413E8,140000184
33.hai,"Healthcare Associated Infection, Surgical Site Infections f(SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
53.facilityname,Trinity Hospitl,Trinity Hospital
54.yearvalue,1858,2017
52.statevalue,Californiwa,California
