Citing Patent,Filing date,Publication date,Applicant,Title
US5016633 *,"Aug 8, 1989","May 21, 1991",Chow Alan Y,Artificial retina device
US5024223 *,"Jul 6, 1990","Jun 18, 1991",Chow Alan Y,Artificial retina device
US5109844 *,"Oct 11, 1990","May 5, 1992",Duke University,Retinal microstimulation
US5159927 *,"Apr 5, 1991","Nov 3, 1992",Ferdinand Schmid,Visual prosthesis apparatus and method
US5178161 *,"Mar 19, 1991","Jan 12, 1993",The Board Of Trustees Of The Leland Stanford Junior University,Microelectronic interface
US5193539 *,"Dec 18, 1991","Mar 16, 1993",Alfred E. Mann Foundation For Scientific Research,Implantable microstimulator
US5193540 *,"Dec 18, 1991","Mar 16, 1993",Alfred E. Mann Foundation For Scientific Research,Structure and method of manufacture of an implantable microstimulator
US5314458 *,"May 24, 1993","May 24, 1994",University Of Michigan,Single channel microstimulator
US5324316 *,"Mar 3, 1993","Jun 28, 1994",Alfred E. Mann Foundation For Scientific Research,Implantable microstimulator
US5397350 *,"May 3, 1993","Mar 14, 1995",Chow; Alan Y.,Independent photoelectric artificial retina device and method of using same
US5476494 *,"Apr 28, 1994","Dec 19, 1995",Massachusetts Institute Of Technology,Low pressure neural contact structure
US5556423 *,"Apr 20, 1994","Sep 17, 1996",Alan Y. Chow,Independent photoelectric artificial retina device and method of using same
US5575813 *,"Apr 28, 1995","Nov 19, 1996",Massachusetts Institute Of Technology,Low-pressure neural contact structure
US5597381 *,"Jun 3, 1993","Jan 28, 1997",Massachusetts Eye And Ear Infirmary,Methods for epi-retinal implantation
US5836996 *,"Dec 30, 1996","Nov 17, 1998",Doorish; John F.,Artificial retina
US5865839 *,"May 19, 1997","Feb 2, 1999",Doorish; John F.,Artificial retina
US5873901 *,"Jun 27, 1996","Feb 23, 1999",Space Vacuum Epitaxy Center University Of Houston,Treating retinal damage by implanting thin film optical detectors
US5895415 *,"Jun 6, 1995","Apr 20, 1999",Optobionics Corporation,Multi-phasic microphotodiode retinal implant and adaptive imaging retinal stimulation system
US5935155 *,"Mar 13, 1998","Aug 10, 1999","John Hopkins University, School Of Medicine",Visual prosthesis and method of using same
US5944747 *,"Mar 13, 1998","Aug 31, 1999",Johns Hopkins University,Method for preferential outer retinal stimulation
US6007477 *,"Feb 12, 1998","Dec 28, 1999",Demenezes; Jose E.,Eye treatment device
US6230057,"Mar 26, 1998","May 8, 2001",Optobionics Corporation,Multi-phasic microphotodiode retinal implant and adaptive imaging retinal stimulation system
US6298270,"Apr 23, 1999","Oct 2, 2001",Eberhard-Karls-Universitat Tubingen Universitatsklinkum,Retina implant
US6324429 *,"May 7, 1999","Nov 27, 2001",Massachusetts Eye And Ear Infirmary,Chronically implantable retinal prosthesis
US6347250 *,"Apr 23, 1999","Feb 12, 2002",Nmi Univ Tuebingen,Optically controllable microelectrode array for stimulating cells within a tissue
US6389317 *,"Mar 31, 2000","May 14, 2002",Optobionics Corporation,Multi-phasic microphotodetector retinal implant with variable voltage and current capability
US6400989,"Feb 20, 1998","Jun 4, 2002",Intelligent Implants Gmbh,Adaptive sensory-motor encoder for visual or acoustic prosthesis
US6427087 *,"May 4, 2000","Jul 30, 2002",Optobionics Corporation,Artificial retina device with stimulating and ground return electrodes disposed on opposite sides of the neuroretina and method of attachment
US6448089,"Oct 12, 1999","Sep 10, 2002",Aurora Biosciences Corporation,Multiwell scanner and scanning method
US6458157 *,"Jul 29, 1998","Oct 1, 2002",Suaning Gregg Joergen,Retinal stimulator
US6507758,"Feb 29, 2000","Jan 14, 2003","Second Sight, Llc",Logarithmic light intensifier for use with photoreceptor-based implanted retinal prosthetics and those prosthetics
US6536440,"Oct 17, 2000","Mar 25, 2003",Sony Corporation,Method and system for generating sensory data onto the human neural cortex
US6584357,"Oct 17, 2000","Jun 24, 2003",Sony Corporation,Method and system for forming an acoustic signal from neural timing difference data
US6586257,"Sep 19, 2000","Jul 1, 2003",Vertex Pharmaceuticals Incorporated,Multiwell scanner and scanning method
US6611716,"Apr 2, 2001","Aug 26, 2003",Optobionics Corporation,Multi-phasic microphotodiode retinal implant and adaptive imaging retinal stimulation system
US6638483,"Jul 31, 2002","Oct 28, 2003",Vertex Pharmaceuticals Incorporated,Multiwell scanner and scanning method
US6686193,"Mar 12, 2001","Feb 3, 2004","Vertex Pharmaceuticals, Inc.",High throughput method and system for screening candidate compounds for activity against target ion channels
