yearvalue,statevalue,hai,county,facilityid,facilityname,notes
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000413.0,Adventist Health Tehachapi Valley,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240001218.0,Ballard Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000014.0,Barlow Respiratory Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000031.0,California Rehabilitation Institute,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000020.0,Casa Colina Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000013.0,Catalina Island Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Stanislaus,30000129.0,Central Valley Specialty Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60001207.0,Children's Hospital at Mission,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Fresno,40000096.0,Coalinga Regional Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60000008.0,College Hospital Costa Mesa,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Plumas,230000004.0,"Eastern Plumas Hospital, Portola Campus",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Butte,230000405.0,Enloe Rehabilitation Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Alameda,140000184.0,Fairmont Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,170001767.0,Fairview Developmental Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Glenn,230000006.0,Glenn Medical Center,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60001674.0,"Healthbridge Children's Hospital, Orange",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Kern,120000555.0,Healthsouth Bakersfield Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Stanislaus,630016419.0,HealthSouth Rehabilitation Hospital of Modesto,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60001097.0,Healthsouth Tustin Rehabilitation Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Humboldt,110000057.0,Jerold Phelps Community Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Mariposa,40000105.0,John C. Fremont Healthcare District,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Marin,110000946.0,Kentfield Hospital,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Francisco,630016625.0,Kentfield Hospital San Francisco,No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000144.0,"Kindred Hospital, Baldwin Park",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Orange,60001360.0,"Kindred Hospital, Brea",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000089.0,"Kindred Hospital, La Mirada",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Los Angeles,930000088.0,"Kindred Hospital, Los Angeles",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",San Bernardino,240000040.0,"Kindred Hospital, Ontario",No surgeries in the 28 surgical procedure categories were performed in 2016.
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",Riverside,250000004.0,"Kindred Hospital, Riverside",No surgeries in the 28 surgical procedure categories were performed in 2016.
