X,Y,OBJECTID,DATECOLL,LOCATION,LATD,LATM,LOND,LONM,DENSITY,DEPTHM,TIMECOLL,COMMENTS,SEAWEED,PLOT_LOC,YR
1187020.06005456,729420.156952471,1,06/16/95,STODDARD ST PK RR TRAX N,41,27.65099906,72,4.06099987,A,1.29999995,2:25,SPARSE RUPPIA  GRAVEL/COBBLES  SALINITY 10%o,ABSENT,A,95
1186914.38408481,728571.472954303,2,06/16/95,STODDARD ST PK RR TRAX S,41,27.51099967,72,4.09600019,A,1.29999995,2:20,SPARSE RUPPIA  GRAVEL/COBBLES  SALINITY 10%o,ABSENT,A,95
1182803.87590164,727222.368040979,3,06/16/95,W BANK N OF HORTON COVE,41,27.29500007,72,5.01599979,A,0.60000002,2:04, MUD  SALINITY 15%o,ULVA,O,95
1179414.60315263,721450.985882983,4,06/16/95,ENTRANCE HORTON COVE (N),41,26.34799957,72,5.59899997,A,1.29999995,1:53,SAND/GRAVEL,ABSENT,A,95
1180690.22789797,715662.743850559,5,06/16/95,E BANK OPP POWER PLANTS,41,25.39399909,72,5.47800016,A,1.60000002,1:50,SALT MARSH GRAVEL/SAND,ENTE,A,95
1178573.16290639,707217.047159314,6,06/16/95,SMITH COVE NEAR RR TRAX,41,24.00600051,72,5.9749999,A,1.29999995,1:40,SHELL FRAGMENTS/GRAVEL  SALINITY 22%o,ULVA,O,95
1178750.27705348,702893.332053483,7,06/16/95,MAMACOKE COVE,41,23.36100006,72,5.94399976,A,1.29999995,1:21,SOFT SILT  SALINITY 22%o,"GRAC,ULVA",A,95
1182391.4088788,695300.308853731,8,06/16/95,NEAR I95 N OF BOAT RAMP,41,22.03899955,72,5.15999984,A,0, , ,ABSENT,O,95
1152843.36790939,695208.582003057,9,07/19/94,NIANTIC RIVER,41,22.05999946,72,11.57999992,A,0, , NEAR RTE. 1 AND OSWEGATCHIE RD.,ABSENT,A,94
1152747.49408539,695176.831082314,10,07/19/94,NIANTIC RIVER,41,22.0550003,72,11.60099983,A,0, , NEAR RTE. 1 AND OSWEGATCHIE RD.,ABSENT,A,94
1152738.68111089,695153.048977643,11,07/19/94,NIANTIC RIVER,41,22.05100059,72,11.60299968,L,0, ,NEAR RTE. 1 AND OSWEGATCHIE RD,POLY,A,94
1152807.99298014,695147.565064728,12,07/19/94,NIANTIC RIVER,41,22.04999923,72,11.58800029,L,0, , OSWEGATCHIE RD. AREA,ABSENT,A,94
1152822.18094389,695136.690086484,13,07/19/94,NIANTIC RIVER,41,22.04800033,72,11.58399963,L,0, , OSWEGATCHIE RD. AREA,ABSENT,A,94
