Start_Date,End_Date,Timeliness,Courtesy,Communication,Caring,Ease_of_Use,Issue_Resolved,ObjectId
2018/11/29 20:11:00+00,2018/11/29 20:15:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1
2018/11/27 20:18:00+00,2018/11/27 20:19:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2
2018/11/17 01:16:00+00,2018/11/17 01:16:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3
2018/11/16 20:41:00+00,2018/11/16 20:43:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,4
2018/11/16 20:06:00+00,2018/11/16 20:11:00+00,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,5
2018/11/16 20:05:00+00,2018/11/16 20:06:00+00,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,6
2018/11/13 23:09:00+00,2018/11/13 23:10:00+00,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,7
2018/11/13 23:07:00+00,2018/11/13 23:08:00+00,Disagree,Disagree,Agree,Disagree,Agree,Disagree,8
2018/11/13 23:05:00+00,2018/11/13 23:07:00+00,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,9
2018/11/13 18:24:00+00,2018/11/13 18:25:00+00,Agree,Strongly agree,Agree,Agree,Agree,Agree,10
2018/11/13 16:01:00+00,2018/11/13 16:10:00+00,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,11
2018/11/12 22:31:00+00,2018/11/12 22:32:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,12
2018/11/11 15:16:00+00,2018/11/11 15:17:00+00,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,13
2018/11/11 15:14:00+00,2018/11/11 15:15:00+00,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,14
2018/11/11 03:19:00+00,2018/11/11 03:21:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,15
2018/11/11 03:18:00+00,2018/11/11 03:19:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,16
2018/11/11 02:59:00+00,2018/11/11 03:00:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,17
2018/11/09 18:41:00+00,2018/11/09 18:42:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,18
2018/11/09 18:39:00+00,2018/11/09 18:40:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,19
2018/11/09 18:39:00+00,2018/11/09 18:39:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,20
2018/11/09 18:37:00+00,2018/11/09 18:38:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,21
2018/11/09 01:25:00+00,2018/11/09 01:25:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,22
2018/11/09 00:49:00+00,2018/11/09 00:50:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,23
2018/11/08 21:15:00+00,2018/11/08 21:18:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,24
2018/11/08 20:17:00+00,2018/11/08 20:18:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,25
2018/11/08 19:20:00+00,2018/11/08 19:21:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,26
2018/11/08 17:26:00+00,2018/11/08 17:27:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,27
2018/11/08 17:25:00+00,2018/11/08 17:26:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,28
2018/11/08 17:24:00+00,2018/11/08 17:25:00+00,Agree,Strongly agree,Agree,Agree,Agree,Agree,29
2018/11/08 16:49:00+00,2018/11/08 16:50:00+00,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,30
2018/11/08 00:31:00+00,2018/11/08 00:35:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,31
2018/11/08 00:28:00+00,2018/11/08 00:28:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,32
2018/11/08 00:17:00+00,2018/11/08 00:27:00+00,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,33
