characteristic,sex,raceethnicity,year,earnings,standard_erroron_earnings,noteon_earnings,countinthousands,standard_erroron_countinthousands,noteon_count
Total ,,,2000,21330.0,439.0,,1914.0,67.0,
Total ,,,2001,20880.0,387.0,,1899.0,55.0,
Total ,,,2002,21700.0,392.0,,2028.0,56.0,
Total ,,,2003,19970.0,423.0,,1858.0,54.0,
Total ,,,2004,20580.0,663.0,,2017.0,67.0,
Total ,,,2005,19540.0,943.0,,2145.0,70.0,
Total ,,,2006,20720.0,875.0,,2077.0,76.0,
Total ,,,2007,21030.0,1284.0,,2049.0,70.0,
Total ,,,2008,20220.0,1199.0,,1972.0,63.0,
Total ,,,2009,17300.0,845.0,,1912.0,67.0,
Total ,,,2010,15710.0,746.0,,2005.0,72.0,
Total ,,,2011,15300.0,7.0,,2136.0,74.0,
Total ,,,2012,15640.0,780.0,,2252.0,70.0,
Total - Male,Male,,2000,24350.0,829.0,,922.0,47.0,
Total - Male,Male,,2001,23340.0,826.0,,920.0,38.0,
Total - Male,Male,,2002,24660.0,732.0,,1080.0,41.0,
Total - Male,Male,,2003,22470.0,936.0,,1008.0,40.0,
Total - Male,Male,,2004,21970.0,1611.0,,1020.0,49.0,
Total - Male,Male,,2005,21350.0,1476.0,,1158.0,48.0,
Total - Male,Male,,2006,22750.0,476.0,,1150.0,55.0,
Total - Male,Male,,2007,22130.0,829.0,,1059.0,48.0,
Total - Male,Male,,2008,21150.0,290.0,,1026.0,47.0,
Total - Male,Male,,2009,18850.0,1559.0,,931.0,48.0,
Total - Male,Male,,2010,16700.0,1025.0,,1078.0,55.0,
Total - Male,Male,,2011,16850.0,981.0,,1101.0,50.0,
Total - Male,Male,,2012,16550.0,1008.0,,1188.0,50.0,
Total - Female,Female,,2000,20000.0,434.0,,992.0,48.0,
Total - Female,Female,,2001,19450.0,505.0,,979.0,39.0,
Total - Female,Female,,2002,19150.0,604.0,,947.0,39.0,
Total - Female,Female,,2003,18720.0,639.0,,850.0,37.0,
Total - Female,Female,,2004,19010.0,1358.0,,997.0,44.0,
Total - Female,Female,,2005,17620.0,611.0,,987.0,46.0,
Total - Female,Female,,2006,17900.0,986.0,,927.0,45.0,
Total - Female,Female,,2007,19370.0,1504.0,,990.0,47.0,
Total - Female,Female,,2008,17010.0,997.0,,946.0,41.0,
Total - Female,Female,,2009,16910.0,763.0,,981.0,47.0,
Total - Female,Female,,2010,14240.0,971.0,,927.0,42.0,
Total - Female,Female,,2011,13430.0,853.0,,1035.0,50.0,
Total - Female,Female,,2012,14840.0,452.0,,1064.0,52.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2000,22520.0,575.0,,1252.0,54.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,21250.0,481.0,,1219.0,44.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,21700.0,551.0,,1369.0,46.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,21220.0,491.0,,1254.0,44.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,20620.0,1219.0,,1338.0,54.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,19930.0,702.0,,1401.0,58.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,22660.0,1512.0,,1359.0,64.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,22140.0,597.0,,1321.0,61.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,20320.0,1211.0,,1260.0,55.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,17120.0,912.0,,1248.0,57.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,15750.0,569.0,,1241.0,57.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,15300.0,73.0,,1282.0,60.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,15940.0,964.0,,1301.0,56.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2000,20000.0,1099.0,,259.0,29.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2001,19450.0,1525.0,,306.0,32.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2002,21440.0,1468.0,,290.0,31.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2003,16500.0,2079.0,,234.0,28.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2004,18340.0,992.0,,290.0,25.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2005,17480.0,2077.0,,326.0,28.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2006,17880.0,1054.0,,268.0,26.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2007,19810.0,816.0,,302.0,24.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2008,18890.0,2164.0,,280.0,24.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2009,18170.0,1441.0,,242.0,24.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2010,13760.0,1723.0,,293.0,26.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2011,13750.0,1307.0,,346.0,29.0,
