characteristic,sex,raceethnicity,year,earnings,standard_erroron_earnings,noteon_earnings,countinthousands,standard_erroron_countinthousands,noteon_count
Total ,NULL,NULL,2000,21330.0,439.0,NULL,1914.0,67.0,NULL
Total ,NULL,NULL,2001,20880.0,387.0,NULL,1899.0,55.0,NULL
Total ,NULL,NULL,2002,21700.0,392.0,NULL,2028.0,56.0,NULL
Total ,NULL,NULL,2003,19970.0,423.0,NULL,1858.0,54.0,NULL
Total ,NULL,NULL,2004,20580.0,663.0,NULL,2017.0,67.0,NULL
Total ,NULL,NULL,2005,19540.0,943.0,NULL,2145.0,70.0,NULL
Total ,NULL,NULL,2006,20720.0,875.0,NULL,2077.0,76.0,NULL
Total ,NULL,NULL,2007,21030.0,1284.0,NULL,2049.0,70.0,NULL
Total ,NULL,NULL,2008,20220.0,1199.0,NULL,1972.0,63.0,NULL
Total ,NULL,NULL,2009,17300.0,845.0,NULL,1912.0,67.0,NULL
Total ,NULL,NULL,2010,15710.0,746.0,NULL,2005.0,72.0,NULL
Total ,NULL,NULL,2011,15300.0,7.0,NULL,2136.0,74.0,NULL
Total ,NULL,NULL,2012,15640.0,780.0,NULL,2252.0,70.0,NULL
Total - Male,Male,NULL,2000,24350.0,829.0,NULL,922.0,47.0,NULL
Total - Male,Male,NULL,2001,23340.0,826.0,NULL,920.0,38.0,NULL
Total - Male,Male,NULL,2002,24660.0,732.0,NULL,1080.0,41.0,NULL
Total - Male,Male,NULL,2003,22470.0,936.0,NULL,1008.0,40.0,NULL
Total - Male,Male,NULL,2004,21970.0,1611.0,NULL,1020.0,49.0,NULL
Total - Male,Male,NULL,2005,21350.0,1476.0,NULL,1158.0,48.0,NULL
Total - Male,Male,NULL,2006,22750.0,476.0,NULL,1150.0,55.0,NULL
Total - Male,Male,NULL,2007,22130.0,829.0,NULL,1059.0,48.0,NULL
Total - Male,Male,NULL,2008,21150.0,290.0,NULL,1026.0,47.0,NULL
Total - Male,Male,NULL,2009,18850.0,1559.0,NULL,931.0,48.0,NULL
Total - Male,Male,NULL,2010,16700.0,1025.0,NULL,1078.0,55.0,NULL
Total - Male,Male,NULL,2011,16850.0,981.0,NULL,1101.0,50.0,NULL
Total - Male,Male,NULL,2012,16550.0,1008.0,NULL,1188.0,50.0,NULL
Total - Female,Female,NULL,2000,20000.0,434.0,NULL,992.0,48.0,NULL
Total - Female,Female,NULL,2001,19450.0,505.0,NULL,979.0,39.0,NULL
Total - Female,Female,NULL,2002,19150.0,604.0,NULL,947.0,39.0,NULL
Total - Female,Femael,NULL,2003,18720.0,639.0,NULL,850.0,37.0,NULL
Total - Female,Fmale,NULL,2004,19010.0,1358.0,NULL,997.0,44.0,NULL
Total - Female,Fqemale,NULL,2005,17620.0,611.0,NULL,987.0,46.0,NULL
Total - Female,Female,NULL,2006,17900.0,986.0,NULL,927.0,45.0,NULL
Total - Female,Female,NULL,2007,19370.0,1504.0,NULL,990.0,47.0,NULL
Total - Female,Female,NULL,2008,17010.0,997.0,NULL,946.0,41.0,NULL
Total - Female,Female,NULL,2009,16910.0,763.0,NULL,981.0,47.0,NULL
Total - Female,Female,NULL,2010,14240.0,971.0,NULL,927.0,42.0,NULL
Total - Female,Female,NULL,2011,13430.0,853.0,NULL,1035.0,50.0,NULL
Total - Female,Female,NULL,2012,14840.0,452.0,NULL,1064.0,52.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2000,22520.0,575.0,NULL,1252.0,54.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2001,21250.0,481.0,NULL,1219.0,44.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2002,21700.0,551.0,NULL,1369.0,46.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2003,21220.0,491.0,NULL,1254.0,44.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2004,20620.0,1219.0,NULL,1338.0,54.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2005,19930.0,702.0,NULL,1401.0,58.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2006,22660.0,1512.0,NULL,1359.0,64.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2007,22140.0,597.0,NULL,1321.0,61.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2008,20320.0,1211.0,NULL,1260.0,55.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2009,17120.0,912.0,NULL,1248.0,57.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2010,15750.0,569.0,NULL,1241.0,57.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2011,15300.0,73.0,NULL,1282.0,60.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2012,15940.0,964.0,NULL,1301.0,56.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2000,20000.0,1099.0,NULL,259.0,29.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2001,19450.0,1525.0,NULL,306.0,32.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2002,21440.0,1468.0,NULL,290.0,31.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2003,16500.0,2079.0,NULL,234.0,28.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2004,18340.0,992.0,NULL,290.0,25.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2005,17480.0,2077.0,NULL,326.0,28.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2006,17880.0,1054.0,NULL,268.0,26.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2007,19810.0,816.0,NULL,302.0,24.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2008,18890.0,2164.0,NULL,280.0,24.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2009,18170.0,1441.0,NULL,242.0,24.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2010,13760.0,1723.0,NULL,293.0,26.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2011,13750.0,1307.0,NULL,346.0,29.0,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2012,13920.0,1366.0,NULL,392.0,29.0,NULL
Total - Hispanic,NULL,Hispanic,2000,20000.0,1298.0,NULL,298.0,31.0,NULL
Total - Hispanic,NULL,Hispanic,2001,23340.0,1604.0,NULL,283.0,30.0,NULL
Total - Hispanic,NULL,Hispanic,2002,21700.0,804.0,NULL,249.0,28.0,NULL
Total - Hispanic,NULL,Hispanic,2003,19970.0,1033.0,NULL,282.0,30.0,NULL
Total - Hispanic,NULL,Hispanic,2004,19160.0,1338.0,NULL,268.0,24.0,NULL
Total - Hispanic,NULL,Hispanic,2005,17630.0,1150.0,NULL,313.0,25.0,NULL
Total - Hispanic,NULL,Hispanic,2006,21550.0,1163.0,NULL,328.0,26.0,NULL
Total - Hispanic,NULL,Hispanic,2007,21890.0,1024.0,NULL,309.0,22.0,NULL
Total - Hispanic,NULL,Hispanic,2008,20250.0,1333.0,NULL,320.0,25.0,NULL
Total - Hispanic,NULL,Hispanic,2009,18140.0,1660.0,NULL,328.0,22.0,NULL
Total - Hispanic,NULL,Hispanic,2010,15330.0,869.0,NULL,362.0,28.0,NULL
Total - Hispanic,NULL,Hispanic,2011,17750.0,1979.0,NULL,374.0,25.0,NULL
Total - Hispanic,NULL,Hispanic,2012,16840.0,1388.0,NULL,415.0,28.0,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2000,20450.0,2329.0,NULL,75.0,14.0,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2001,23080.0,2288.0,NULL,81.0,15.0,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2002,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2003,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2004,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2005,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2006,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2007,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2008,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2009,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2010,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2011,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
