27.date,04/21/2020 10:00:00 AM,04/22/2020 10:00:00 AM
3.date,04/01/2020 10:00:00 AM,03/29/2020 10:00:00 AM
29.date,04/01/2020 10:00:00 AM,04/24/2020 10:00:00 AM
12.objectid,7,12
13.objectid,6,13
17.objectid,2,17
1.date,04/01/2020 10:00:00 AM,03/27/2020 10:00:00 AM
24.objectid,6,24
22.objectid,5,22
25.date,03/30/2020 10:00:00 AM,04/20/2020 10:00:00 AM
12.date,04/06/2020 10:00:00 AM,04/07/2020 10:00:00 AM
19.objectid,5,19
7.date,03/30/2020 10:00:00 AM,04/02/2020 10:00:00 AM
14.objectid,2,14
10.objectid,2,10
28.date,04/04/2020 10:00:00 AM,04/23/2020 10:00:00 AM
