31.blmorgcd,RON02,ORN02
8.globalid,{D0AE3F92-9F14-4F78-8148-ADB3C1d0CB5AB},{D0AE3F92-9F14-4F78-8148-ADB3C10CB5AB}
13.mngdunitcd,ORV040g00,ORV04000
7.blmorgtype,Fied,Field
26.admunitcd,ORB00000***,ORB00000
16.blmorgtype,ield,Field
10.admuname,PRINEVILLE DESCHUTES FIELD OFFIE,PRINEVILLE DESCHUTES FIELD OFFICE
28.blmorgtype,Disctrict,District
16.admunitcd,OC04000,ORC04000
9.blmorgtype,Satte,State
7.admuname,PRINEVILLE CENTRAL OREGON FIELD OFFIE,PRINEVILLE CENTRAL OREGON FIELD OFFICE
12.mngdunitcd,ORR0500,ORR05000
6.admulabel,eSpokane,Spokane
24.admuname,PRINEVILLE DISTRCT OFFICE,PRINEVILLE DISTRICT OFFICE
13.admulabel,Malehur,Malheur
24.admunitcd,ORP0000,ORP00000
12.admulabel,Sout hRiver,South River
2.blmorgcd,ORL50,ORL05
17.coordsrc,NUK,UNK
17.admunitcd,ORB5000,ORB05000
21.coordsrc,UNuK,UNK
3.admunitcd,ORM00000***,ORM00000
9.globalid,{849F6802-BEFF-4043-A378b-B6EC91C73CD1},{849F6802-BEFF-4043-A378-B6EC91C73CD1}
3.blmorgtype,Ditrict,District
27.blmorgtype,Fiedl,Field
1.globalid,{DDC4C665-8F3E-4335-82A5-C53209239C62},{DDC4C665-8F3E-4335-82A5-C53209329C62}
2.apprvdt,9999/09c/09 00:00:00+00,9999/09/09 00:00:00+00
4.apprvdt,9999/09/09 0z0:00:00+00,9999/09/09 00:00:00+00
28.admunitcd,ONR00000,ORN00000
17.blmorgtype,Fineld,Field
31.globalid,{CA3988C5-7D9D-4DAE-ACF8-064E43D2458},{CA3988C5-7D9D-4DAE-ACF8-064E243D2458}
22.effdt,9999/09/09 0:00:00+00,9999/09/09 00:00:00+00
5.blmorgcd,OMR05,ORM05
27.coordsrc,cUNK,UNK
30.admunitcd,ON04000,ORN04000
23.blmorgtype,Feld,Field
15.admuname,VALE DISTICT OFFICE,VALE DISTRICT OFFICE
2.blmorgtype,Fiesld,Field
17.admulabel,Three Rviers,Three Rivers
22.coordsrc,UuNK,UNK
30.effdt,2016/10/02 00:0:00+00,2016/10/02 00:00:00+00
32.apprvdt,2016/02/1 100:00:00+00,2016/02/11 00:00:00+00
14.admuname,LoAKEVIEW DISTRICT OFFICE,LAKEVIEW DISTRICT OFFICE
14.globalid,{0922C25F-2CB6-41B1-A3E7-D2333756439}9,{0922C25F-2CB6-41B1-A3E7-D23337564399}
7.admunitcd,OP04000,ORP04000
26.mngdunitcd,ORnB00000,ORB00000
8.admuname,MDFORD GRANTS PASS FIELD OFFICE,MEDFORD GRANTS PASS FIELD OFFICE
29.effdt,2016d/10/02 00:00:00+00,2016/10/02 00:00:00+00
22.apprvdt,999a9/09/09 00:00:00+00,9999/09/09 00:00:00+00
32.globalid,{F1209976-0E08-47CB-9799-1C221B860B9},{F1209976-0E08-47CB-9799-1C221BC860B9}
21.globalid,{198C6EB75-1D9-45E4-B8CC-E8A74D89D792},{198C6EB7-51D9-45E4-B8CC-E8A74D89D792}
23.mngdunitcd,ORC0300g0,ORC03000
3.mngdunitcd,ORM00000***,ORM00000
8.effdt,9999/09/0s9 00:00:00+00,9999/09/09 00:00:00+00
20.mngdunitcd,OR00000,ORC00000
30.mngdunitcd,ORN0400,ORN04000
19.globalid,{326EC20E-ADF-4E8A-A3A2-939CA63FAA23},{326EC20E-FADF-4E8A-A3A2-939CA63FAA23}
23.admulabel,Upqua,Umpqua
22.admulabel,Klamath Flls,Klamath Falls
15.apprvdt,999/09/09 00:00:00+00,9999/09/09 00:00:00+00
5.admuname,MEDFORD BUTTE FALL SFIELD OFFICE,MEDFORD BUTTE FALLS FIELD OFFICE
4.globalid,{E3E5D49-D077-460C-93F5-1B84DBF61089},{E3E5BD49-D077-460C-93F5-1B84DBF61089}
32.admuname,NW OREGON CASCADESy FIELD OFFICE,NW OREGON CASCADES FIELD OFFICE
6.admunitcd,uORW00000,ORW00000
8.mngdunitcd,ORM0700j0,ORM07000
