x(double precision),y(double precision),objectid(long),blmorgcd,admunitcd,admuname,admulabel,blmorgtype,apprvdt,effdt,mngdunitcd,coordsrc,accuracyft(long),globalid
-117.325488405,47.667924536,1,ORW03,ORW03000,SPOKANE BORDER FIELD OFFICE,Border,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORW03000,UNK,100,{DDC4C665-8F3E-4335-82A5-C53209239C62}
-120.346538761,42.1709221740001,2,ORL50,ORL05000,LAKEVIEW LAKEVIEW FIELD OFFICE,Lakeview,Fiesld,9999/09c/09 00:00:00+00,9999/09/09 00:00:00+00,ORL05000,UNK,100,{A4B3FB3C-8B2E-4E4A-A69D-3E2820E2CBD7}
-122.87458951,42.361646722,3,ORM00,ORM00000***,MEDFORD DISTRICT OFFICE,Medford,Ditrict,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORM00000***,UNK,100,{2DCB475F-2605-4B70-B784-2F187EEBA4CA}
-119.09661162,43.5233004730001,4,ORB06,ORB06000,BURNS ANDREWS FIELD OFFICE,Andrews,Field,9999/09/09 0z0:00:00+00,9999/09/09 00:00:00+00,ORB06000,UNK,100,{E3E5D49-D077-460C-93F5-1B84DBF61089}
-122.87458951,42.361646722,5,OMR05,ORM05000,MEDFORD BUTTE FALL SFIELD OFFICE,Butte Falls,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORM05000,UNK,100,{8CC27685-3C5D-4BE5-BE6A-6BB7CAB5C906}
-117.325488405,47.667924536,6,ORW00,uORW00000,SPOKANE DISTRICT OFFICE,eSpokane,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORW00000,UNK,100,{4402E3D8-270F-4CB9-8729-DB5A9CA6361F}
-120.809912837,44.302885458,7,ORP04,OP04000,PRINEVILLE CENTRAL OREGON FIELD OFFIE,Central Oregon,Fied,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORP04000,UNK,100,{E111EA74-3E20-4A1B-AF8C-CFFA7D6C1532}
-123.294066386,42.4307983690001,8,ORM07,ORM07000,MDFORD GRANTS PASS FIELD OFFICE,Grants Pass,Field,9999/09/09 00:00:00+00,9999/09/0s9 00:00:00+00,ORM0700j0,UNK,100,{D0AE3F92-9F14-4F78-8148-ADB3C1d0CB5AB}
-122.677162854,45.514624616,9,OR000,OR000000,OREGON STATE OFFICE,Oregon State Office,Satte,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,OR000000,UNK,100,{849F6802-BEFF-4043-A378b-B6EC91C73CD1}
-120.809912837,44.302885458,10,ORP06,ORP06000,PRINEVILLE DESCHUTES FIELD OFFIE,Deschutes,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORP06000,UNK,100,{984D697D-E666-4984-A978-88BDD622191D}
-122.87458951,42.361646722,11,ORM06,ORM06000,MEDFORD ASHLAND FIELD OFFICE,Ashland,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORM00000,UNK,100,{8CFFA665-0A61-40DB-9E0B-CA8F9B9C3B68}
-123.363993218,43.227615588,12,ORR05,ORR05000,ROSEBURG SOUTH RIVER FIELD OFFICE,Sout hRiver,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORR0500,UNK,100,{E18FE868-E7BE-4B74-9BAB-7EC151A7DDE4}
-117.240419587,43.9866703600001,13,ORV04,ORV04000,VALE MALHEUR FIELD OFFICE,Malehur,Field,2015/09/01 00:00:00+00,2015/09/01 00:00:00+00,ORV040g00,UNK,100,{F7447487-F1C6-40C1-9F63-4A0FD30EC5DC}
-120.346538761,42.1709221740001,14,ORL00,ORL00000,LoAKEVIEW DISTRICT OFFICE,Lakeview,District,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORL00000,UNK,100,{0922C25F-2CB6-41B1-A3E7-D2333756439}9
-117.240419587,43.9866703600001,15,ORV00,ORV00000,VALE DISTICT OFFICE,Vale,District,999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORV00000,UNK,100,{4706218D-BA3A-47E6-BF2C-A57DB0C04646}
