characteristic,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total ,NULL,NULL,2005,149.0,0.6,NULL
Total ,NULL,NULL,2006,NULL,NULL,Data not available.
Total ,NULL,NULL,2007,NULL,NULL,Data not available.
Total ,NULL,NULL,2008,NULL,NULL,Data not available.
Total ,NULL,NULL,2009,152.0,0.8,NULL
Total ,NULL,NULL,2010,NULL,NULL,Data not available.
Total ,NULL,NULL,2011,NULL,NULL,Data not available.
Total ,NULL,NULL,2012,NULL,NULL,Data not available.
Total ,NULL,NULL,2013,152.0,0.5,NULL
Total - Male,Male,NULL,2005,150.0,0.8,NULL
Total - Male,Male,NULL,2006,NULL,NULL,Data not available.
Total - Male,Male,NULL,2007,NULL,NULL,Data not available.
Total - Male,Male,NULL,2008,NULL,NULL,Data not available.
Total - Male,Male,NULL,2009,154.0,0.9,NULL
Total - Male,Male,NULL,2010,NULL,NULL,Data not available.
Total - Male,Male,NULL,2011,NULL,NULL,Data not available.
Total - Male,Male,NULL,2012,NULL,NULL,Data not available.
Total - Male,Male,NULL,2013,154.0,0.6,NULL
Total - Female,Female,NULL,2005,147.0,0.7,NULL
Total - Female,Female,NULL,2006,NULL,NULL,Data not available.
Total - Female,Femaale,NULL,2007,NULL,NULL,Data not available.
Total - Female,Fbemale,NULL,2008,NULL,NULL,Data not available.
Total - Female,Female,NULL,2009,151.0,0.8,NULL
Total - Female,Female,NULL,2010,NULL,NULL,Data not available.
Total - Female,Female,NULL,2011,NULL,NULL,Data not available.
Total - Female,eFmale,NULL,2012,NULL,NULL,Data not available.
Total - Female,Female,NULL,2013,151.0,0.6,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2005,156.0,0.6,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2007,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2009,160.0,0.6,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2011,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2013,161.0,0.6,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2005,126.0,1.1,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2006,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2007,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2008,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2009,131.0,0.8,NULL
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2010,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2011,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2012,NULL,NULL,Data not available.
"Total - Black, non-Hispanic ",NULL,"Black, non-Hispanic ",2013,131.0,0.8,NULL
Total - Hispanic,NULL,Hispanic,2005,132.0,1.3,NULL
Total - Hispanic,NULL,Hispanic,2006,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2007,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2008,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2009,137.0,0.8,NULL
Total - Hispanic,NULL,Hispanic,2010,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2011,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2012,NULL,NULL,Data not available.
Total - Hispanic,NULL,Hispanic,2013,140.0,0.8,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2005,161.0,2.0,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2006,NULL,NULL,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2007,NULL,NULL,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2008,NULL,NULL,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2009,175.0,2.9,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2010,NULL,NULL,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2011,NULL,NULL,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2012,NULL,NULL,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2013,173.0,1.4,Data for 2005 and 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2005,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2007,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2009,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2011,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2012,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2013,149.0,3.1,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2005,134.0,4.0,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2007,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Idnian/Alaska Native, non-Hispanic",2009,145.0,2.9,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"merican Indian/Alaska Native, non-Hispanic",2011,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hsipanic",2012,NULL,NULL,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Nativ,e non-Hispanic",2013,143.0,3.1,NULL
