characteristic,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total ,,,2005,149.0,0.6,
Total ,,,2006,,,Data not available.
Total ,,,2007,,,Data not available.
Total ,,,2008,,,Data not available.
Total ,,,2009,152.0,0.8,
Total ,,,2010,,,Data not available.
Total ,,,2011,,,Data not available.
Total ,,,2012,,,Data not available.
Total ,,,2013,152.0,0.5,
Total - Male,Male,,2005,150.0,0.8,
Total - Male,Male,,2006,,,Data not available.
Total - Male,Male,,2007,,,Data not available.
Total - Male,Male,,2008,,,Data not available.
Total - Male,Male,,2009,154.0,0.9,
Total - Male,Male,,2010,,,Data not available.
Total - Male,Male,,2011,,,Data not available.
Total - Male,Male,,2012,,,Data not available.
Total - Male,Male,,2013,154.0,0.6,
Total - Female,Female,,2005,147.0,0.7,
Total - Female,Female,,2006,,,Data not available.
Total - Female,Female,,2007,,,Data not available.
Total - Female,Female,,2008,,,Data not available.
Total - Female,Female,,2009,151.0,0.8,
Total - Female,Female,,2010,,,Data not available.
Total - Female,Female,,2011,,,Data not available.
Total - Female,Female,,2012,,,Data not available.
Total - Female,Female,,2013,151.0,0.6,
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,156.0,0.6,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,160.0,0.6,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2013,161.0,0.6,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2005,126.0,1.1,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2007,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2009,131.0,0.8,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2011,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2012,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2013,131.0,0.8,
Total - Hispanic,,Hispanic,2005,132.0,1.3,
Total - Hispanic,,Hispanic,2006,,,Data not available.
Total - Hispanic,,Hispanic,2007,,,Data not available.
Total - Hispanic,,Hispanic,2008,,,Data not available.
Total - Hispanic,,Hispanic,2009,137.0,0.8,
Total - Hispanic,,Hispanic,2010,,,Data not available.
Total - Hispanic,,Hispanic,2011,,,Data not available.
Total - Hispanic,,Hispanic,2012,,,Data not available.
Total - Hispanic,,Hispanic,2013,140.0,0.8,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2005,161.0,2.0,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2006,,,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2007,,,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2008,,,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2009,175.0,2.9,Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2010,,,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2011,,,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2012,,,Data not available. Data for 2005 and 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2013,173.0,1.4,Data for 2005 and 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2005,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2006,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2007,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2008,,,Data not available.
