Unnamed: 0,High,Low,precip,Snow,Forecast,Avg. Hi,Avg. Lo
Wed 10/1/2014,24°,15°,0 mm,0 CM,,22°,11°
Thu 10/2/2014,20°,16°,9 mm,0 CM,,22°,10°
Fri 10/3/2014,21°,12°,0 mm,0 CM,,22°,10°
Sat 10/4/2014,23°,12°,0 mm,0 CM,,22°,10°
Sun 10/5/2014,23°,12°,0 mm,0 CM,,22°,10°
Mon 10/6/2014,23°,11°,0 mm,0 CM,,21°,9°
Tue 10/7/2014,23°,12°,0 mm,0 CM,,21°,9°
Wed 10/8/2014,24°,10°,0 mm,0 CM,,21°,9°
Thu 10/9/2014,25°,12°,0 mm,0 CM,,21°,9°
Fri 10/10/2014,26°,13°,0 mm,0 CM,,21°,8°
Sat 10/11/2014,26°,14°,0 mm,0 CM,,20°,8°
Sun 10/12/2014,29°,14°,0 mm,0 CM,,20°,8°
Mon 10/13/2014,22°,10°,0 mm,0 CM,,20°,8°
Tue 10/14/2014,20°,9°,0 mm,0 CM,,20°,7°
Wed 10/15/2014,20°,9°,0 mm,0 CM,,20°,7°
Thu 10/16/2014,18°,8°,0 mm,0 CM,,19°,7°
Fri 10/17/2014,21°,7°,0 mm,0 CM,,19°,6°
Sat 10/18/2014,23°,9°,0 mm,0 CM,,19°,6°
Sun 10/19/2014,23°,11°,0 mm,0 CM,,19°,6°
Mon 10/20/2014,17°,13°,22 mm,0 CM,,18°,6°
Tue 10/21/2014,16°,12°,19 mm,0 CM,,18°,6°
Wed 10/22/2014,19°,9°,0 mm,0 CM,,18°,5°
Thu 10/23/2014,21°,9°,0 mm,0 CM,,17°,5°
Fri 10/24/2014,21°,10°,0 mm,0 CM,,17°,5°
Sat 10/25/2014,22°,13°,0 mm,0 CM,,17°,5°
Sun 10/26/2014,20°,9°,1 mm,0 CM,,17°,4°
Mon 10/27/2014,17°,5°,0 mm,0 CM,,16°,4°
Tue 10/28/2014,19°,3°,0 mm,0 CM,,16°,4°
Wed 10/29/2014,21°,5°,0 mm,0 CM,,16°,4°
Thu 10/30/2014,21°,8°,0 mm,0 CM,,15°,4°
Fri 10/31/2014,18°,13°,0 mm,0 CM,,15°,3°
