OBJECTID,ECRMP_Description,SHAPE_Length,SHAPE_Area
1,Deadmans Hill BCA,21402.564046708,13075457.6228456
2,Rye Slough BCA,13684.9801365324,10368729.1611544
3,Cottonwood BCA,20133.0204628939,16484083.9813987
4,Hammond BCA,30375.386455284,17186228.9911598
5,Mount Mestas BCA,24950.6548770212,15177158.6523082
6,Oak Creek BCA,21851.2057465348,11385880.5608369
7,Red Hill BCA,14239.0656659309,7444549.08709842
8,Silver Mountain BCA,23457.2486289349,8019460.44106499
9,South Huerfano BCA 20170728,59312.2305468855,27624232.0207162
10,Waugh Mountain BCA,45184.4577818924,26709335.3470478
11,Wolf Springs BCA,32790.7567150314,18493375.363031
13,Thirty-one Mile Mountain BCA,49772.1564974577,36026632.0909421
14,Little Crampton Mountain BCA,36601.042310557,-21744017.4044974
15,Reinecker Ridge BCA,107892.68493311,48557911.8231797
16,Cooper Mountain BCA 20191210,64845.8975214025,47775011.5293059
17,Eightmile Mountain BCA,36617.9270982196,27627382.6608533
