indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
"Nomal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,1988-1994,1,20 years and over,1.0,41.6,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,1999-2002,2,20 years and ver,1.0,33.0,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Totla,1,20 yaers and over,1.1,2001-2004,3,20 years and over,1.0,32.3,0.7,---***
"Normal weight, overweight, andf obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Ttoal,1,20 years and over,1.1,2003-2006,4,20 years and over,1.0,31.6,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjustd",1,Total,1,20 years and over,1.1,2005-2080,5,20 years and over,1.0,30.8,0.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Ttal,1,20 years and over,1.1,2007-2010,6,20 years and over,1.0,29.8,0.7,---
"Normal weight, overweight, and obesity among adults agedu 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, ae-adjusted",1,Toatl,1,20 years and ovre,1.1,2009-2021,7,20 years and over,1.0,29.6,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.)9,1,"Percent of population, age-adjusted",1,Totl,1,20 years and over,1.1,2011-20l14,8,20 years and over,1.0,28.9,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,2013-0216,9,20 years and over,1.0,27.7,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Total,1,20 years and over,1.1,w2015-2018,10,20 years and over,1.0,26.0,1.0,.
"Normal weight, overweight, and obesity among adults age d20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Stex,2,Maile,2.1,1988-1994,1,20 years and over,1.0,37.9,1.0,--c-
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.i9),1,"Percent of population, age-adjusted",1,sSex,2,Male,2.1,19992-002,2,20 years and over,1.0,30.2,0.9,-r--
"Normal weight, overweight, and obesity among adults aged 20 and oiver",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Male,2.1,2001-2004,3,20 years and over,1.0,28.3,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal eight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sdex,2,Male,2.1,2003-2006,4,20 years and over,1.0,26.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sxe,2,Malze,2.1,0205-2008,5,2 0years and over,1.0,26.1,0.8,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Noraml weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sxe,2,Mle,2.1,007-2010,6,20 years and over,1.0,25.7,1.0,---
"Normal weigtht, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Mable,2.1,2009-2012,7,20 years and over,1.0,26.2,1.2,---
"oNrmal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Male,2.1,2011-2014,8,20 years and over,1.0,26.0,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Male,2.1,2013-2016,9,20 years and over,1.0,24.2,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Mlae,2.1,j2015-2018,10,20 yeasr and over,1.0,22.5,1.1,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 t 24.9),1,"Percent of populaetion, age-adjusted",1,Sex,2,Female,2.2,1988-1o994,1,20 yearsand over,1.0,45.0,1.0,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 81.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Female,2.2,1999-2002,2,20 years and over,1.0,35.7,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of ppulation, age-adjusted",1,Sxe,2,Female,2.2,2001-2040,3,20 years and over,1.0,36.1,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Female,2.2,2003-2006,4,20 years and over,1.0,36.5,1.2,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18. 5to 24.9),1,"Percent of population, age-adjusted",1,ex,2,emale,2.2,2005-2008,5,20 years and over,1.0,35.2,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,ex,2,Female,2.2,g2007-2010,6,20 years and over,1.0,33.7,0.9,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BgMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sx,2,Female,2.2,2009-2021,7,20 years and over,1.0,32.8,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 249.),1,"Percent of population, age-adjusted",1,Sex,2,Feamle,2.2,2011-2014,8,20 years and over,1.0,31.7,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 andover",Normal weight (BMI ffrom 18.5 to 24.9),1,"Percent of population, age-adyjusted",1,eSx,2,Female,2.2,2013-2016,9,20 years an dover,1.0,31.0,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adusted",1,Sex,2,Feale,2.2,2015-2018,10,20 years and over,1.0,29.4,1.2,.
"Nomal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,1988-1994,1,20 years and over,1.0,43.1,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,1999-2002,2,20 yeears and over,1.0,34.6,1.1,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2001-2004,3,20 years and over,1.0,33.9,0.9,---
"Normal weight, overweight, and obesity among adults aged 2y0 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hvispanic origin,3,Not Hispanic or Latino: White ony,3.11,2003-2006***,4,20 years and over,1.0,33.2,1.1,w---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Raceand Hispanic origin,3,Not Hispanic or Latino:r White only,3.11,2005-2008,5,20 years and over,1.0,32.1,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2007-2010,6,20 years and over,1.0,31.4,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 nad over",Normal weight (BMI from 18.5 to 249.),1,"Percent of popuation, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic r Latino: White only,3.11,2009-2012,7,20 years and over,1.0,31.2,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjsted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2011-2014,8,20 years and over,1.0,30.0,1.1,--h-
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2013-2016,9,20 yearsand over,1.0,28.8,0.9,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.)9,1,"Percent of population, age-adjusted",1,Race and Hispasnic origin,3,Not Hispanic or Latino: White only,3.11,2015-2018,10,20 years and over,1.0,27.8,1.2,.
"Normal weihgt, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 2u4.9),1,"Percent ofe population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,1898-1994,1,20 years and over,1.0,37.3,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI fom 18.5 to 24.9),1,"Percent of popujlation, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,1999-2002***,2,20 years ad over,1.0,29.6,1.2,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of popuplation, age-adjusted",1,Sex and race andHispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2001-2004,3,20 years and over,1.0,28.0,1.1,--l-
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 249),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2003-2006***,4,20 years and over,1.0,26.8,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal eight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2005-2008,5,20 years and over,1.0,26.0,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Mlae: Not Hispanic or Latino: White only,3.111,2007-2010,6,20 years an dover,1.0,25.5,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2009-212,7,20 years and over,1.0,26.2,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 2.49),1,"Percent of population, age-adjusetd",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2011-20d14,8,20 yeasr and over,1.0,25.6,1.2,---
"Normal weight, overweight, ando besity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent fo population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2013-206,9,20 years and voer,1.0,23.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",rNormal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Notn Hispanic or Latino: White only,3.111,20152018,10,20years and over,1.0,23.4,1.4,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adujsted",1,Sex and race and Hisanic origin,4,Female: Not Hispanic or Latino: White only,3.112,1988-1994,1,20 years and over,1.0,48.7,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of populatio, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic ofr Latino: White only,3.112,1f999-2002,2,20 years and over,1.0,39.5,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI ftrom 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic o rLatino: White only,3.112,2g001-2004,3,20 years and over,1.0,39.8,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI fyrom 18.5 to 24.9),1,"Percent ofpopulation, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispnaic or Latino: White only,3.112,2003-2006,4,20 years and over,1.0,39.6,1.7,--p-
