OBJECTID,County,FDID,MACSID,Name,Address,City,Zip,FireChief,Phone,Notes,LastUpdated,Website,CALFIREUnit,SHAPE_Length,SHAPE_Area
1,ALAMEDA,01005,ALA,ALAMEDA FD,1300 PARK ST,ALAMEDA,94501,NICHOLAS LUBY,(510) 337‐2100,,2018/06/21 00:00:00+00,https://www.alamedaca.gov/Departments/Fire-Department,SCU,53100.838603036,60642252.1677999
2,ALAMEDA,01008,ACF,ALAMEDA COUNTY FD,6363 CLARK AVE,DUBLIN,94568,WILLIAM L. MCDONALD,(925) 833‐3473,,2018/06/21 00:00:00+00,https://fire.acgov.org/index.page,SCU,530457.107901072,1323031179.57008
3,ALAMEDA,01010,ALB,CITY OF ALBANY FD,1000 SAN PABLO AVE,ALBANY,94706,JAMES BOITO,(510) 528‐5770,,2018/06/21 00:00:00+00,https://www.albanyca.org/departments/fire-department,SCU,20088.6856282348,13701181.408015
4,ALAMEDA,01015,BER,BERKELEY FD,"2100 MLK JR WAY, 2ND FLOOR",BERKELEY,94704,DAVID SPRAGUE,(510) 981‐3473,,2018/06/21 00:00:00+00,https://www.cityofberkeley.info/fire/,SCU,40101.1436238804,45767807.3248573
5,ALAMEDA,01040,FRE,FREMONT FD,3300 CAPITOL AVE,FREMONT,94538,CURTIS JACOBSON,(510) 494‐4200,,2018/06/21 00:00:00+00,https://www.fremont.gov/FireDepartment,SCU,112154.310535018,237159446.805433
6,ALAMEDA,01045,HAY,HAYWARD FD,777 B ST,HAYWARD,94541,GARRETT CONTRERAS,(510) 583‐4930,,2018/06/21 00:00:00+00,https://www.hayward-ca.gov/fire-department,SCU,118245.111292332,167745531.299171
7,ALAMEDA,01065,LAP,LIVERMORE‐ PLEASANTON FD,3560 NEVADA STREET,PLEASANTON,94566,JOE TESTA,(925) 454‐2361,,2018/06/21 00:00:00+00,https://www.lpfire.org/,SCU,147049.076904066,126550316.004253
8,ALAMEDA,01075,OKL,OAKLAND FD,150 FRANK H. OGAWA PLAZA,OAKLAND,94612,DR. REGINALD D. FREEMAN,(510) 238‐3856,,2018/06/21 00:00:00+00,https://www.oaklandca.gov/departments/fire,SCU,118196.279096523,161352195.229943
9,ALAMEDA,01090,PIE,PIEDMONT FD,120 VISTA AVE,PIEDMONT,94611,DAVID BRANNIGAN,(510) 420‐3030,,2018/06/21 00:00:00+00,https://www.piedmont.ca.gov/services___departments/fire,SCU,8993.29743604833,4441754.45853434
10,ALPINE,02008,BRV,BEAR VALLEY FIRE,PO BOX 5430,BEAR VALLEY,95223,RICK STEPHENS,(209) 753‐2232,,2018/06/21 00:00:00+00,,AEU,144754.878367284,748564061.533889
11,ALPINE,02010,KRK,KIRKWOOD VFD,PO BOX 247,KIRKWOOD,95646,RICK ANSEL,(209) 258‐4444,,2018/06/21 00:00:00+00,https://www.kmpud.com/departments/fire-department/,AEU,13815.3550502113,4217679.68716202
12,AMADOR,03006,AMC,AMADOR FPD,810 COURT ST,JACKSON,95642,WALTER WHITE,(209) 223‐6391,,2018/06/21 00:00:00+00,https://amadorfire.org/,AEU,405636.014389257,1299059033.89779
13,AMADOR,03010,ION,IONE FD,PO BOX 398,IONE,95640,KEN MACKEY,(209) 274‐4548,,2018/06/21 00:00:00+00,https://www.ione-ca.com/services/type/fire-department,AEU,18474.0153536419,11765469.0569942
14,AMADOR,03015,JCK,JACKSON VALLEY FPD,2701 QUIVER DR,IONE,95640,RANDY MAKEMSON,(209) 763‐5848,,2018/06/21 00:00:00+00,http://www.jacksonvalleyfire.org/,AEU,70853.2674026784,178445551.226398
15,AMADOR,03020,JKS,JACKSON FD,33 BROADWAY,JACKSON,95642,DALE FISHBACK,(209) 256‐4431,,2018/06/21 00:00:00+00,https://www.ci.jackson.ca.us/fire_department.php,AEU,26752.3207441938,9125952.09771599
16,AMADOR,03022,LFP,LOCKWOOD FPD,PO BOX 221,VOLCANO,95689,ROBERT WITHROW,(209) 296‐5122,,2018/06/21 00:00:00+00,https://www.lockwoodfire.org/,AEU,59011.2264556852,57004925.617222
17,BUTTE,04005,BIG,BIGGS FD,P O BOX 1119,BIGGS,95917,GARRETT SJOLUND,(530) 538‐7111,,2018/06/21 00:00:00+00,,BTU,10092.8614428257,1629352.16373166
18,BUTTE,04010,CHI,CITY OF CHICO FD,PO BOX 3420,CHICO,95927,STEVEN STANDRIDGE,(530) 897‐3400,,2018/06/21 00:00:00+00,https://chico.ca.us/fire-department,BTU,120283.213717168,86060788.1407651
19,BUTTE,04015,GRD,GRIDLEY FD,47 EAST GRIDLEY RD,GRIDLEY,95948,GARRETT SJOLUND,(530) 538‐7111,,2018/06/21 00:00:00+00,http://gridley.ca.us/government-and-departments/departments/fire-department,BTU,21096.5588995537,5833137.29807943
20,BUTTE,04020,ORO,OROVILLE FD,2055 LINCOLN STREET,OROVILLE,95966,GARRETT SJOLUND,(530) 538‐2480,,2018/06/21 00:00:00+00,https://www.cityoforoville.org/services/fire-department,BTU,78490.9790480259,33630890.0644952
21,BUTTE,04025,EMD,EL MEDIO FPD,3515 MEYERS ST,OROVILLE,95966,GARY NYSTUEN,(530) 533‐4484,,2018/06/21 00:00:00+00,https://elmediofire.specialdistrict.org/,BTU,13492.7421236961,6035987.72569954
22,BUTTE,04030,PRA,PARADISE FIRE & RESCUE,5555 SKYWAY,PARADISE,95969,GARRETT SJOLUND,(530) 872‐6264,,2018/06/21 00:00:00+00,https://www.townofparadise.com/fire,BTU,31662.6311009728,46758074.5411339
23,BUTTE,04035,BUT,BUTTE CFD,176 NELSON AVE,OROVILLE,95965,GARRETT SJOLUND,(530) 538‐7111,,2018/06/21 00:00:00+00,,BTU,1845995.98007493,3534155633.56696
39,CONTRA COSTA,07015,EDI,EAST CONTRA COSTA FPD,150 CITY PARK WAY,BRENTWOOD,94513,BRIAN HELMICK,(925) 634‐3400,,2018/06/21 00:00:00+00,https://www.eccfpd.org/,SCU,164412.96673682,616444140.184164
40,CONTRA COSTA,07030,CRK,CROCKETT CARQUINEZ FPD,746 LORING AVE,CROCKETT,94525,DEAN COLOMBO,(510) 787‐2717,,2018/06/21 00:00:00+00,,SCU,28008.5772737503,26133400.7651914
41,CONTRA COSTA,07035,SRM,SAN RAMON VALLEY FPD,1500 BOLLINGER CANYON RD,SAN RAMON,94583,PAIGE MEYER,(925) 838‐6600,,2018/06/21 00:00:00+00,https://www.firedepartment.org/,SCU,96930.9869986509,302083022.947061
42,CONTRA COSTA,07040,ECR,EL CERRITO FD,10900 SAN PABLO AVE,EL CERRITO,94530,MICHAEL PIGONI,(510) 215‐4450,,2018/06/21 00:00:00+00,https://www.el-cerrito.org/133/Fire-Department,SCU,16133.6904082838,9547841.09813964
43,CONTRA COSTA,07060,MOR,MORAGA ORINDA FPD,1280 MORAGA WAY,MORAGA,94556,DAVID WINNACKER,(925) 258‐4599,,2018/06/21 00:00:00+00,https://www.mofd.org/,SCU,69044.6047936899,120841441.444847
44,CONTRA COSTA,07075,POE,PINOLE FD,880 TENNENT AVE,PINOLE,94564,CHRIS WYNKOOP,(510) 724‐8970,,2018/06/21 00:00:00+00,https://www.ci.pinole.ca.us/city_government/fire,SCU,43355.2850609968,30069955.5014877
45,CONTRA COSTA,07095,RMD,RICHMOND FD,440 CIVIC CENTER PLAZA,RICHMOND,94804,ANGEL MONTOYA,(510) 307‐8031,,2018/06/21 00:00:00+00,https://www.ci.richmond.ca.us/79/Fire-Department,SCU,134572.927747971,136389389.490896
46,CONTRA COSTA,07100,RDO,RODEO HERCULES FD,1680 REFUGIO VALLEY RD,HERCULES,94547,BRYAN CRAIG,(510) 799‐4561,,2018/06/21 00:00:00+00,https://www.rhfd.org/,SCU,49547.7394671367,82132797.8944428
47,CONTRA COSTA,07090,CON,CONTRA COSTA CO FPD,2010 GEARY RD,PLEASANT HILL,94523,LEWIS T. BROSCHARD III,(925) 941‐3300,,2018/06/21 00:00:00+00,https://www.cccfpd.org/,SCU,268146.610753546,664723356.813655
48,DEL NORTE,08010,CRT,CRESCENT FPD,255 W WASHINGTON BLVD,CRESCENT CITY,95531,KEVIN CAREY,(707) 464‐2421,,2018/06/21 00:00:00+00,https://cfpd.crescentcity.org/,HUU,52148.7153461366,56213963.0753356
49,DEL NORTE,08015,FDK,FORT DICK FPD,PO BOX 369,FORT DICK,95538,RANDY CRAWFORD,(707) 487‐8185,,2018/06/21 00:00:00+00,,HUU,39272.2858517699,77017918.1684397
50,DEL NORTE,08020,GAS,GASQUET FPD,PO BOX 85,GASQUET,95543,DARRELL PARLASCA,(707) 457‐3332,,2018/06/21 00:00:00+00,,HUU,26350.4878290014,5472218.15774548
51,DEL NORTE,08050,SMT,SMITH RIVER FPD,245 NORTH  HAIGHT AVE,SMITH RIVER,95567,RON SIMPSON,(707) 487‐5621,,2018/06/21 00:00:00+00,https://www.srvfd.org/,HUU,87220.4513377865,71995295.4326388
64,FRESNO,10065,OCF,ORANGE COVE FPD,550 CENTER ST,ORANGE COVE,93646,TOM GREENWOOD,(559) 626‐7758,,2018/06/21 00:00:00+00,https://cityoforangecove.com/fire-protection/,FKU,56680.6734448749,111370535.587935
65,FRESNO,10120,SHL,SHAVER LAKE VFD,PO BOX 35,SHAVER LAKE,93664,JAMES PARR,(559) 841‐8136,,2018/06/21 00:00:00+00,"https://shaverlakefire.org/#:~:text=The%20Shaver%20Lake%20Volunteer%20Fire,in%20the%20Shaver%20Lake%20community.&text=The%20SLVFD%20now%20responds%20to,in%20and%20around%20Shaver%20Lake.",FKU,44998.1990779095,34467211.5679417
66,FRESNO,10135,AUB,AUBERRY VFD,PO BOX 191,AUBERRY,93602,RICK SCHACHER,(559) 855‐2777,,2018/06/21 00:00:00+00,,FKU,73775.4649745548,127364014.389317
67,HUMBOLDT,12010,BGF,BRICELAND VFD,PO BOX 1249,REDWAY,95560,AURORA STUDEBAKER,(707) 923‐7204,,2018/06/21 00:00:00+00,http://bricelandfire.org/,HUU,64857.1389750763,114082979.907269
68,HUMBOLDT,12025,BLU,BLUE LAKE VFD,PO BOX 245,BLUE LAKE,95525,RAY STONEBARGER,(707) 668‐5765,,2018/06/21 00:00:00+00,,HUU,28853.1483688349,35107020.3996496
69,HUMBOLDT,12065,GAR,GARBERVILLE FPD,PO BOX 288,GARBERVILLE,95542,TIM TIETZ,(707) 923‐3196,,2018/06/21 00:00:00+00,,HUU,78231.2440529819,146987509.748918
