HOME TEAM: TCU,Time,Score,Margin,VISITORS: Texas Tech
,20:00,,,"SUB IN : Caston, Jasmine"
,20:00,,,"SUB OUT: Battle, Amber"
,19:54,,,"MISSED 3 PTR by Caston, Jasmine"
,19:54,,,"REBOUND (OFF) by Nobles, Shauntal"
,19:49,,,"TURNOVR by Nobles, Shauntal"
"STEAL by Lovings, Latricia",19:48,,,
"TURNOVR by Ventress, Natalie",19:38,,,
"FOUL by Ventress, Natalie (P2T1)",19:38,,,
,19:38,,,"SUB IN : Battle, Amber"
,19:38,,,"SUB OUT: Lizarazu, Marina"
,19:09,,,"TURNOVR by Caston, Jasmine"
"STEAL by Lovings, Latricia",19:08,,,
"MISSED FT SHOT by Prince, Chelsea",19:02,,,"FOUL by CookTaylor, Ivonne (P1T1)"
REBOUND (OFF) by (DEADBALL),19:02,,,
"GOOD! FT SHOT by Prince, Chelsea",19:02,34-34,T 9,
,18:42,34-36,V 2,"GOOD! JUMPER by CookTaylor, Ivonne"
,18:42,,,"ASSIST by Battle, Amber"
"MISSED 3 PTR by Ventress, Natalie",18:11,,,
REBOUND (OFF) by (TEAM),18:11,,,
"MISSED JUMPER by Medley, Zahna",18:06,,,
"REBOUND (OFF) by Medley, Zahna",18:06,,,
"GOOD! LAYUP by Medley, Zahna [PNT]",18:00,36-36,T 10,
"ASSIST by Lovings, Latricia",18:00,,,
"REBOUND (DEF) by Medley, Zahna",17:36,,,"MISSED JUMPER by CookTaylor, Ivonne"
"GOOD! FT SHOT by Ventress, Natalie",17:21,37-36,H 1,"FOUL by Spears, Minta (P2T2)"
"GOOD! FT SHOT by Ventress, Natalie",17:21,38-36,H 2,
,17:13,,,"TURNOVR by Caston, Jasmine"
"STEAL by Prince, Chelsea",17:12,,,
"GOOD! LAYUP by Ventress, Natalie [FB/PNT]",17:09,40-36,H 4,
,16:53,,,"TURNOVR by Caston, Jasmine"
"STEAL by Prince, Chelsea",16:51,,,
"FOUL by Lovings, Latricia (P3T2)",16:42,,,
"TURNOVR by Lovings, Latricia",16:42,,,
"SUB IN : Hamilton, Veja",16:42,,,"SUB IN : Lizarazu, Marina"
"SUB OUT: Medley, Zahna",16:42,,,"SUB OUT: Caston, Jasmine"
,16:31,40-39,H 1,"GOOD! 3 PTR by Spears, Minta"
,16:31,,,"ASSIST by Lizarazu, Marina"
"GOOD! LAYUP by Lovings, Latricia [PNT]",15:59,42-39,H 3,
"ASSIST by Hamilton, Veja",15:59,,,
,15:38,,,"TURNOVR by Battle, Amber"
"STEAL by Hamilton, Veja",15:36,,,
"MISSED LAYUP by Hamilton, Veja",15:16,,,"REBOUND (DEF) by CookTaylor, Ivonne"
,14:57,42-41,H 1,"GOOD! LAYUP by Battle, Amber [PNT]"
,14:57,,,"ASSIST by Lizarazu, Marina"
"GOOD! LAYUP by Lovings, Latricia [PNT]",14:33,44-41,H 3,
"ASSIST by Breaux, Donielle",14:33,,,
,14:19,,,"MISSED LAYUP by Battle, Amber"
,14:19,,,"REBOUND (OFF) by Nobles, Shauntal"
"FOUL by Hamilton, Veja (P2T3)",14:14,,,
,14:14,,,TIMEOUT MEDIA
"SUB IN : Bradshaw, Klara",14:14,,,"SUB IN : Schneider, Haley"
"SUB OUT: Lovings, Latricia",14:14,,,"SUB OUT: Nobles, Shauntal"
,13:58,,,"MISSED LAYUP by Spears, Minta"
