56.housenum,9,39
49.thegeom,POINT (73.88608864866454 40.85465860440672),POINT (-73.88608864866454 40.85465860440672)
32.thegeom,POINT (-73.98646898020364 40.76383429701581),POINT (-73.94639076217729 40.76488756503613)
125.namevalue,Bay Rlidge Station,Bay Ridge Station
171.housenum,99,909
29.namevalue,Port Authority Convenience,Peck Slip Station
66.housenum,22-01,122-01
176.housenum,2562-9,256-29
26.url,http://wwwt.usps.com/,http://www.usps.com/
161.city,Stateyn Island,Staten Island
15.thegeom,POINT (-73.98646898020364 40.76383429701581),POINT (-73.95311492876527 40.811462938444954)
189.namevalue,Pathin,Patchin
222.url,http://wwwu.sps.com/,http://www.usps.com/
100.namevalue,LAw Guardia Airport,LA Guardia Airport
37.city,Brnx,Bronx
21.url,http://www.usps.com/***,http://www.usps.com/
51.city,Broonx,Bronx
207.housenum,363k0,3630
162.city,tSaten Island,Staten Island
214.url,http://www.usp.scom/,http://www.usps.com/
173.url,http://www.uspscom/,http://www.usps.com/
84.url,http://wwpw.usps.com/,http://www.usps.com/
47.housenum,57z5,575
16.thegeom,POINT (-73.99084058306957 40.757113096402534),POINT (-73.9527437184019 40.77764148786082)
19.namevalue,Park West Finance,Hamilton Grange Station
146.city,Fluqshing,Flushing
205.namevalue,Kngsbridge,Kingsbridge
192.url,http:/w/ww.usps.com/,http://www.usps.com/
22.namevalue,Manhattanville,Washington Bridge Station
13.namevalue,FDR Station,Cathedral Station
203.streetname,WEST 2i38 STREET,WEST 238 STREET
48.thegeom,POINT (-73.8832286057746 240.86779938652193),POINT (-73.88322860577462 40.86779938652193)
21.namevalue,Radio City Station,Audubon Station
227.housenum,01,201
105.housenum,54y2,542
185.namevalue,Chruch Street Station,Church Street Station
100.thegeom,PONIT (-73.87232132056269 40.77313295152129),POINT (-73.87232132056269 40.77313295152129)
129.city,Brookyln,Brooklyn
53.streetname,BOSTN ROAD,BOSTON ROAD
210.thegeom,POINT (-73.8803288024403 40.88173252251271),POINT (-73.88203288024403 40.88173252251271)
141.url,http://www.usps.om/,http://www.usps.com/
92.url,http:/w/ww.usps.com/,http://www.usps.com/
30.namevalue,Grand Central Station,Colonial Park Station
33.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-73.95095393862364 40.77123726498467)
92.streetname,6e9 STREET,69 STREET
180.thegeom,POINT (-73.89234920864703 40.7594720016977)4,POINT (-73.89234920864703 40.75947200169774)
31.namevalue,Port Authority Convenience,Fort George Station
219.thegeom,POINT (-73.9042819783904 40.90767766751522),POINT (-73.90423819783904 40.90767766751522)
149.streetname,42 AVENE,42 AVENUE
141.thegeom,POINT (-7z3.94948283063206 40.75191321899137),POINT (-73.94948283063206 40.75191321899137)
223.city,Bornx,Bronx
191.url,http://www.uspsc.om/,http://www.usps.com/
23.namevalue,Planetarium Station,Inwood Station
169.city,rooklyn,Brooklyn
230.thegeom,POINT -73.9690969838129 40.74879628955857),POINT (-73.9690969838129 40.74879628955857)
152.housenum,75-2q3,75-23
31.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-73.9310723693871 40.85888172658774)
5.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-73.97801774312154 40.75827112445771)
9.thegeom,POINT (-73.99084058306957 40.757113096402534),POINT (-73.9814763750075 40.77480507521965)
214.streetname,WILLIAMSBRIDGEROAD,WILLIAMSBRIDGE ROAD
118.housenum,830,8320
165.url,http://ww.usps.com/,http://www.usps.com/
114.namevalue,Nwe Lots Station,New Lots Station
229.thegeom,POINT (-73.79085994315773 40.74797909931564),POINT (-73.97085994315773 40.74797909931564)
83.namevalue,Middle Villaeg,Middle Village
26.thegeom,POINT (-73.95420102848708 40.803615433219576),POINT (-73.97899606840359 40.75709389941134)
21.thegeom,POINT (-73.9833044821534 40.76964200971967),POINT (-73.938638975525 40.83842205921315)
136.streetname,MAIN STRET,MAIN STREET
17.namevalue,Planetarium Station,Hellgate Station
5.namevalue,Columbia University,Rockefeller Center
177.streetname,164 STRET,164 STREET
37.url,htptp://www.usps.com/,http://www.usps.com/
185.thegeom,POINT (-74.0163182740799 40.71272970163109),POINT (-74.01063182740799 40.71272970163109)
145.url,http://www.usps.comv/,http://www.usps.com/
165.thegeom,POINT (-74.1629429096094 40.544623296822586),POINT (-74.16294290966094 40.544623296822586)
186.city,New Yokr,New York
1.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-73.97544509708256 40.75325543261831)
225.thegeom,POINT(-73.82953293421153 40.87802298776362),POINT (-73.82953293421153 40.87802298776362)
58.thegeom,POINT (-73.98741072098524 40.715678083317966),POINT (-73.98741072098524 40.715678083319766)
204.streetname,KAPPOCKf STREET,KAPPOCK STREET
24.housenum,1t67,167
207.thegeom,POINT (-73.82412179553552 40.827946940772w13),POINT (-73.82412179553552 40.82794694077213)
116.streetname,FULtTON STREET,FULTON STREET
73.url,htpt://www.usps.com/,http://www.usps.com/
13.thegeom,POINT (-73.99084058306957 40.757113096402534),POINT (-73.96739981995789 40.799680115826966)
172.namevalue,Whiet Stone Station,White Stone Station
23.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-73.92292520657553 40.86618505327374)
71.city,zone Park,Ozone Park
57.thegeom,POINT (-73.995938472190c99 40.75154738393712),POINT (-73.99593847219099 40.75154738393712)
118.namevalue,Dyker Heights Statioln,Dyker Heights Station
35.thegeom,POINT (-73.9857369375728 40.748443489207226),POINT (-73.95111619767086 40.781354435784316)
1.city,New ork,New York
29.city,New Yrok,New York
46.streetname,3 AVENEU,3 AVENUE
111.thegeom,POINT (-73.9197488819826 40.704343587169596),POINT (-73.91974828819826 40.704343587169596)
30.streetname,MAOMBS PLACE,MACOMBS PLACE
170.namevalue,Astoria wStation,Astoria Station
24.namevalue,Lenox Hill Station,Triborough Station
66.city,Richmond Hill***,Richmond Hill
171.namevalue,Broad Channel Staion,Broad Channel Station
36.namevalue,Columbia University,Melcourt
98.thegeom,POINT (-73.92957349141585 40.64126002541862),POINT (-73.92957349114585 40.64126002541862)
225.housenum,197,179
68.thegeom,POINT (-73.80714y037498922 40.70093421997089),POINT (-73.80714037498922 40.70093421997089)
155.housenum,891-2,89-12
78.streetname,MYRLE AVENUE,MYRTLE AVENUE
188.city,NewY ork,New York
175.url,http://ww.usps.com/,http://www.usps.com/
157.thegeom,POINT (-73.84697056914449 40.721678590026v39),POINT (-73.84697056914449 40.72167859002639)
56.city,Ne York,New York
149.thegeom,POINT v(-73.77177706811328 40.76284965177944),POINT (-73.77177706811328 40.76284965177944)
148.streetname,x25 AVENUE,25 AVENUE
104.housenum,217,271
35.namevalue,Ansonia Station,Yorkville
34.city,Nw York,New York
141.namevalue,Woolsey Statpion,Woolsey Station
49.namevalue,Mozunt Carmel,Mount Carmel
11.streetname,WeEST 112 STREET,WEST 112 STREET
121.namevalue,Canarsieu Station,Canarsie Station
158.housenum,54,45
74.namevalue,aJmaica,Jamaica
105.url,http://www.kusps.com/,http://www.usps.com/
28.namevalue,Radio City Station,Lincolnton Station
110.url,htp://www.usps.com/,http://www.usps.com/
174.thegeom,POINT (-73.9296249894324 40.61z558894048983),POINT (-73.9296249894324 40.61558894048983)
176.streetname,UNIO NTURNPIKE,UNION TURNPIKE
149.city,ayside,Bayside
226.streetname,CONNER STRETE,CONNER STREET
219.namevalue,iverdale,Riverdale
6.city,New Yokr,New York
31.city,New wYork,New York
142.city,Astora,Astoria
102.url,http:/www.usps.com/,http://www.usps.com/
219.url,http://www.usps.com/***,http://www.usps.com/
27.namevalue,Gracie,Times Square Station
12.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-73.96861176613825 40.79201223884607)
140.thegeom,POINT (-7392044709567166 40.74266971609684),POINT (-73.92044709567166 40.74266971609684)
47.thegeom,POINwT (-73.8938922483614 40.84672464874057),POINT (-73.8938922483614 40.84672464874057)
22.thegeom,POINT (-73.99084058306957 40.757113096402534),POINT (-73.93338829403784 40.84851905006448)
6.streetname,EAST 70 SzTREET,EAST 70 STREET
11.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-73.96502370460061 40.8048735997138)
36.thegeom,POINT (-73.95420102848708 40.803615433219576),POINT (-73.91389999792564 40.82371841722649)
152.namevalue,Station CS tation,Station C Station
14.namevalue,Planetarium Station,Morningside Station
10.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-73.97457038328493 40.78519005726332)
33.url,ttp://www.usps.com/,http://www.usps.com/
24.thegeom,POINT (-73.94400466032515 40.8342630777308),POINT (-73.93695865727435 40.80356341308475)
18.housenum,17,217
225.namevalue,Dreiser oLop,Dreiser Loop
65.city,outh Richmond Hill,South Richmond Hill
39.thegeom,POINT (-73.99084058306957 40.757113096402534),POINT (-73.91957701749185 40.845736153049685)
33.namevalue,Ansonia Station,Cherokee
38.thegeom,POINT (-73.99084058306957 40.757113096402534),POINT (-73.92454858910932 40.82818708431281)
17.housenum,1j53,153
20.namevalue,Gracie,Fort Washington
58.housenum,815,185
206.url,htt:p//www.usps.com/,http://www.usps.com/
75.city,Forest Hjills,Forest Hills
81.thegeom,POINT (-73.75119722003144 40.67932901389312)***,POINT (-73.75119722003144 40.67932901389312)
37.thegeom,POINT (-73.98646898020364 40.76383429701581),POINT (-73.92654852728563 40.81891439819394)
223.thegeom,POINT (-3.88881264314821 40.81702690733944),POINT (-73.88881264314821 40.81702690733944)
154.city,Emlhurst,Elmhurst
198.housenum,2691,2619
192.streetname,WEST18 STREET,WEST 18 STREET
19.thegeom,POINT (-73.98646898020364 40.76383429701581),POINT (-73.94832080054505 40.826657921015226)
7.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-73.96786325022246 40.75828367860796)
23.url,thtp://www.usps.com/,http://www.usps.com/
163.streetname,RICHMOND TERhRACE,RICHMOND TERRACE
202.url,http://www.usps.cm/,http://www.usps.com/
88.housenum,60-08,60-80
198.namevalue,Westchekster,Westchester
86.thegeom,POINT (-73.8957132266a9467 40.70044907585453),POINT (-73.89571322669467 40.70044907585453)
32.namevalue,Columbia University,Roosevelt Island
26.namevalue,FDR Station,Appraisers Stores
155.city,Rego aPrk,Rego Park
53.url,ttp://www.usps.com/,http://www.usps.com/
79.city,SaintA lbans,Saint Albans
159.streetname,BAY STREEfT,BAY STREET
165.streetname,AMBOY RAOD,AMBOY ROAD
43.namevalue,Oak oint,Oak Point
217.city,Brox,Bronx
107.city,Booklyn,Brooklyn
181.thegeom,POINT (-74.1567053157736 40.54993967671249),POINT (-74.15067053157736 40.54993967671249)
55.housenum,r151,151
60.streetname,4 AVENEU,4 AVENUE
181.url,http:/www.usps.com/,http://www.usps.com/
29.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-74.00192811816349 40.70863537536173)
117.thegeom,POINT (7-4.02717627356135 40.6198916526478),POINT (-74.02717627356135 40.6198916526478)
43.housenum,39,839
34.namevalue,Planetarium Station,Empire State
117.city,Broolkyn,Brooklyn
172.thegeom,POINT (-73.8316924013514 40.78784585251201),POINT (-73.8136924013514 40.78784585251201)
87.streetname,JAMAICA vAVENUE,JAMAICA AVENUE
8.namevalue,FDR Station,Columbus Circle
89.streetname,2l43 STREET,243 STREET
3.namevalue,Ansonia Station,Midtown Station
201.housenum,751,715
9.housenum,78,178
130.thegeom,POINsT (-73.9563677858366 40.65086264089686),POINT (-73.9563677858366 40.65086264089686)
3.thegeom,POINT (-73.96011580264039 40.7680770104762),POINT (-73.98982153195676 40.754183189157985)
209.thegeom,POINT (-73.g86759084719947 40.86708524366286),POINT (-73.86759084719947 40.86708524366286)
80.housenum,182-40,182-04
152.url,httlp://www.usps.com/,http://www.usps.com/
131.namevalue,Vn Brunt Station,Van Brunt Station
123.streetname,dAVENUE U,AVENUE U
23.city,Nwe York,New York
27.thegeom,POINT (-73.94255263001938 40.81921252473922),POINT (-73.99194997307617 40.757673795866296)
129.housenum,227,2727
203.namevalue,Fieldswton,Fieldston
170.housenum,2-740,27-40
144.url,http://www.ups.com/,http://www.usps.com/
54.thegeom,POIwNT (-73.8773608248928 40.8395469633342),POINT (-73.8773608248928 40.8395469633342)
175.city,rooklyn,Brooklyn
25.namevalue,Gracie,Bryant
74.city,amaica,Jamaica
18.namevalue,Radio City Station,College Station
194.namevalue,Chniatown,Chinatown
25.thegeom,POINT (-73.95420102848708 40.803615433219576),POINT (-73.98169298563131 40.75495071233829)
90.city,Cambria Heigxhts,Cambria Heights
126.city,Broolyn,Brooklyn
30.thegeom,POINT (-73.94400466032515 40.8342630777308),POINT (-73.93646681613536 40.82770391410017)
28.thegeom,POINT (-73.9857369375728 40.748443489207226),POINT (-73.93679348616408 40.81468685037503)
110.namevalue,Adlepohi Station,Adlephi Station
64.streetname,FCH BOULEVARD,FOCH BOULEVARD
17.thegeom,POINT (-73.95420102848708 40.803615433219576),POINT (-73.9437788609116 40.79477681275066)
