802.street,20700 ST RTE 4j11,20700 ST RTE 411
701.spdespermitnumber,wNY0109096,NY0109096
1429.statevalue,Y,NY
1841.facilityname,CAPITAL DISTRICTSALT STORAGE,CAPITAL DISTRICT SALT STORAGE
1206.planttype,unicipal,Municipal
931.groundorsurface,Surfiace,Surface
464.statevalue,NxY,NY
303.planttype,Industrail,Industrial
261.city,RANKLINVILLE,FRANKLINVILLE
80.groundorsurface,Sufrace,Surface
285.locationone,"(40.74,-73.96)","(40.74, -73.96)"
1130.city,WYANDANCwH,WYANDANCH
748.spdespermitnumber,YN0226700,NY0226700
1331.street,WATRE WORKS RD,WATER WORKS RD
672.groundorsurface,uSrface,Surface
455.groundorsurface,Snurface,Surface
1532.country,UA,USA
1611.street,LAKE ST AT MILLS T,LAKE ST AT MILL ST
868.spdespermitnumber,NY291234,NY0291234
1698.planttype,Municipail,Municipal
1384.spdespermitnumber,NY260134,NY0260134
1613.street,ACHELOR ST - W END,BACHELOR ST - W END
1424.planttype,Indusrtial,Industrial
874.planttype,Indvustrial,Industrial
1308.statevalue,YN,NY
810.country,UAS,USA
640.spdespermitnumber,NY280402,NY0280402
329.spdespermitnumber,NY0260424,NY0264024
1417.spdespermitnumber,NY002689,NY0026689
1751.spdespermitnumber,Y0032433,NY0032433
726.street,DUNDERBERsG RD,DUNDERBERG RD
1631.street,ENTIRE AWTER DISTRICT WIDE,ENTIRE WATER DISTRICT WIDE
1915.planttype,unicipal,Municipal
2060.street,261 DELAWAREST,261 DELAWARE ST
535.spdespermitnumber,NY026824,NY0026824
1476.planttype,Indsustrial,Industrial
1157.statevalue,Y,NY
336.city,ATITCA,ATTICA
1793.statevalue,Y,NY
1207.street,10 IVTAMIN DR,10 VITAMIN DR
678.street,1515 W LAvKE RD,1515 W LAKE RD
1365.city,ARLTON,EARLTON
1539.street,ITYWIDE,CITYWIDE
1495.locationone,"(40.81,-72.85)","(40.81, -72.85)"
1043.groundorsurface,Surfaec,Surface
632.facilityname,ACROSS THE MALL LUNDROMAT,ACROSS THE MALL LAUNDROMAT
599.facilityname,SSCD #28 - FAIRFIELD STP,SCSD #28 - FAIRFIELD STP
1387.city,RONKONfKOMA,RONKONKOMA
2023.street,750 SENECA ST,7540 SENECA ST
1242.planttype,Indhustrial,Industrial
855.spdespermitnumber,NY0210781,NY0210871
1536.city,RIzDGE,RIDGE
1178.statevalue,Y,NY
107.facilityname,BELLOWSj POND RD WELL FIELD - PLANT NO. 4,BELLOWS POND RD WELL FIELD - PLANT NO. 4
170.street,43l1 E MAIN ST|SCTM  600-129-4-21.3,431 E MAIN ST|SCTM  600-129-4-21.3
475.street,1961 US RTE 9W,1916 US RTE 9W
1758.groundorsurface,Gkround,Ground
1817.spdespermitnumber,NY0i024821,NY0024821
1633.country,UA,USA
939.planttype,nIdustrial,Industrial
1795.city,TONAWAdNDA,TONAWANDA
2018.country,SUA,USA
1449.city,ILOIN,ILION
1722.city,PORT JfERVIS,PORT JERVIS
282.city,WILILAMSON,WILLIAMSON
1408.statevalue,Y,NY
1242.country,bUSA,USA
692.planttype,Industral,Industrial
104.spdespermitnumber,NY0u024929,NY0024929
686.country,SA,USA
616.locationone,"(42.98, -87.93)","(42.98, -78.93)"
357.groundorsurface,Suface,Surface
1407.facilityname,NEW YORK STEWART INTERNATIONAL AIRPOTR,NEW YORK STEWART INTERNATIONAL AIRPORT
1139.spdespermitnumber,NY0q260690,NY0260690
1367.locationone,"(43.05, 7-8.85)","(43.05, -78.85)"
1231.statevalue,Y,NY
1711.city,GREENWIHC,GREENWICH
1848.country,SUA,USA
504.statevalue,xNY,NY
609.spdespermitnumber,NY0029271***,NY0029271
1322.city,USFFOLK,SUFFOLK
550.spdespermitnumber,NY0262845,NY0262854
2030.planttype,Iyndustrial,Industrial
365.locationone,"(42.68, -7n6.94)","(42.68, -76.94)"
1169.street,147 S RTE 320,147 ST RTE 320
772.locationone,"(42.63, -761.8)","(42.63, -76.18)"
1835.locationone,"4(3.32, -77.74)","(43.32, -77.74)"
540.planttype,Inustrial,Industrial
1530.city,OCKPORT,LOCKPORT
1124.planttype,Mnuicipal,Municipal
106.country,SA,USA
1179.spdespermitnumber,NYi0262005,NY0262005
1551.spdespermitnumber,Y0199095,NY0199095
260.planttype,Indusgtrial,Industrial
1734.country,mUSA,USA
381.city,SURPISE,SURPRISE
762.facilityname,NIAGAR ASPECIALTY METALS INC,NIAGARA SPECIALTY METALS INC
1877.city,PENN YNA,PENN YAN
1441.groundorsurface,Sruface,Surface
1275.planttype,Industlrial,Industrial
775.planttype,ndustrial,Industrial
1590.groundorsurface,Grund,Ground
77.locationone,"(43.1, -7.99)","(43.1, -78.99)"
186.facilityname,SPRAIN BROOK CENToRAL SUBSTATION,SPRAIN BROOK CENTRAL SUBSTATION
9.spdespermitnumber,NY026771,NY0268771
674.city,MnILLBROOK,MILLBROOK
365.planttype,Inustrial,Industrial
2.country,UpSA,USA
1224.street,"BOUNDED BY I-678, ST RTE 878, GRAND CENTRAL PKWY & CITY LIEN","BOUNDED BY I-678, ST RTE 878, GRAND CENTRAL PKWY & CITY LINE"
1908.facilityname,OMNAFILTRA LLC,OMNIAFILTRA LLC
1523.spdespermitnumber,NY0t006301,NY0006301
