planttype,spdespermitnumber,facilityname,groundorsurface,averagedesignhydraulicflow(double precision),street,city,statevalue,country,zipcode(double precision),latitude(double precision),longitude(double precision),locationone
Idnustrial,NY0210803,NEW MILLER PLACE LAUDNROMAT,Gorund,0.01,725 ST RTE 25A,MILLER PLCAE,NY,USA,11764.0,40.94,-72.97,"(40.94, -72.97)"
nIdustrial,NY0223107,TACONIC,Grund,0.0,136 COONBROOK RD,PTEERSBURG,Y,UpSA,12138.0,42.74,-73.36,"(42.74, -73.36)"
Industrial,NY02596t16,LUCKY PETROLEUM,Ground,0.0,4131 ST RTE 28,BOICEVILLE,NY,USA,12412.0,42.01,-74.27,"(42.01, -74.27)"
Municpal,NY0025461,VILLAGE OF MINOA STP,Surface,0.99,KALINE DR,MINOA,NY,USA,13116.0,43.08,-76.0,"43.08, -76.0)"
Municipal,NY026957n3,CANASERAGA WWTP,Surface,0.1,ST RTE 70 - N SIDE - S OF CANASERAGA CRK - JUST E OF VILLAGE LINE,CANASERAGA,NY,UA,14822.0,42.47,-77.77,"(42.47, -77.77)"
Municsipal,NY0271420,VILLAGE OF RED HOOK STP,Surface,0.02,US RTE 9 - W SIDE BETWEEN CAMBRIDGE & GARDEN STS,RED HOOK,NY,USA,11717.0,41.99,-73.88,"(41.99, -73.88)"
Munciipal,N0266167,Corinth WWTP,Surface,0.79,37 Whiet St,Corinth,NY,UA,12822.0,43.25,-73.82,"(43.25, -73.82)"
Municaipal,Y0272817,WOODRIDGE GREENFIELD RD WWTP,Surface,0.8,GREENFIELD RD & KRIEGER PARK RD,WOODRIDGE,NY,USA,12789.0,41.71,-74.56,"(41.71, -74.56)"
Municipal,NY026771,HILLSDALE SEWER PROJECT,Ground,0.04,ST RTES 22 & 23 - SE OF INTERSECTION,HILLSDALE,YN,SUA,12529.0,42.18,-73.52,"(42.18, -73.52)"
Indsutrial,NY0426492,SILGAN PLASTICS CORPORATION,Surface,0.18,40 POWELL LAE,PENN YAN,NY,USA,14527.0,42.67,-77.06,"(42.67, -77.t06)"
Industrial,NY0002372,LYONSDALE PAPER MILL,aSurface,1.1,7801 LYONSDALE RD (CO RTEr 39) @ LOWDALE RD,LYONS FALLS,NY,USA,13368.0,43.62,-75.31,"(43.62, -7.531)"
Indutsrial,NY0271497,SHELBY ETHANOL PLANT,Surface,0.0,4141 BATES RD,MEDINA,NY,USA,14103.0,43.21,-78.37,"(43.21, -78.37)"
Municipal,NY026310,NEWBURHG WWTP,Surface,9.0,2 RENWICK ST,NEWBUGRH,NY,USA,12550.0,41.49,-74.01,"(41.49, -740.1)"
Industrial,NY2057940,LYME BUS FUELING CENTER,Surface,0.0,CO RTE 8 - E SIDE - N OF ST RTE 12E,CAUMONT,NpY,USA,13622.0,44.08,-76.15,"(44.08, -76.1)"
Municipal,NY002360,WARWCIK STP,Surface,1.0,RIVER ST,WARWCIK,YN,USA,10990.0,41.25,-74.37,"(41.25, -74.37)"
Municipal,NY0021377,CAMDEN WASTEWATER TREATMENT PLANmT,Surface,0.8,TABERG ST,CAMDNE,NY,USA,13316.0,43.33,-75.74,"(43.33, -75.74)"
Indusrtrial,NY0236616,HANSON GREAT BEND,uSrface,0.08,23080 CO RTE 47,GREAT BEND,NY,USA,13643.0,44.0,-75.69,"(44.0, -75.69)"
Municpial,NY0093637,STILLWATER STP,Surface,0.55,RUNDLE LN,STILLWATER,NY,USA,12170.0,42.94,-73.65,"(42.94,-73.65)"
Industrial,NY0272582,JOCOSA LLC WASTE OIL RECYCLING FACILITY,Surfaec,0.0,1141 RIVER RD,NEW WINDSOR,NY,SUA,12553.0,41.48,-74.01,"(41.48, -74.01)"
Municipal,NY0027766,LEWISTON MASTER SD,Surqface,2.75,501 PLETCHER RD,LEWISTON,NY,USA,14092.0,43.21,-79.04,"(43.21, -79.04)"
Inudstrial,NY027999,WUW LAUNDROMAT INC,Ground,0.01,1052 ISLIPA VE,BRETNWOOD,NY,USA,11717.0,40.77,-73.21,"(40.77, -73.21)"
Industrial,NY0206181,MEENAN RETAIL SALES BLDG,Ground,0.0,3020 BURNS AVE,WANTAGH,NY,UA,11793.0,40.67,-73.52,"(40.67, -v73.52)"
