252.addressone,210 11th hAve,210 11th Ave
675.url,http://www.leslielohman.porg,http://www.leslielohman.org
344.thegeom,POINT (-73.9814223607949 40.773145324578465),POINT (-73.98142236076949 40.773145324578465)
626.addresstwo,Lbyb,Lbby
854.url,http://mckeegallecry.com/,http://mckeegallery.com/
743.tel,(78) 885-1403,(718) 885-1403
775.addresstwo,Lby,Lbby
884.tel,212) 722-4989,(212) 722-4989
463.addressone,10p87 East Tremont Ave,1087 East Tremont Ave
916.namevalue,One Twenty Euight,One Twenty Eight
435.city,NewYork,New York
861.thegeom,POINT (-73.9895865906193 40.74544740199807),POINT (-73.98965865906193 40.74544740199807)
858.namevalue,Mesel Louis K Gallery,Meisel Louis K Gallery
549.addresstwo,Lbbny,Lbby
483.tel,(22) 534-1847,(212) 534-1847
440.url,http://www.bernaruccimeisel.com/index.php,http://www.bernarduccimeisel.com/index.php
612.namevalue,Janora yCharles Llc,Janoray Charles Llc
868.namevalue,Michail- Lombardo Gllery,Michail- Lombardo Gallery
514.tel,212) 875-1678,(212) 875-1678
95.city,New ork,New York
763.tel,(212 835-8600,(212) 835-8600
524.city,New ork,New York
476.thegeom,POINT (-73.955025179309 40.77813815345596),POINT (-73.9535025179309 40.77813815345596)
70.namevalue,Raibow Fine Art Inc,Rainbow Fine Art Inc
77.thegeom,POINT (-73.99505920460594 4.074274457506512),POINT (-73.99505920460594 40.74274457506512)
160.namevalue,Smack Mellon Sudios,Smack Mellon Studios
80.namevalue,tRegina's Art Center,Regina's Art Center
868.city,New Yokr,New York
847.city,ew York,New York
843.url,http://ww.maryryangallery.com/,http://www.maryryangallery.com/
201.thegeom,POINT (-74.00618826198466 0.74160876928588),POINT (-74.00618826198466 40.74160876928588)
195.thegeom,POINT (-74.00394584152615 407.4952510204985),POINT (-74.00394584152615 40.74952510204985)
562.namevalue,Harari p& Johns Inc,Harari & Johns Inc
706.namevalue,Edwynn Houk Gallsery,Edwynn Houk Gallery
208.tel,2(12) 554-4818,(212) 554-4818
647.city,Nw York,New York
573.tel,(212) p593-4528,(212) 593-4528
851.city,ew York,New York
338.url,http://www.alexandregalleryc.om,http://www.alexandregallery.com
901.thegeom,POINT (-74.00960786131157 40.7050003225i3853),POINT (-74.00960786131157 40.70500032253853)
152.city,Ne York,New York
893.city,eNw York,New York
40.tel,(718) 6g25-2722,(718) 625-2722
836.tel,212) 680-9889,(212) 680-9889
455.namevalue,Bolivar Areltlano Gallery,Bolivar Arellano Gallery
307.addresstwo,Lby,Lbby
71.addresstwo,bby,Lbby
741.addresstwo,Ste 801,Ste. 801
536.city,New Yrok,New York
48.addresstwo,Lby,Lbby
13.thegeom,POINT (-73.98058386642b786 40.76118894257876),POINT (-73.98058386642786 40.76118894257876)
135.addresstwo,Lbbwy,Lbby
589.addresstwo,Lby,Lbby
675.tel,2(12) 673-7007,(212) 673-7007
311.addressone,522 eWst 19th Street,522 West 19th Street
397.namevalue,Artitss Space,Artists Space
849.city,New Yokr,New York
299.namevalue,Zwirnre David Gallery,Zwirner David Gallery
360.addresstwo,Lbyb,Lbby
189.tel,(212)207-4600,(212) 207-4600
337.city,Ne wYork,New York
11.addressone,32 E 57th t,32 E 57th St
233.url,http://www.getfave.com/locations/9x15361-triangle-editions,http://www.getfave.com/locations/915361-triangle-editions
907.city,Nuew York,New York
739.url,http://www.museususa.org/vendors/info/1259295,http://www.museumsusa.org/vendors/info/1259295
871.thegeom,POINT (-37.96106461848258 40.77816985290121),POINT (-73.96106461848258 40.77816985290121)
187.namevalue,uite 106,Suite 106
606.tel,(212) z247-4708,(212) 247-4708
849.url,http://www.maxproteth.com/,http://www.maxprotetch.com/
424.tel,(12) 791-3317,(212) 791-3317
548.city,New Yok,New York
