YEAR,F0___30_,F30___50_,F50___80_,F80___120_,Above_120_,ObjectId
2006,31423,16393,26429,24167,30879,1
2007,33680,17686,29166,22725,26923,2
2008,33598,19794,30501,22946,26244,3
2009,33513,24229,34712,22515,31187,4
2010,40700,25303,29499,23176,30376,5
2011,43795,19808,30612,25001,35677,6
2012,37471,28184,27805,26287,39542,7
2013,36478,19936,31085,29498,41634,8
2014,39218,22669,29790,27675,45337,9
2015,28942,19736,31586,27537,54614,10
2016,33261,18634,30322,32047,55933,11
2017,33658,17074,26114,34845,63982,12
2018,34290,20904,29653,34411,67674,13
