1337.global_id,a0108i499-2e77-4079-ac2d-0bc4709465ab,a0108499-2e77-4079-ac2d-0bc4709465ab
1362.hpmsaccdesc,Nof Access Conrtol,No Access Conrtol
94.hpmsaccdesc,o Access Conrtol,No Access Conrtol
3381.towndesc,RBIDGEPORT,BRIDGEPORT
1480.routeid,5t3-S,53-S
3168.accctldesc,No Acces sControl,No Access Control
391.routeid,15r10219,1510219
2515.accctldesc,No Acncess Control,No Access Control
3788.global_id,236dae5e-9a98-4651-9385-f3298b900e74,236dae5e-9a89-4651-9385-f3298b900e74
4394.accctldesc,"Full Control- Other Divided Highways, 4 or more lanes","Full Control - Other Divided Highways, 4 or more lanes"
4262.routeid,129003s9,1290039
542.accctldesc,NoA ccess Control,No Access Control
1715.towndesc,NAUAGTUCK,NAUGATUCK
216.towndesc,NEWB RITAIN,NEW BRITAIN
1253.routeid,12600o08,1260008
964.hpmsaccdesc,o Access Conrtol,No Access Conrtol
3480.hpmsaccdesc,dNo Access Conrtol,No Access Conrtol
698.routeid,772-S,727-S
4270.towndesc,BOLON,BOLTON
1985.hpmsaccdesc,No Accses Conrtol,No Access Conrtol
3587.hpmsaccdesc,No Access Cuonrtol,No Access Conrtol
3349.towndesc,lSUFFIELD,SUFFIELD
4071.towndesc,BRANORD,BRANFORD
2865.towndesc,EAS WINDSOR,EAST WINDSOR
2764.towndesc,rWATERTOWN,WATERTOWN
1685.towndesc,HARTFRD,HARTFORD
4122.routeid,0350j158,0350158
3462.hpmsaccdesc,Partial Access Cnotrol,Partial Access Control
4008.hpmsaccdesc,No Accses Conrtol,No Access Conrtol
2467.accctldesc,Partial Control - Cahnnelization,Partial Control - Channelization
2022.hpmsaccdesc,No Access Conrtlo,No Access Conrtol
554.routeid,-W,6-W
3471.accctldesc,"Full Contol - Other Divided Highways, 4 or more lanes","Full Control - Other Divided Highways, 4 or more lanes"
1038.hpmsaccdesc,No Azccess Conrtol,No Access Conrtol
296.global_id,b2b4db04-920e-424-f9bb4-c1c88754bdfb,b2b4db04-920e-424f-9bb4-c1c88754bdfb
3824.towndesc,SOUTHIGTON,SOUTHINGTON
802.hpmsaccdesc,o Access Conrtol,No Access Conrtol
2487.accctldesc,Njo Access Control,No Access Control
614.global_id,462a183c-0oea3-4c7e-aed4-0d4375d6651c,462a183c-0ea3-4c7e-aed4-0d4375d6651c
4759.routeid,0820076,0820067
3039.accctldesc,N Access Control,No Access Control
350.hpmsaccdesc,o Access Conrtol,No Access Conrtol
4536.accctldesc,o Access Control,No Access Control
1061.global_id,da57e03b-64f3-47cf-8e69-4fdde522c44,da57e03b-64f3-47cf-8e69-4fdde522bc44
