OBJECTID,AREA,PERIMETER,ZONING_,ZONING_ID,SYMBOL,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Length,Shape_Area
1,12810.6047476,550.42689823,2,2973,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,550.42682995716,12810.5933136536
2,201153.048948,1915.66864627,3,1465,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1915.66891406661,201153.117162528
3,278871.65482,2626.23742866,4,1468,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,2626.23741986516,278871.489880329
4,363128.406465,2671.20534585,5,828,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,2671.20548106161,363128.522635094
5,26203.1831022,722.691491385,6,829,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,722.691645636852,26203.2012244751
6,20757.5019321,658.290198396,7,831,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,658.290182478308,20757.499421223
7,76407.2208753,1357.25253567,8,2268,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1357.25208323851,76407.1648993883
8,133463.197256,1456.94031067,9,1755,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1456.93999247986,133463.086762229
9,51084.0253729,1241.75454743,10,804,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1241.75501455983,51084.0305586071
10,21269.8327764,631.520474929,11,806,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,631.519771902894,21269.7820610865
11,100621.397808,1375.89426304,12,808,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1375.89438082902,100621.431292526
12,118740.388797,1414.22161716,13,1151,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1414.22159348353,118740.365805046
13,134275.775182,1663.06273227,14,3436,276,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1663.06296173634,134275.745039463
14,142550.822996,1542.36165022,15,1467,278,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1542.36168996182,142550.840544801
15,22103.9785877,679.255697525,16,830,278,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,679.255317912717,22103.928566667
16,20507.9635544,619.487233867,17,805,278,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,619.487232977945,20507.9647452501
17,504716.718848,4127.5689502,18,2304,278,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,4127.56872882442,504716.744220715
18,4235657.50643,28054.5168628,19,2843,278,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,28054.5167962499,4235657.62490519
19,47815.2065583,1142.88775115,20,3364,278,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1142.88850983468,47815.1686788204
20,100991.975389,1367.29075839,21,3406,278,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1367.29049580774,100991.96381475
21,1705980.03624,12951.6429083,22,3431,278,(C2),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,12951.6424410148,1705980.09777554
22,2002211.29389,15005.6018505,23,2457,274,(C3),CENTRAL BUSINESS OVERLAY,COMMERCIAL-INDUSTRIAL,15005.6018263282,2002211.14728495
23,2214204.28556,7061.55550343,24,2548,274,(C3),CENTRAL BUSINESS OVERLAY,COMMERCIAL-INDUSTRIAL,7061.555907709,2214204.28865152
24,88960.709744,1672.59150119,25,3711,274,(C3),CENTRAL BUSINESS OVERLAY,COMMERCIAL-INDUSTRIAL,1672.59148460304,88960.7440324582
25,3211.82869877,283.591715537,26,3721,274,(C3),CENTRAL BUSINESS OVERLAY,COMMERCIAL-INDUSTRIAL,283.591697126362,3211.82613044157
26,1676639.43212,5914.15397343,27,2314,283,(CM),COMM MANUFACTURING OVERLAY,COMMERCIAL-INDUSTRIAL,5914.15405456874,1676639.63702696
