gross,net,conventional_accounting,economic_sector,sector,category,sub_category_one,sub_category_two,sub_category_three,year,gas,mtco_twoear_five_two_zeroyr,mtco_twoear_four_one_zero_zeroyr
Yes,Yes,Yes,Industry,Energy,Other Fossil Fuel Use,Industrial,Not Applicable,Natural Gas,1990,CH4,0,0
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1990,CO2,-27910000,-27910000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1991,CO2,-27810000,-27810000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1992,CO2,-27700000,-27700000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1993,CO2,-27570000,-27570000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1994,CO2,-27450000,-27450000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1995,CO2,-27320000,-27320000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1996,CO2,-27200000,-27200000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1997,CO2,-27070000,-27070000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1998,CO2,-26950000,-26950000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,1999,CO2,-26820000,-26820000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2000,CO2,-26680000,-26680000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2001,CO2,-26550000,-26550000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2002,CO2,-26420000,-26420000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2003,CO2,-26280000,-26280000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2004,CO2,-26150000,-26150000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2005,CO2,-26080000,-26080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2006,CO2,-26010000,-26010000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2007,CO2,-25930000,-25930000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2008,CO2,-25860000,-25860000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2009,CO2,-25790000,-25790000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2010,CO2,-25650000,-25650000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2011,CO2,-25520000,-25520000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2012,CO2,-25380000,-25380000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2013,CO2,-25250000,-25250000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2014,CO2,-25110000,-25110000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2015,CO2,-24980000,-24980000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2016,CO2,-24720000,-24720000
