objectid,statefp,countyfp,tractce,geoid,namevalue,namelsad,mtfcc,funcstat,aland,awater,li_cor_dac,shape_area,shape_length
1,6,37,139200,6037139200,1392.0,Census Tract 1392,G5020,S,1152031,0,LIC,1687319.19140625,5170.05380973649
2,6,37,143200,6037143200,1432.0,Census Tract 1432,G5020,S,957093,0,Both,1400949.5234375,5182.11921080899
3,6,37,201301,6037201301,2013.01,Census Tract 2013.01,G5020,S,866188,0,Both,1266062.875,7211.37944676736
4,6,37,201401,6037201401,2014.01,Census Tract 2014.01,G5020,S,1279500,28686,Both,1911762.359375,5706.54437597325
5,6,37,201402,6037201402,2014.02,Census Tract 2014.02,G5020,S,1941232,0,Both,2836120.875,7003.34503482317
6,6,37,139302,6037139302,1393.02,Census Tract 1393.02,G5020,S,338288,0,Both,495484.296875,2938.53692242629
7,6,37,139502,6037139502,1395.02,Census Tract 1395.02,G5020,S,1047548,0,LIC,1533835.921875,6256.07826386147
8,6,13,336201,6013336201,3362.01,Census Tract 3362.01,G5020,S,1256563,0,Both,2024724.8671875,8236.32630311826
9,6,37,181600,6037181600,1816.0,Census Tract 1816,G5020,S,1250035,0,LIC,1828892.28515625,6616.75283679198
10,6,37,183101,6037183101,1831.01,Census Tract 1831.01,G5020,S,948156,19799,LIC,1415950.36328125,6283.55312017377
11,6,37,183220,6037183220,1832.2,Census Tract 1832.20,G5020,S,535234,0,LIC,782907.875,4907.77012789812
12,6,37,183300,6037183300,1833.0,Census Tract 1833,G5020,S,541305,0,LIC,791809.5078125,3784.33595472837
13,6,37,183510,6037183510,1835.1,Census Tract 1835.10,G5020,S,500438,0,LIC,731936.73828125,3853.19170418149
14,6,37,183520,6037183520,1835.2,Census Tract 1835.20,G5020,S,427707,0,LIC,625490.94921875,3382.65553130786
15,6,37,183610,6037183610,1836.1,Census Tract 1836.10,G5020,S,378643,0,LIC,553778.4921875,3617.14066767908
16,6,1,442500,6001442500,4425.0,Census Tract 4425,G5020,S,1959818,0,LIC,3122277.35546875,8372.67151097334
