namevalue,statevalue,lat,long,mrc
Abarr,CO,39.75,-102.625,39102-G6
Abarr SE,CO,39.75,-102.5,39102-G5
Abeyta,CO,37.0,-104.125,37104-A2
Adams Lake,CO,39.625,-107.375,39107-F4
Adena,CO,40.0,-103.875,40103-A8
Adler Creek,CO,39.625,-102.5,39102-F5
Adobe Springs,CO,40.625,-107.875,40107-F8
Agate,CO,39.375,-103.875,39103-D8
Agate Mountain,CO,38.75,-105.75,38105-G7
Aguilar,CO,37.375,-104.625,37104-D6
Akron,CO,40.125,-103.125,40103-B2
Akron SE,CO,40.0,-103.0,40103-A1
Akron SW,CO,40.0,-103.125,40103-A2
Alamosa East,CO,37.375,-105.75,37105-D7
Alamosa West,CO,37.375,-105.875,37105-D8
Aldrich Gulch,CO,38.0,-105.375,38105-A4
Alkali Lake,CO,38.375,-102.625,38102-D6
Allens Park,CO,40.125,-105.5,40105-B5
Allison,CO,37.0,-107.375,37107-A4
Alma,CO,39.25,-106.0,39106-C1
Almont,CO,38.625,-106.75,38106-F7
Alpine Plateau,CO,38.125,-107.25,38107-B3
Alpine Ranch,CO,39.0,-102.5,39102-A5
Alpine Ranch NE,CO,39.125,-102.5,39102-B5
Alpine Ranch NW,CO,39.125,-102.625,39102-B6
Alpine Ranch SW,CO,39.0,-102.625,39102-A6
Alta Vista,CO,39.0,-104.0,39104-A1
Alvin NW,CO,40.375,-102.125,40102-D2
Alvin SW,CO,40.25,-102.125,40102-C2
Amherst,CO,40.625,-102.125,40102-F2
Amherst SW,CO,40.5,-102.125,40102-E2
Anderson Mesa,CO,38.125,-108.875,38108-B8
Andrix,CO,37.25,-103.125,37103-C2
Yellow Rock Point East,UT,37.0,-109.0,37109-A1
Antelope Creek East,CO,39.875,-103.25,39103-H3
Antelope Creek SE,CO,39.75,-103.25,39103-G3
Antelope Creek West,CO,39.875,-103.375,39103-H4
Antelope Mesa,CO,38.25,-103.875,38103-C8
Antelope Reservoir,CO,40.625,-104.625,40104-F6
Antelope Springs,CO,40.375,-103.5,40103-D5
Antero Reservoir,CO,38.875,-105.875,38105-H8
Antero Reservoir NE,CO,38.875,-105.75,38105-H7
Anthracite Range,CO,38.75,-107.125,38107-G2
Anton,CO,39.625,-103.125,39103-F2
Anton SE,CO,39.5,-103.0,39103-E1
Antone Spring,CO,38.25,-108.125,38108-C2
Antonito,CO,37.0,-106.0,37106-A1
Anvil Points,CO,39.5,-107.875,39107-E8
Apishapa Bridge,CO,37.875,-104.0,37104-H1
Arapahoe,CO,38.75,-102.125,38102-G2
Arapahoe NW,CO,38.875,-102.125,38102-H2
Arapahoe SE,CO,38.75,-102.0,38102-G1
Archuleta Creek,CO,37.0,-106.5,37106-A5
Arickaree,CO,39.625,-103.0,39103-F1
Arkansas Mountain,CO,38.375,-105.625,38105-D6
Arlington,CO,38.25,-103.25,38103-C3
Arlington NE,CO,38.375,-103.25,38103-D3
Aroya,CO,38.75,-103.125,38103-G2
Arriba,CO,39.25,-103.25,39103-C3
Arriba NE,CO,39.375,-103.25,39103-D3
Arriba NW,CO,39.375,-103.375,39103-D4
Arriola,CO,37.375,-108.625,37108-D6
Arsenic Lake,CO,38.625,-102.875,38102-F8
Arsenic Lake SW,CO,38.5,-102.875,38102-E8
Arvada,CO,39.75,-105.0,39105-G1
Aspen,CO,39.125,-106.75,39106-B7
Atkinson Creek,CO,38.375,-108.625,38108-D6
Atwood,CO,40.5,-103.25,40103-E3
Atwood NE,CO,40.625,-103.25,40103-F3
Avalo,CO,40.75,-103.625,40103-G6
Avalo SE,CO,40.75,-103.5,40103-G5
Avondale,CO,38.125,-104.25,38104-B3
Axial,CO,40.25,-107.75,40107-C7
Badger Wash,CO,39.25,-108.875,39108-C8
Badito Cone,CO,37.75,-105.0,37105-G1
Bailey,CO,39.375,-105.375,39105-D4
Baker Draw,CO,40.625,-104.375,40104-F4
Bakers Peak,CO,40.875,-107.375,40107-H4
Bald Mountain,CO,40.625,-108.0,40108-F1
Baldy,CO,37.375,-105.625,37105-D6
Baldy Cinco,CO,37.875,-107.0,37107-H1
