1707.mrc,3q7104-F7,37104-F7
81.mrc,38102-D6,37107-H1
76.namevalue,Alamosa East,Bailey
274.namevalue,Alpine Ranch SW,Cat Creek
267.namevalue,Adams Lake,Cascade
1644.namevalue,TrucktonSE,Truckton SE
1588.namevalue,wThe Glade,The Glade
237.mrc,37107-A4,37108-F7
705.mrc,37106H-1,37106-H1
165.namevalue,Adams Lake,Boettcher Lake
496.mrc,40105-6H,40105-H6
233.namevalue,Akron SE,Byers SW
1094.statevalue,CuO,CO
1476.namevalue,Sleepy Cat Peka,Sleepy Cat Peak
301.mrc,40103-A8,39104-B6
337.mrc,40104-F8,40106-E4
1157.statevalue,sCO,CO
625.namevalue,Glenwood Sprins,Glenwood Springs
1330.namevalue,Raymodn,Raymond
199.namevalue,Alamosa East,Buck Canyon
51.mrc,39103-E1,38102-H2
782.statevalue,O,CO
1336.mrc,39106-nD7,39106-D7
875.namevalue,Kiowa aNE,Kiowa NE
1464.namevalue,Sheridan Lcake SW,Sheridan Lake SW
754.statevalue,OC,CO
932.statevalue,O,CO
235.mrc,39107-F4,39104-D5
375.mrc,38105-A4,40106-D8
335.statevalue,CtO,CO
207.namevalue,Abarr SE,Buena Vista East
313.namevalue,Aguilar,Chimney Canyons
162.mrc,40102-E2,37103-F8
23.namevalue,Aldrich Gulch,Alpine Ranch
1322.namevalue,Ragely NE,Rangely NE
20.namevalue,Adler Creek,Alma
1180.namevalue,Oakbush Hill,Oakbrush Hill
26.statevalue,rCO,CO
39.namevalue,Adler Creek,Antelope Reservoir
1370.statevalue,kCO,CO
174.namevalue,Alamosa West,Bottle Pass
538.statevalue,ChO,CO
229.namevalue,Aldrich Gulch,Bushnell Peak
187.namevalue,Abarr,Branson SE
107.mrc,40103-A8,37105-H2
940.mrc,0108-C7,40108-C7
906.mrc,3903-B6,39103-B6
73.namevalue,Abeyta,Axial
750.statevalue,CjO,CO
837.namevalue,Joe Dvis Hill,Joe Davis Hill
125.mrc,37104-A2,38104-B7
254.statevalue,OC,CO
134.namevalue,Allens Park,Big Joe Basin
1288.mrc,3810o6-D1,38106-D1
619.statevalue,OC,CO
77.namevalue,Adobe Springs,Baker Draw
94.namevalue,Aguilar,Barrel Springs Draw
633.statevalue,OC,CO
366.mrc,39102-G6,40106-B2
98.namevalue,Abeyta,Basin
249.namevalue,Abarr SE,Cannibal Plateau
1785.statevalue,O,CO
145.namevalue,Adobe Springs,Bijou SW
80.namevalue,Alpine Ranch NE,Baldy
1217.namevalue,Plamer Lake,Palmer Lake
472.namevalue,Dry Cree kBasin,Dry Creek Basin
1228.mrc,401p06-C2,40106-C2
101.mrc,39102-G5,40103-H6
184.namevalue,Akron SW,Bracewell
70.namevalue,Alvin SW,Avalo
318.namevalue,Carbonera,Chromo
