Co,Agency,FY 2018 Classified End Count,Average Years of Service,Average Age,Number Eligible to Retire,Percent Eligible to Retire,Number Eligible to Retire in 5 Years,Percent Eligible to Retire in 5 Years,Traditional,Percent Traditional,Boomer,Percent Boomer,Gen X,Percent Gen X,Millennials,Percent Millennials,Voluntary Turnover,Involuntary Turnover,Total Turnover,Male,Percent Male,Female,Percent Female,White,Percent White,African American,Percent African American,American Indian,Percent American Indian,Hispanic,Percent Hispanic,Asian,Percent Asian,Pacific Islander,Percent Pacific Islander,Not Specified,Percent Not Specified,Percent Minority,Officials & Administrators,Percent Officials & Administrators,Professionals,Percent Professionals,Technicians,Percent Technicians,Protective Service Workers,Percent Protective Service Workers,Paraprofessionals ,Percent Paraprofessionals ,Office-Clerical,Percent Office-Clerical,Skilled Craft,Percent Skilled Craft,Service/Maintence,Percent Service/Maintence,Cabinet
20,Accountancy Board (0020) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
22,Abstractors Board (0022) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,"Finance, Administration and Information Technology"
25,"Military Department, Oklahoma (0025) ",48,18.09046315,54.83995434,15,31.25%,24,50.00%,0,0.00%,27,56.25%,18,37.50%,3,6.25%,10.71%,1.79%,12.50%,36,75.00%,12,25.00%,36,75.00%,3,6.25%,5,10.42%,2,4.17%,2,4.17%,0,0.00%,0,0.00%,25.00%,3,6.25%,6,12.50%,5,10.42%,17,35.42%,1,2.08%,7,14.58%,5,10.42%,4,8.33%,Military
30,Top ABLE Commission (0030) ,24,19.49087383,49.30296804,7,29.17%,11,45.83%,0,0.00%,6,25.00%,16,66.67%,2,8.33%,3.85%,0.00%,3.85%,16,66.67%,8,33.33%,17,70.83%,3,12.50%,3,12.50%,1,4.17%,0,0.00%,0,0.00%,0,0.00%,29.17%,2,8.33%,5,20.83%,0,0.00%,14,58.33%,0,0.00%,3,12.50%,0,0.00%,0,0.00%,Safety and Security
39,Boll Weevil Eradication (0039) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,#DIV/0!,0,N/A,0,N/A,N/A,N/A,#VALUE!,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Agriculture
40,"Agriculture, Food & Forestry Department (0040) ",278,15.10715534,47.53243323,73,26.26%,96,34.53%,1,0.36%,105,37.77%,89,32.01%,83,29.86%,12.36%,1.45%,13.82%,208,74.82%,70,25.18%,226,81.29%,13,4.68%,30,10.79%,3,1.08%,4,1.44%,0,0.00%,0,0.00%,17.99%,21,7.55%,62,22.30%,63,22.66%,94,33.81%,2,0.72%,29,10.43%,1,0.36%,6,2.16%,Agriculture
45,Architects Board (0045) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Secretary of State
47,Indigent Defense System (0047) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Safety and Security
49,Attorney General (0049) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Safety and Security
55,Arts Council (0055) ,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,N/A,Commerce/Tourism
